#chan	code	gain	offset	innse	comment
   0	   0	92.5	92.5	 642	OK
   1	   0	87.0	87.0	 660	OK
   2	   0	89.6	89.6	 645	OK
   3	   0	85.0	85.0	 679	OK
   4	   0	90.5	90.5	 638	OK
   5	   0	82.1	82.1	 694	OK
   6	   0	91.5	91.5	 654	OK
   7	   0	88.8	88.8	 656	OK
   8	   0	92.9	92.9	 635	OK
   9	   0	85.8	85.8	 647	OK
  10	   0	87.7	87.7	 639	OK
  11	   0	89.7	89.7	 645	OK
  12	   0	83.8	83.8	 642	OK
  13	   0	86.1	86.1	 649	OK
  14	   0	95.6	95.6	 618	OK
  15	   0	86.3	86.3	 641	OK
  16	   0	89.6	89.6	 646	OK
  17	   0	85.0	85.0	 646	OK
  18	   0	87.6	87.6	 662	OK
  19	   0	88.3	88.3	 647	OK
  20	   0	86.2	86.2	 642	OK
  21	   0	88.4	88.4	 630	OK
  22	   0	86.4	86.4	 661	OK
  23	   0	90.1	90.1	 648	OK
  24	   0	87.5	87.5	 653	OK
  25	   0	87.9	87.9	 656	OK
  26	   0	85.9	85.9	 662	OK
  27	   0	83.0	83.0	 718	OK
  28	   0	89.3	89.3	 639	OK
  29	   0	87.2	87.2	 658	OK
  30	   0	96.4	96.4	 640	OK
  31	   0	92.2	92.2	 678	OK
  32	   0	96.6	96.6	 651	OK
  33	   0	88.9	88.9	 721	OK
  34	   0	85.2	85.2	 687	OK
  35	   0	82.1	82.1	 675	OK
  36	   0	92.4	92.4	 676	OK
  37	   0	84.7	84.7	 694	OK
  38	   0	86.5	86.5	 714	OK
  39	   0	95.2	95.2	 671	OK
  40	   0	88.3	88.3	 697	OK
  41	   0	88.5	88.5	 678	OK
  42	   0	93.2	93.2	 667	OK
  43	   0	90.9	90.9	 680	OK
  44	   0	93.9	93.9	 681	OK
  45	   0	95.5	95.5	 657	OK
  46	   0	87.8	87.8	 701	OK
  47	   0	91.3	91.3	 683	OK
  48	   0	86.6	86.6	 695	OK
  49	   0	90.5	90.5	 687	OK
  50	   0	88.3	88.3	 697	OK
  51	   0	89.4	89.4	 706	OK
  52	   0	94.4	94.4	 668	OK
  53	   0	88.9	88.9	 672	OK
  54	   0	93.2	93.2	 681	OK
  55	   0	90.5	90.5	 697	OK
  56	   0	90.2	90.2	 685	OK
  57	   0	91.6	91.6	 691	OK
  58	   0	89.9	89.9	 703	OK
  59	   0	82.9	82.9	 735	OK
  60	   0	89.9	89.9	 684	OK
  61	   0	88.2	88.2	 702	OK
  62	   0	88.4	88.4	 679	OK
  63	   0	86.1	86.1	 693	OK
  64	   0	89.7	89.7	 708	OK
  65	   0	87.2	87.2	 706	OK
  66	   0	92.0	92.0	 664	OK
  67	   0	85.6	85.6	 708	OK
  68	   0	87.6	87.6	 717	OK
  69	   0	89.6	89.6	 704	OK
  70	   0	92.0	92.0	 680	OK
  71	   0	84.4	84.4	 693	OK
  72	   0	81.6	81.6	 714	OK
  73	   0	92.6	92.6	 706	OK
  74	   0	87.1	87.1	 690	OK
  75	   0	86.8	86.8	 726	OK
  76	   0	85.4	85.4	 691	OK
  77	   0	90.4	90.4	 715	OK
  78	   0	85.6	85.6	 726	OK
  79	   0	83.5	83.5	 706	OK
  80	   0	91.6	91.6	 693	OK
  81	   0	96.1	96.1	 679	OK
  82	   0	84.7	84.7	 710	OK
  83	   0	88.0	88.0	 710	OK
  84	   0	84.6	84.6	 704	OK
  85	   0	89.7	89.7	 708	OK
  86	   0	90.9	90.9	 694	OK
  87	   0	87.2	87.2	 714	OK
  88	   0	92.8	92.8	 704	OK
  89	   0	87.3	87.3	 731	OK
  90	   0	85.8	85.8	 700	OK
  91	   0	86.1	86.1	 679	OK
  92	   0	87.3	87.3	 691	OK
  93	   0	88.3	88.3	 695	OK
