#chan	code	gain	offset	innse	comment
   0	   0	90.4	90.4	 681	OK
   1	   0	94.5	94.5	 661	OK
   2	   0	99.7	99.7	 649	OK
   3	   0	94.2	94.2	 581	OK
   4	   0	98.8	98.8	 585	OK
   5	   0	92.3	92.3	 641	OK
   6	   0	104.2	104.2	 544	OK
   7	   0	91.3	91.3	 646	OK
   8	   0	101.9	101.9	 672	OK
   9	   0	92.5	92.5	 648	OK
  10	   0	96.4	96.4	 675	OK
  11	   0	95.9	95.9	 606	OK
  12	   0	102.9	102.9	 624	OK
  13	   0	93.7	93.7	 608	OK
  14	   0	92.7	92.7	 688	OK
  15	   0	104.2	104.2	 663	OK
  16	   0	91.2	91.2	 673	OK
  17	   0	95.8	95.8	 565	OK
  18	   0	90.1	90.1	 688	OK
  19	   0	103.4	103.4	 635	OK
  20	   0	101.6	101.6	 676	OK
  21	   0	89.3	89.3	 672	OK
  22	   0	96.4	96.4	 592	OK
  23	   0	93.0	93.0	 627	OK
  24	   0	91.2	91.2	 672	OK
  25	   0	90.8	90.8	 634	OK
  26	   0	92.5	92.5	 705	OK
  27	   0	98.1	98.1	 612	OK
  28	   0	95.9	95.9	 720	OK
  29	   0	101.3	101.3	 660	OK
  30	   0	89.8	89.8	 652	OK
  31	4000	97.5	97.5	 743	high noise
  32	   0	100.8	100.8	 679	OK
  33	   0	95.2	95.2	 610	OK
  34	   0	88.2	88.2	 595	OK
  35	4000	87.5	87.5	 782	high noise
  36	1000	100.3	100.3	 485	unbonded
  37	   0	101.9	101.9	 725	OK
  38	   0	90.6	90.6	 690	OK
  39	   0	96.2	96.2	 722	OK
  40	   0	103.6	103.6	 564	OK
  41	   0	97.3	97.3	 639	OK
  42	   0	100.6	100.6	 690	OK
  43	   0	100.2	100.2	 647	OK
  44	   0	97.6	97.6	 631	OK
  45	   0	95.2	95.2	 678	OK
  46	   0	96.7	96.7	 622	OK
  47	   0	103.5	103.5	 659	OK
  48	   0	101.7	101.7	 633	OK
  49	   0	90.6	90.6	 678	OK
  50	   0	101.1	101.1	 610	OK
  51	   0	93.5	93.5	 594	OK
  52	   0	95.4	95.4	 644	OK
  53	   0	100.9	100.9	 593	OK
  54	   0	98.0	98.0	 617	OK
  55	   0	102.1	102.1	 663	OK
  56	   0	101.5	101.5	 607	OK
  57	   0	99.6	99.6	 597	OK
  58	   0	97.8	97.8	 680	OK
  59	   0	99.8	99.8	 655	OK
  60	4000	100.4	100.4	 736	high noise
  61	   0	95.5	95.5	 715	OK
  62	   0	94.7	94.7	 649	OK
  63	4000	88.4	88.4	 740	high noise
