#chan	code	gain	offset	innse	comment
   0	   0	79.3	79.3	 910	OK
   1	   0	80.4	80.4	 825	OK
   2	   0	85.9	85.9	 820	OK
   3	   0	86.3	86.3	 799	OK
   4	   0	83.3	83.3	 797	OK
   5	   0	81.9	81.9	 793	OK
   6	   0	85.4	85.4	 796	OK
   7	   0	86.6	86.6	 805	OK
   8	   0	86.1	86.1	 774	OK
   9	   0	85.0	85.0	 779	OK
  10	   0	87.8	87.8	 816	OK
  11	   0	84.1	84.1	 751	OK
  12	   0	85.5	85.5	 811	OK
  13	   0	90.9	90.9	 799	OK
  14	   0	78.1	78.1	 770	OK
  15	   0	83.1	83.1	 755	OK
  16	   0	91.6	91.6	 788	OK
  17	   0	82.2	82.2	 774	OK
  18	   0	86.8	86.8	 773	OK
  19	   0	88.7	88.7	 803	OK
  20	   0	87.9	87.9	 773	OK
  21	   0	82.0	82.0	 771	OK
  22	   0	87.6	87.6	 797	OK
  23	   0	98.9	98.9	 792	OK
  24	   0	91.8	91.8	 733	OK
  25	   0	80.7	80.7	 787	OK
  26	   0	85.6	85.6	 805	OK
  27	   0	85.4	85.4	 785	OK
  28	   0	83.4	83.4	 779	OK
  29	   0	90.4	90.4	 778	OK
  30	   0	84.9	84.9	 796	OK
  31	   0	87.3	87.3	 820	OK
  32	   0	84.8	84.8	 805	OK
  33	   0	90.5	90.5	 803	OK
  34	   0	87.7	87.7	 781	OK
  35	   0	84.5	84.5	 795	OK
  36	   0	87.2	87.2	 770	OK
  37	   0	84.4	84.4	 791	OK
  38	   0	85.3	85.3	 805	OK
  39	   0	85.4	85.4	 758	OK
  40	   0	85.2	85.2	 781	OK
  41	   0	94.5	94.5	 806	OK
  42	   0	86.6	86.6	 759	OK
  43	   0	92.7	92.7	 819	OK
  44	   0	82.9	82.9	 766	OK
  45	   0	86.5	86.5	 790	OK
  46	   0	86.9	86.9	 784	OK
  47	   0	85.8	85.8	 813	OK
  48	   0	95.3	95.3	 774	OK
  49	   0	86.2	86.2	 783	OK
  50	   0	85.3	85.3	 769	OK
  51	   0	86.3	86.3	 800	OK
  52	   0	88.9	88.9	 808	OK
  53	   0	84.6	84.6	 785	OK
  54	   0	89.5	89.5	 804	OK
  55	   0	93.6	93.6	 794	OK
  56	   0	90.9	90.9	 785	OK
  57	   0	83.5	83.5	 768	OK
  58	   0	88.9	88.9	 810	OK
  59	   0	88.9	88.9	 809	OK
  60	   0	84.4	84.4	 769	OK
  61	   0	85.6	85.6	 773	OK
  62	   0	82.0	82.0	 786	OK
  63	   0	87.2	87.2	 786	OK
  64	   0	94.8	94.8	 798	OK
  65	   0	91.6	91.6	 823	OK
  66	   0	85.8	85.8	 774	OK
  67	   0	91.7	91.7	 807	OK
  68	   0	87.8	87.8	 818	OK
  69	   0	83.8	83.8	 800	OK
  70	   0	85.4	85.4	 798	OK
  71	   0	87.0	87.0	 774	OK
  72	   0	92.1	92.1	 805	OK
  73	   0	89.1	89.1	 777	OK
  74	   0	85.5	85.5	 792	OK
  75	   0	86.3	86.3	 778	OK
  76	   0	85.2	85.2	 820	OK
  77	   0	89.3	89.3	 805	OK
  78	   0	85.8	85.8	 794	OK
  79	   0	81.6	81.6	 811	OK
  80	   0	85.8	85.8	 811	OK
  81	   0	91.0	91.0	 784	OK
  82	   0	88.7	88.7	 807	OK
  83	   0	82.4	82.4	 773	OK
  84	   0	82.1	82.1	 785	OK
  85	   0	85.1	85.1	 784	OK
  86	   0	89.4	89.4	 825	OK
  87	   0	93.7	93.7	 807	OK
  88	   0	91.1	91.1	 847	OK
  89	   0	81.1	81.1	 776	OK
  90	   0	86.7	86.7	 820	OK
  91	   0	80.8	80.8	 809	OK
  92	   0	86.5	86.5	 815	OK
  93	   0	91.9	91.9	 796	OK
  94	   0	84.1	84.1	 772	OK
  95	   0	84.2	84.2	 786	OK
  96	   0	92.3	92.3	 832	OK
  97	   0	92.1	92.1	 801	OK
  98	   0	86.7	86.7	 787	OK
  99	   0	86.9	86.9	 792	OK
 100	   0	87.7	87.7	 835	OK
 101	   0	84.7	84.7	 798	OK
 102	   0	84.5	84.5	 770	OK
 103	   0	89.8	89.8	 770	OK
 104	   0	85.8	85.8	 770	OK
 105	   0	86.9	86.9	 768	OK
 106	   0	85.3	85.3	 807	OK
 107	   0	87.8	87.8	 773	OK
 108	   0	84.4	84.4	 787	OK
 109	   0	87.8	87.8	 822	OK
 110	   0	82.9	82.9	 783	OK
 111	   0	88.2	88.2	 816	OK
 112	   0	92.7	92.7	 775	OK
 113	   0	84.2	84.2	 810	OK
 114	   0	85.2	85.2	 781	OK
 115	   0	82.7	82.7	 785	OK
 116	   0	86.8	86.8	 783	OK
 117	   0	88.0	88.0	 801	OK
 118	   0	81.8	81.8	 789	OK
 119	   0	88.1	88.1	 787	OK
 120	   0	82.3	82.3	 813	OK
 121	   0	83.6	83.6	 737	OK
 122	   0	88.9	88.9	 774	OK
 123	   0	89.6	89.6	 803	OK
 124	   0	84.9	84.9	 778	OK
 125	   0	86.7	86.7	 807	OK
 126	   0	79.7	79.7	 782	OK
 127	   0	86.3	86.3	 809	OK
 128	   0	90.4	90.4	 795	OK
 129	   0	92.0	92.0	 817	OK
 130	   0	85.6	85.6	 790	OK
 131	   0	87.3	87.3	 771	OK
 132	   0	88.5	88.5	 793	OK
 133	   0	83.5	83.5	 798	OK
 134	   0	86.4	86.4	 791	OK
 135	   0	86.0	86.0	 784	OK
 136	   0	83.8	83.8	 780	OK
 137	   0	84.7	84.7	 779	OK
 138	   0	85.8	85.8	 790	OK
 139	   0	94.1	94.1	 809	OK
 140	   0	83.9	83.9	 823	OK
 141	   0	88.9	88.9	 745	OK
 142	   0	88.4	88.4	 782	OK
 143	   0	87.6	87.6	 814	OK
 144	   0	89.9	89.9	 771	OK
 145	   0	94.1	94.1	 784	OK
 146	   0	92.8	92.8	 790	OK
 147	   0	86.5	86.5	 769	OK
 148	   0	85.1	85.1	 808	OK
 149	   0	81.2	81.2	 790	OK
