#chan	code	gain	offset	innse	comment
   0	   0	90.6	90.6	 624	OK
   1	   0	92.1	92.1	 599	OK
   2	   0	97.6	97.6	 583	OK
   3	   0	100.8	100.8	 579	OK
   4	   0	98.6	98.6	 618	OK
   5	   0	99.5	99.5	 623	OK
   6	   0	98.2	98.2	 570	OK
   7	   0	100.1	100.1	 639	OK
   8	   0	102.8	102.8	 629	OK
   9	   0	92.4	92.4	 639	OK
  10	   0	100.4	100.4	 612	OK
  11	   0	96.2	96.2	 594	OK
  12	   0	96.9	96.9	 608	OK
  13	   0	97.8	97.8	 639	OK
  14	   0	106.4	106.4	 591	OK
  15	   0	98.7	98.7	 597	OK
  16	   0	97.1	97.1	 623	OK
  17	   0	90.2	90.2	 629	OK
  18	   0	105.4	105.4	 629	OK
  19	   0	92.4	92.4	 636	OK
  20	   0	100.1	100.1	 626	OK
  21	   0	84.8	84.8	 670	OK
  22	   0	84.2	84.2	 650	OK
  23	   0	84.5	84.5	 635	OK
  24	   0	88.1	88.1	 609	OK
  25	   0	94.0	94.0	 633	OK
  26	   0	106.5	106.5	 602	OK
  27	   0	89.6	89.6	 657	OK
  28	   0	96.7	96.7	 630	OK
  29	   0	91.7	91.7	 600	OK
  30	   0	98.6	98.6	 609	OK
  31	   0	90.7	90.7	 666	OK
  32	   0	99.3	99.3	 626	OK
  33	   0	90.2	90.2	 622	OK
  34	   0	97.7	97.7	 625	OK
  35	   0	91.5	91.5	 635	OK
  36	   0	88.1	88.1	 638	OK
  37	   0	96.8	96.8	 651	OK
  38	   0	92.7	92.7	 676	OK
  39	   0	96.0	96.0	 668	OK
  40	   0	93.4	93.4	 662	OK
  41	   0	92.6	92.6	 637	OK
  42	   0	103.4	103.4	 652	OK
  43	   0	94.7	94.7	 663	OK
  44	   0	94.7	94.7	 618	OK
  45	   0	91.1	91.1	 691	OK
  46	   0	91.6	91.6	 629	OK
  47	   0	103.8	103.8	 649	OK
  48	   0	95.1	95.1	 638	OK
  49	   0	96.2	96.2	 687	OK
  50	   0	93.3	93.3	 624	OK
  51	   0	92.4	92.4	 680	OK
  52	   0	95.2	95.2	 656	OK
  53	   0	94.5	94.5	 670	OK
  54	   0	98.9	98.9	 659	OK
  55	   0	96.3	96.3	 616	OK
  56	   0	93.2	93.2	 718	OK
  57	   0	94.4	94.4	 655	OK
  58	   0	98.3	98.3	 656	OK
  59	   0	98.7	98.7	 633	OK
  60	   0	100.1	100.1	 649	OK
  61	   0	102.3	102.3	 629	OK
  62	   0	102.3	102.3	 643	OK
  63	   0	98.6	98.6	 659	OK
  64	   0	101.7	101.7	 598	OK
  65	   0	95.7	95.7	 664	OK
  66	   0	96.3	96.3	 666	OK
  67	   0	86.5	86.5	 646	OK
  68	   0	96.1	96.1	 676	OK
  69	   0	99.8	99.8	 660	OK
  70	   0	94.7	94.7	 626	OK
  71	   0	107.7	107.7	 614	OK
  72	   0	86.6	86.6	 673	OK
  73	   0	92.9	92.9	 712	OK
  74	   0	94.0	94.0	 622	OK
  75	   0	92.2	92.2	 637	OK
  76	   0	97.8	97.8	 641	OK
  77	   0	100.5	100.5	 649	OK
  78	   0	96.1	96.1	 632	OK
  79	   0	103.3	103.3	 623	OK
  80	   0	98.7	98.7	 635	OK
  81	   0	102.5	102.5	 634	OK
  82	   0	98.7	98.7	 644	OK
  83	   0	90.5	90.5	 674	OK
  84	   0	99.1	99.1	 611	OK
  85	   0	92.8	92.8	 648	OK
  86	   0	99.1	99.1	 608	OK
  87	   0	91.4	91.4	 620	OK
  88	   0	93.4	93.4	 661	OK
  89	   0	91.5	91.5	 646	OK
  90	   0	100.2	100.2	 626	OK
  91	   0	94.0	94.0	 661	OK
  92	   0	87.7	87.7	 658	OK
  93	   0	94.2	94.2	 685	OK
  94	   0	90.8	90.8	 661	OK
  95	   0	96.2	96.2	 596	OK
  96	   0	94.4	94.4	 608	OK
  97	   0	88.1	88.1	 678	OK
  98	   0	88.4	88.4	 666	OK
  99	   0	93.8	93.8	 617	OK
 100	   0	90.5	90.5	 655	OK
 101	   0	86.8	86.8	 641	OK
 102	   0	97.9	97.9	 653	OK
 103	   0	98.2	98.2	 663	OK
 104	   0	94.6	94.6	 611	OK
 105	   0	89.8	89.8	 632	OK
 106	   0	98.2	98.2	 635	OK
 107	   0	89.8	89.8	 632	OK
 108	   0	94.2	94.2	 642	OK
 109	   0	90.5	90.5	 628	OK
 110	   0	90.7	90.7	 655	OK
