#chan	code	gain	offset	innse	comment
   0	   0	79.1	79.1	 882	OK
   1	   0	81.2	81.2	 777	OK
   2	   0	85.4	85.4	 804	OK
   3	   0	86.8	86.8	 771	OK
   4	   0	83.1	83.1	 728	OK
   5	   0	82.9	82.9	 796	OK
   6	   0	85.5	85.5	 796	OK
   7	   0	86.4	86.4	 760	OK
   8	   0	84.9	84.9	 754	OK
   9	   0	84.7	84.7	 758	OK
  10	   0	87.1	87.1	 776	OK
  11	   0	84.0	84.0	 772	OK
  12	   0	85.7	85.7	 761	OK
  13	   0	89.8	89.8	 808	OK
  14	   0	79.0	79.0	 758	OK
  15	   0	83.1	83.1	 756	OK
  16	   0	91.2	91.2	 774	OK
  17	   0	81.8	81.8	 772	OK
  18	   0	87.1	87.1	 725	OK
  19	   0	88.7	88.7	 723	OK
  20	   0	88.5	88.5	 731	OK
  21	   0	81.8	81.8	 744	OK
  22	   0	86.4	86.4	 747	OK
  23	   0	98.7	98.7	 780	OK
  24	   0	91.3	91.3	 760	OK
  25	   0	80.5	80.5	 775	OK
  26	   0	85.1	85.1	 746	OK
  27	   0	85.1	85.1	 740	OK
  28	   0	84.3	84.3	 773	OK
  29	   0	88.9	88.9	 765	OK
  30	   0	84.7	84.7	 764	OK
  31	   0	87.5	87.5	 772	OK
  32	   0	84.1	84.1	 806	OK
  33	   0	89.7	89.7	 770	OK
  34	   0	87.4	87.4	 774	OK
  35	   0	85.0	85.0	 748	OK
  36	   0	87.3	87.3	 758	OK
  37	   0	84.6	84.6	 781	OK
  38	   0	84.5	84.5	 772	OK
  39	   0	86.2	86.2	 782	OK
  40	   0	85.5	85.5	 767	OK
  41	   0	94.9	94.9	 784	OK
  42	   0	86.0	86.0	 784	OK
  43	   0	92.1	92.1	 788	OK
  44	   0	82.9	82.9	 803	OK
  45	   0	86.7	86.7	 749	OK
  46	   0	86.5	86.5	 770	OK
  47	   0	86.6	86.6	 789	OK
  48	   0	93.9	93.9	 795	OK
  49	   0	87.5	87.5	 728	OK
  50	   0	86.2	86.2	 789	OK
  51	   0	87.4	87.4	 759	OK
  52	   0	88.4	88.4	 797	OK
  53	   0	84.8	84.8	 756	OK
  54	   0	89.2	89.2	 757	OK
  55	   0	93.2	93.2	 807	OK
  56	   0	91.2	91.2	 751	OK
  57	   0	84.3	84.3	 759	OK
  58	   0	89.0	89.0	 803	OK
  59	   0	88.5	88.5	 764	OK
  60	   0	84.7	84.7	 745	OK
  61	   0	85.1	85.1	 777	OK
  62	   0	82.0	82.0	 792	OK
  63	   0	87.2	87.2	 804	OK
  64	   0	95.4	95.4	 820	OK
  65	   0	91.1	91.1	 785	OK
  66	   0	86.2	86.2	 779	OK
  67	   0	92.3	92.3	 759	OK
  68	   0	87.5	87.5	 756	OK
  69	   0	84.3	84.3	 746	OK
  70	   0	85.5	85.5	 766	OK
  71	   0	86.5	86.5	 788	OK
  72	   0	92.8	92.8	 771	OK
  73	   0	89.0	89.0	 724	OK
  74	   0	84.9	84.9	 798	OK
  75	   0	86.4	86.4	 763	OK
  76	   0	86.4	86.4	 815	OK
  77	   0	88.7	88.7	 781	OK
  78	   0	85.6	85.6	 829	OK
  79	   0	81.9	81.9	 793	OK
  80	   0	86.2	86.2	 791	OK
  81	   0	90.0	90.0	 785	OK
  82	   0	87.8	87.8	 785	OK
  83	   0	81.7	81.7	 789	OK
  84	   0	81.2	81.2	 799	OK
  85	   0	85.7	85.7	 723	OK
  86	   0	89.3	89.3	 777	OK
  87	   0	91.6	91.6	 803	OK
  88	   0	90.3	90.3	 785	OK
  89	   0	82.0	82.0	 731	OK
  90	   0	86.5	86.5	 773	OK
  91	   0	81.1	81.1	 769	OK
  92	   0	86.3	86.3	 798	OK
  93	   0	92.4	92.4	 798	OK
  94	   0	84.2	84.2	 778	OK
  95	   0	84.7	84.7	 778	OK
  96	   0	91.5	91.5	 783	OK
  97	   0	92.2	92.2	 750	OK
  98	   0	87.4	87.4	 769	OK
  99	   0	86.6	86.6	 781	OK
 100	   0	88.2	88.2	 769	OK
 101	   0	84.4	84.4	 758	OK
 102	   0	84.1	84.1	 798	OK
 103	   0	88.9	88.9	 810	OK
 104	   0	85.4	85.4	 775	OK
 105	   0	87.1	87.1	 758	OK
 106	   0	84.7	84.7	 786	OK
 107	   0	86.9	86.9	 797	OK
 108	   0	85.1	85.1	 756	OK
 109	   0	87.4	87.4	 787	OK
 110	   0	82.4	82.4	 775	OK
 111	   0	87.6	87.6	 763	OK
 112	   0	92.5	92.5	 808	OK
 113	   0	84.3	84.3	 761	OK
 114	   0	85.1	85.1	 771	OK
 115	   0	82.1	82.1	 784	OK
 116	   0	86.3	86.3	 778	OK
 117	   0	87.8	87.8	 771	OK
 118	   0	81.6	81.6	 774	OK
 119	   0	88.4	88.4	 761	OK
 120	   0	82.6	82.6	 798	OK
 121	   0	84.2	84.2	 733	OK
 122	   0	89.2	89.2	 805	OK
 123	   0	87.5	87.5	 746	OK
 124	   0	84.0	84.0	 751	OK
 125	   0	85.7	85.7	 767	OK
 126	   0	79.4	79.4	 765	OK
 127	   0	85.2	85.2	 777	OK
 128	   0	89.8	89.8	 815	OK
 129	   0	91.7	91.7	 804	OK
 130	   0	85.8	85.8	 776	OK
 131	   0	87.8	87.8	 748	OK
 132	   0	88.6	88.6	 772	OK
 133	   0	83.5	83.5	 794	OK
 134	   0	86.8	86.8	 778	OK
 135	   0	85.8	85.8	 755	OK
 136	   0	84.3	84.3	 789	OK
 137	   0	83.2	83.2	 782	OK
 138	   0	86.1	86.1	 789	OK
 139	   0	94.1	94.1	 779	OK
 140	   0	83.4	83.4	 799	OK
 141	   0	87.5	87.5	 756	OK
 142	   0	88.7	88.7	 794	OK
 143	   0	87.9	87.9	 736	OK
 144	   0	91.1	91.1	 742	OK
 145	   0	93.3	93.3	 749	OK
 146	   0	92.7	92.7	 771	OK
 147	   0	86.4	86.4	 767	OK
 148	   0	85.9	85.9	 763	OK
 149	   0	80.9	80.9	 784	OK
 150	   0	89.9	89.9	 799	OK
 151	   0	89.4	89.4	 791	OK
 152	   0	84.0	84.0	 787	OK
 153	   0	86.7	86.7	 734	OK
 154	   0	84.0	84.0	 804	OK
 155	   0	85.3	85.3	 740	OK
 156	   0	89.4	89.4	 777	OK
 157	   0	94.2	94.2	 776	OK
 158	   0	93.8	93.8	 760	OK
 159	   0	89.3	89.3	 770	OK
 160	   0	92.3	92.3	 807	OK
 161	   0	88.5	88.5	 803	OK
 162	   0	89.0	89.0	 754	OK
 163	   0	92.6	92.6	 771	OK
 164	   0	85.8	85.8	 779	OK
 165	   0	91.3	91.3	 770	OK
 166	   0	91.3	91.3	 782	OK
 167	   0	79.0	79.0	 779	OK
 168	   0	85.3	85.3	 798	OK
 169	   0	91.2	91.2	 771	OK
 170	   0	97.9	97.9	 756	OK
 171	   0	90.9	90.9	 786	OK
 172	   0	90.8	90.8	 716	OK
 173	   0	86.1	86.1	 779	OK
 174	   0	92.0	92.0	 749	OK
 175	   0	90.1	90.1	 775	OK
 176	   0	88.3	88.3	 750	OK
 177	   0	87.5	87.5	 750	OK
 178	   0	86.5	86.5	 755	OK
 179	   0	89.2	89.2	 742	OK
 180	   0	92.3	92.3	 751	OK
 181	   0	89.1	89.1	 770	OK
 182	   0	96.7	96.7	 772	OK
 183	   0	91.2	91.2	 729	OK
 184	   0	92.4	92.4	 788	OK
 185	   0	89.8	89.8	 808	OK
 186	   0	90.6	90.6	 742	OK
 187	   0	93.4	93.4	 726	OK
 188	   0	90.8	90.8	 785	OK
 189	   0	94.4	94.4	 728	OK
 190	   0	92.4	92.4	 770	OK
 191	   0	86.7	86.7	 760	OK
 192	   0	87.2	87.2	 729	OK
 193	   0	88.7	88.7	 788	OK
 194	   0	88.2	88.2	 761	OK
 195	   0	96.1	96.1	 756	OK
 196	   0	91.6	91.6	 789	OK
 197	   0	96.2	96.2	 776	OK
 198	   0	86.9	86.9	 750	OK
 199	   0	88.4	88.4	 727	OK
 200	   0	97.2	97.2	 743	OK
 201	   0	92.3	92.3	 739	OK
 202	   0	90.2	90.2	 777	OK
 203	   0	91.5	91.5	 773	OK
 204	   0	89.5	89.5	 713	OK
 205	   0	91.6	91.6	 770	OK
 206	   0	86.5	86.5	 740	OK
 207	   0	83.1	83.1	 724	OK
 208	   0	95.3	95.3	 768	OK
 209	   0	90.2	90.2	 781	OK
 210	   0	91.8	91.8	 758	OK
 211	   0	87.7	87.7	 759	OK
 212	   0	91.6	91.6	 749	OK
 213	   0	93.0	93.0	 740	OK
 214	   0	89.7	89.7	 717	OK
 215	   0	92.3	92.3	 776	OK
 216	   0	88.1	88.1	 749	OK
 217	   0	92.0	92.0	 758	OK
 218	   0	87.8	87.8	 741	OK
 219	   0	92.0	92.0	 772	OK
 220	   0	89.5	89.5	 752	OK
 221	   0	91.1	91.1	 786	OK
 222	   0	78.4	78.4	 776	OK
 223	   0	85.2	85.2	 773	OK
 224	   0	87.1	87.1	 801	OK
 225	   0	89.1	89.1	 800	OK
 226	   0	86.3	86.3	 769	OK
 227	   0	89.5	89.5	 739	OK
 228	   0	83.1	83.1	 793	OK
 229	   0	86.3	86.3	 756	OK
 230	   0	88.9	88.9	 726	OK
 231	   0	89.5	89.5	 750	OK
 232	   0	85.8	85.8	 775	OK
 233	   0	80.8	80.8	 731	OK
 234	   0	86.9	86.9	 784	OK
 235	   0	87.2	87.2	 794	OK
 236	   0	88.5	88.5	 757	OK
 237	   0	88.0	88.0	 714	OK
 238	   0	91.9	91.9	 802	OK
 239	   0	92.1	92.1	 748	OK
 240	   0	88.3	88.3	 739	OK
 241	   0	92.6	92.6	 812	OK
 242	   0	86.8	86.8	 752	OK
 243	   0	91.7	91.7	 737	OK
 244	   0	89.2	89.2	 767	OK
 245	   0	83.1	83.1	 777	OK
 246	   0	83.9	83.9	 743	OK
 247	   0	87.7	87.7	 768	OK
 248	   0	91.5	91.5	 773	OK
 249	   0	93.2	93.2	 756	OK
 250	   0	93.6	93.6	 794	OK
 251	   0	86.8	86.8	 748	OK
 252	   0	89.4	89.4	 768	OK
 253	   0	94.7	94.7	 765	OK
 254	   0	85.6	85.6	 792	OK
 255	   0	84.5	84.5	 751	OK
 256	   0	78.3	78.3	 740	OK
 257	   0	78.1	78.1	 752	OK
 258	   0	77.9	77.9	 754	OK
 259	   0	89.2	89.2	 814	OK
 260	   0	84.3	84.3	 783	OK
 261	   0	81.0	81.0	 756	OK
 262	   0	78.5	78.5	 714	OK
 263	   0	75.3	75.3	 776	OK
 264	   0	80.9	80.9	 778	OK
 265	   0	86.9	86.9	 746	OK
 266	   0	76.7	76.7	 726	OK
 267	   0	75.6	75.6	 753	OK
 268	   0	84.2	84.2	 781	OK
 269	   0	85.1	85.1	 733	OK
 270	   0	80.3	80.3	 763	OK
 271	   0	76.3	76.3	 797	OK
 272	   0	81.6	81.6	 748	OK
 273	   0	82.3	82.3	 792	OK
 274	   0	85.6	85.6	 812	OK
 275	   0	84.6	84.6	 760	OK
 276	   0	84.0	84.0	 781	OK
 277	   0	82.9	82.9	 758	OK
 278	   0	87.8	87.8	 765	OK
 279	   0	87.8	87.8	 782	OK
 280	   0	87.8	87.8	 770	OK
 281	   0	84.7	84.7	 775	OK
 282	   0	83.7	83.7	 764	OK
 283	   0	84.3	84.3	 755	OK
 284	   0	78.5	78.5	 749	OK
 285	   0	84.4	84.4	 758	OK
 286	   0	85.2	85.2	 749	OK
 287	   0	83.9	83.9	 748	OK
 288	   0	83.5	83.5	 763	OK
 289	   0	84.5	84.5	 745	OK
 290	   0	83.4	83.4	 774	OK
 291	   0	78.0	78.0	 759	OK
 292	   0	81.7	81.7	 765	OK
 293	   0	78.9	78.9	 737	OK
 294	   0	79.0	79.0	 798	OK
 295	   0	86.4	86.4	 742	OK
 296	   0	85.5	85.5	 775	OK
 297	   0	89.8	89.8	 767	OK
 298	   0	83.1	83.1	 733	OK
 299	   0	79.5	79.5	 749	OK
 300	   0	83.9	83.9	 771	OK
 301	   0	84.1	84.1	 744	OK
 302	   0	78.0	78.0	 732	OK
 303	   0	77.4	77.4	 775	OK
 304	   0	86.7	86.7	 764	OK
 305	   0	88.9	88.9	 772	OK
 306	   0	86.7	86.7	 726	OK
 307	   0	87.6	87.6	 797	OK
 308	   0	90.7	90.7	 763	OK
 309	   0	88.5	88.5	 777	OK
 310	   0	84.1	84.1	 748	OK
 311	   0	83.2	83.2	 759	OK
 312	   0	86.3	86.3	 759	OK
 313	   0	83.7	83.7	 805	OK
 314	   0	83.8	83.8	 768	OK
 315	   0	84.6	84.6	 752	OK
 316	   0	84.9	84.9	 775	OK
 317	   0	83.8	83.8	 733	OK
 318	   0	80.0	80.0	 763	OK
 319	   0	83.0	83.0	 727	OK
 320	   0	81.6	81.6	 755	OK
 321	   0	86.5	86.5	 752	OK
 322	   0	85.6	85.6	 775	OK
 323	   0	84.0	84.0	 728	OK
 324	   0	87.0	87.0	 767	OK
 325	   0	85.4	85.4	 753	OK
 326	   0	78.8	78.8	 773	OK
 327	   0	87.1	87.1	 773	OK
 328	   0	84.9	84.9	 746	OK
 329	   0	83.7	83.7	 768	OK
 330	   0	78.7	78.7	 760	OK
 331	   0	85.1	85.1	 767	OK
 332	   0	88.2	88.2	 763	OK
 333	   0	82.7	82.7	 791	OK
 334	   0	83.3	83.3	 759	OK
 335	   0	86.0	86.0	 769	OK
 336	   0	87.8	87.8	 730	OK
 337	   0	79.3	79.3	 775	OK
 338	   0	87.4	87.4	 756	OK
 339	   0	87.6	87.6	 779	OK
 340	   0	85.8	85.8	 775	OK
 341	   0	87.2	87.2	 760	OK
 342	   0	85.1	85.1	 758	OK
 343	   0	80.1	80.1	 784	OK
 344	   0	81.8	81.8	 773	OK
 345	   0	86.1	86.1	 761	OK
 346	   0	81.5	81.5	 766	OK
 347	   0	83.7	83.7	 735	OK
 348	   0	89.8	89.8	 734	OK
 349	   0	88.9	88.9	 733	OK
 350	   0	78.0	78.0	 732	OK
 351	   0	86.9	86.9	 758	OK
 352	   0	83.6	83.6	 742	OK
 353	   0	80.7	80.7	 775	OK
 354	   0	78.5	78.5	 766	OK
 355	   0	87.1	87.1	 759	OK
 356	   0	82.4	82.4	 766	OK
 357	   0	90.9	90.9	 790	OK
 358	   0	89.5	89.5	 810	OK
 359	   0	83.4	83.4	 784	OK
 360	   0	85.5	85.5	 752	OK
 361	   0	90.0	90.0	 753	OK
 362	   0	90.4	90.4	 787	OK
 363	   0	88.9	88.9	 734	OK
 364	   0	90.3	90.3	 758	OK
 365	   0	92.8	92.8	 749	OK
 366	   0	84.6	84.6	 771	OK
 367	   0	84.8	84.8	 743	OK
 368	   0	82.3	82.3	 791	OK
 369	   0	78.8	78.8	 789	OK
 370	   0	81.1	81.1	 767	OK
 371	   0	80.7	80.7	 788	OK
 372	   0	83.7	83.7	 777	OK
 373	   0	81.1	81.1	 797	OK
 374	   0	78.8	78.8	 780	OK
 375	   0	85.4	85.4	 764	OK
 376	   0	82.0	82.0	 750	OK
 377	   0	80.6	80.6	 769	OK
 378	   0	84.8	84.8	 775	OK
 379	   0	84.6	84.6	 753	OK
 380	   0	80.5	80.5	 772	OK
 381	   0	81.0	81.0	 784	OK
 382	   0	84.8	84.8	 766	OK
 383	   0	87.5	87.5	 797	OK
 384	   0	86.8	86.8	 762	OK
 385	   0	82.8	82.8	 754	OK
 386	   0	86.2	86.2	 732	OK
 387	   0	82.8	82.8	 807	OK
 388	   0	89.7	89.7	 787	OK
 389	   0	89.1	89.1	 760	OK
 390	   0	85.8	85.8	 771	OK
 391	   0	96.7	96.7	 791	OK
 392	   0	89.1	89.1	 742	OK
 393	   0	86.8	86.8	 764	OK
 394	   0	86.6	86.6	 770	OK
 395	   0	98.7	98.7	 779	OK
 396	   0	86.4	86.4	 782	OK
 397	   0	91.1	91.1	 746	OK
 398	   0	83.7	83.7	 767	OK
