#chan	code	gain	offset	innse	comment
   0	4500	0.6	0.6	79724	low gain
   1	   0	84.3	84.3	 602	OK
   2	4000	85.6	85.6	 707	high noise
   3	   0	87.1	87.1	 560	OK
   4	1000	92.3	92.3	 510	unbonded
   5	   0	89.6	89.6	 637	OK
   6	   0	85.9	85.9	 553	OK
   7	   0	80.8	80.8	 610	OK
   8	   0	83.2	83.2	 629	OK
   9	   0	87.7	87.7	 590	OK
  10	1000	84.5	84.5	 538	unbonded
  11	1000	81.7	81.7	 532	unbonded
  12	1000	84.5	84.5	 536	unbonded
  13	   0	79.6	79.6	 573	OK
  14	   0	91.8	91.8	 598	OK
  15	1000	80.6	80.6	 523	unbonded
  16	1000	86.4	86.4	 503	unbonded
  17	1000	89.7	89.7	 537	unbonded
  18	8000	85.5	85.5	 541	partbonded
  19	   0	92.2	92.2	 581	OK
  20	1000	97.1	97.1	 474	unbonded
  21	   0	91.6	91.6	 547	OK
  22	   0	83.1	83.1	 645	OK
  23	1000	88.3	88.3	 508	unbonded
  24	   0	89.6	89.6	 615	OK
  25	1000	85.9	85.9	 485	unbonded
  26	1000	88.6	88.6	 480	unbonded
  27	   0	87.8	87.8	 642	OK
  28	4000	85.7	85.7	 684	high noise
  29	   0	86.1	86.1	 574	OK
  30	1000	94.2	94.2	 461	unbonded
  31	   0	95.0	95.0	 589	OK
  32	1000	90.4	90.4	 494	unbonded
  33	1000	81.2	81.2	 536	unbonded
  34	1000	89.2	89.2	 519	unbonded
  35	   0	87.2	87.2	 618	OK
  36	1000	85.5	85.5	 508	unbonded
  37	   0	88.4	88.4	 650	OK
  38	   0	82.4	82.4	 631	OK
  39	   0	84.8	84.8	 645	OK
  40	   0	86.5	86.5	 561	OK
  41	   0	87.1	87.1	 629	OK
  42	   0	91.5	91.5	 664	OK
  43	   0	88.9	88.9	 575	OK
  44	4000	86.5	86.5	 774	high noise
  45	1000	85.9	85.9	 476	unbonded
  46	   0	96.2	96.2	 610	OK
  47	4000	85.7	85.7	 728	high noise
  48	   0	78.7	78.7	 635	OK
  49	1000	89.9	89.9	 472	unbonded
  50	   0	92.2	92.2	 548	OK
  51	   0	79.7	79.7	 557	OK
  52	   0	93.0	93.0	 588	OK
  53	   0	93.0	93.0	 551	OK
  54	4000	88.0	88.0	 803	high noise
  55	1000	89.8	89.8	 468	unbonded
  56	4000	85.2	85.2	 745	high noise
  57	1000	92.5	92.5	 450	unbonded
  58	   0	89.0	89.0	 629	OK
  59	   0	84.0	84.0	 638	OK
  60	   0	97.5	97.5	 613	OK
  61	4000	87.3	87.3	 694	high noise
  62	1000	95.1	95.1	 443	unbonded
  63	1000	88.4	88.4	 534	unbonded
  64	   0	92.8	92.8	 603	OK
  65	   0	92.1	92.1	 562	OK
  66	   0	93.0	93.0	 601	OK
  67	4000	83.9	83.9	 702	high noise
  68	   0	91.7	91.7	 659	OK
  69	   0	90.0	90.0	 636	OK
  70	4000	86.6	86.6	 712	high noise
  71	1000	83.5	83.5	 500	unbonded
  72	   0	85.0	85.0	 551	OK
  73	4000	79.3	79.3	 705	high noise
  74	   0	88.4	88.4	 559	OK
  75	   0	91.4	91.4	 615	OK
  76	   0	83.0	83.0	 631	OK
  77	   0	93.5	93.5	 593	OK
  78	1000	93.6	93.6	 503	unbonded
  79	1000	91.8	91.8	 493	unbonded
  80	   0	85.7	85.7	 632	OK
  81	4000	85.8	85.8	 702	high noise
  82	   0	85.5	85.5	 543	OK
  83	1000	88.0	88.0	 525	unbonded
  84	   0	94.2	94.2	 604	OK
  85	   0	87.1	87.1	 587	OK
  86	4000	78.3	78.3	 697	high noise
  87	   0	87.7	87.7	 553	OK
  88	   0	83.1	83.1	 572	OK
  89	   0	88.6	88.6	 638	OK
  90	4000	80.5	80.5	 738	high noise
  91	   0	85.6	85.6	 619	OK
  92	1000	88.9	88.9	 528	unbonded
  93	4000	85.5	85.5	 678	high noise
  94	   0	82.2	82.2	 559	OK
  95	1000	85.8	85.8	 531	unbonded
  96	   0	81.9	81.9	 584	OK
  97	   0	87.8	87.8	 612	OK
  98	   0	86.8	86.8	 589	OK
  99	1000	92.0	92.0	 478	unbonded
 100	   0	86.7	86.7	 590	OK
 101	   0	83.2	83.2	 647	OK
 102	1000	85.7	85.7	 519	unbonded
 103	4000	82.4	82.4	 716	high noise
 104	   0	84.6	84.6	 587	OK
 105	4000	87.0	87.0	 677	high noise
 106	   0	82.0	82.0	 667	OK
 107	   0	88.8	88.8	 658	OK
 108	   0	76.1	76.1	 642	OK
 109	   0	85.1	85.1	 576	OK
 110	1000	92.2	92.2	 520	unbonded
 111	1000	83.5	83.5	 517	unbonded
 112	   0	79.6	79.6	 666	OK
 113	1000	87.8	87.8	 490	unbonded
 114	   0	88.6	88.6	 625	OK
 115	1000	90.1	90.1	 537	unbonded
 116	1000	91.1	91.1	 457	unbonded
 117	4000	87.1	87.1	 698	high noise
 118	1000	85.9	85.9	 519	unbonded
 119	   0	90.1	90.1	 588	OK
 120	   0	81.8	81.8	 554	OK
 121	   0	79.8	79.8	 622	OK
 122	1000	82.5	82.5	 538	unbonded
 123	   0	86.4	86.4	 565	OK
 124	   0	89.0	89.0	 657	OK
 125	   0	88.1	88.1	 552	OK
 126	   0	85.4	85.4	 577	OK
 127	4000	84.2	84.2	 705	high noise
