#chan	code	gain	offset	innse	comment
   0	   0	78.3	78.3	 572	OK
   1	1000	93.4	93.4	 503	unbonded
   2	   0	88.6	88.6	 571	OK
   3	8000	84.8	84.8	 541	partbonded
   4	   0	80.5	80.5	 561	OK
   5	   0	89.3	89.3	 566	OK
   6	   0	81.8	81.8	 607	OK
   7	   0	82.5	82.5	 657	OK
   8	1000	88.2	88.2	 539	unbonded
   9	   0	88.0	88.0	 663	OK
  10	   0	83.7	83.7	 597	OK
  11	   0	86.7	86.7	 672	OK
  12	1000	92.3	92.3	 518	unbonded
  13	1000	88.3	88.3	 516	unbonded
  14	   0	89.7	89.7	 595	OK
  15	   0	87.5	87.5	 610	OK
  16	1000	80.1	80.1	 535	unbonded
  17	   0	77.3	77.3	 635	OK
  18	   0	84.4	84.4	 605	OK
  19	4000	82.7	82.7	 702	high noise
  20	   0	84.7	84.7	 589	OK
  21	   0	90.1	90.1	 575	OK
  22	   0	85.0	85.0	 585	OK
  23	   0	81.1	81.1	 648	OK
  24	1000	89.4	89.4	 507	unbonded
  25	   0	89.6	89.6	 580	OK
  26	   0	81.7	81.7	 622	OK
  27	   0	91.8	91.8	 545	OK
  28	   0	79.6	79.6	 597	OK
  29	1000	94.2	94.2	 523	unbonded
  30	1000	90.9	90.9	 444	unbonded
  31	   0	90.3	90.3	 681	OK
  32	   0	87.7	87.7	 601	OK
  33	1000	87.0	87.0	 522	unbonded
  34	1000	94.4	94.4	 473	unbonded
  35	   0	82.6	82.6	 673	OK
  36	   0	87.7	87.7	 610	OK
  37	   0	86.9	86.9	 591	OK
  38	   0	84.3	84.3	 605	OK
  39	   0	88.2	88.2	 639	OK
  40	4000	90.1	90.1	 686	high noise
  41	   0	80.8	80.8	 570	OK
  42	   0	82.4	82.4	 646	OK
  43	   0	81.3	81.3	 565	OK
  44	   0	90.2	90.2	 633	OK
  45	   0	90.6	90.6	 572	OK
  46	1000	90.3	90.3	 518	unbonded
  47	   0	85.5	85.5	 588	OK
  48	   0	80.0	80.0	 603	OK
  49	   0	90.4	90.4	 580	OK
  50	   0	85.2	85.2	 542	OK
  51	1000	78.4	78.4	 518	unbonded
  52	   0	89.2	89.2	 666	OK
  53	   0	81.5	81.5	 619	OK
  54	1000	94.9	94.9	 516	unbonded
  55	   0	84.7	84.7	 638	OK
  56	   0	83.0	83.0	 619	OK
  57	1000	96.4	96.4	 536	unbonded
  58	   0	89.9	89.9	 640	OK
  59	   0	91.3	91.3	 571	OK
  60	   0	85.2	85.2	 657	OK
  61	1000	86.8	86.8	 514	unbonded
  62	   0	91.7	91.7	 596	OK
  63	   0	86.1	86.1	 567	OK
  64	4000	89.2	89.2	 698	high noise
  65	   0	90.4	90.4	 606	OK
  66	1000	92.5	92.5	 523	unbonded
  67	   0	92.4	92.4	 554	OK
  68	   0	91.5	91.5	 666	OK
  69	   0	90.6	90.6	 638	OK
  70	1000	94.4	94.4	 351	unbonded
  71	   0	91.7	91.7	 677	OK
  72	4000	86.3	86.3	 728	high noise
  73	   0	87.4	87.4	 615	OK
  74	   0	86.8	86.8	 598	OK
  75	1000	86.5	86.5	 521	unbonded
  76	   0	89.6	89.6	 580	OK
  77	   0	84.4	84.4	 680	OK
  78	1000	95.9	95.9	 530	unbonded
  79	   0	83.1	83.1	 640	OK
  80	   0	87.5	87.5	 600	OK
  81	   0	89.4	89.4	 542	OK
  82	1000	85.5	85.5	 505	unbonded
  83	4000	93.3	93.3	 719	high noise
  84	   0	87.9	87.9	 639	OK
  85	1000	86.2	86.2	 539	unbonded
  86	   0	91.3	91.3	 583	OK
  87	   0	89.3	89.3	 583	OK
  88	1000	88.3	88.3	 522	unbonded
  89	   0	89.4	89.4	 598	OK
  90	   0	89.7	89.7	 562	OK
  91	   0	84.4	84.4	 666	OK
  92	1000	85.4	85.4	 517	unbonded
  93	   0	86.6	86.6	 653	OK
  94	1000	91.4	91.4	 500	unbonded
  95	1000	83.5	83.5	 465	unbonded
  96	   0	89.7	89.7	 643	OK
  97	   0	87.4	87.4	 630	OK
  98	4000	90.1	90.1	 724	high noise
  99	   0	88.5	88.5	 563	OK
 100	4000	82.0	82.0	 708	high noise
 101	   0	92.5	92.5	 573	OK
 102	4000	86.8	86.8	 780	high noise
 103	   0	80.4	80.4	 610	OK
 104	   0	86.7	86.7	 562	OK
 105	   0	81.2	81.2	 573	OK
 106	   0	95.4	95.4	 670	OK
