#chan	code	gain	offset	innse	comment
   0	   0	93.2	93.2	 704	OK
   1	1000	95.4	95.4	 533	unbonded
   2	   0	92.7	92.7	 735	OK
   3	   0	96.0	96.0	 628	OK
   4	1000	94.8	94.8	 491	unbonded
   5	1000	90.4	90.4	 494	unbonded
   6	   0	86.3	86.3	 549	OK
   7	   0	88.1	88.1	 718	OK
   8	   0	87.9	87.9	 602	OK
   9	   0	87.1	87.1	 684	OK
  10	1000	92.1	92.1	 511	unbonded
  11	4000	90.2	90.2	 768	high noise
  12	   0	87.8	87.8	 628	OK
  13	   0	95.0	95.0	 661	OK
  14	1000	93.1	93.1	 525	unbonded
  15	4000	90.0	90.0	 777	high noise
  16	   0	92.8	92.8	 634	OK
  17	   0	96.1	96.1	 676	OK
  18	   0	92.2	92.2	 683	OK
  19	   0	81.0	81.0	 609	OK
  20	   0	89.2	89.2	 674	OK
  21	   0	92.4	92.4	 708	OK
  22	4000	88.5	88.5	 813	high noise
  23	   0	89.0	89.0	 601	OK
  24	   0	100.0	100.0	 658	OK
  25	   0	92.2	92.2	 675	OK
  26	   0	94.1	94.1	 688	OK
  27	   0	89.1	89.1	 605	OK
  28	   0	85.9	85.9	 744	OK
  29	   0	93.9	93.9	 580	OK
  30	   0	87.8	87.8	 747	OK
  31	   0	89.8	89.8	 625	OK
  32	   0	88.3	88.3	 648	OK
  33	   0	88.6	88.6	 599	OK
  34	   0	98.2	98.2	 576	OK
  35	   0	88.5	88.5	 722	OK
  36	   0	84.2	84.2	 732	OK
  37	   0	93.8	93.8	 711	OK
  38	   0	88.6	88.6	 548	OK
  39	1000	87.4	87.4	 509	unbonded
  40	4000	86.0	86.0	 758	high noise
  41	   0	87.6	87.6	 639	OK
  42	4000	86.2	86.2	 868	high noise
  43	   0	86.1	86.1	 748	OK
  44	   0	86.4	86.4	 677	OK
  45	   0	101.5	101.5	 686	OK
  46	4000	89.6	89.6	 806	high noise
  47	   0	93.8	93.8	 634	OK
  48	1000	93.9	93.9	 528	unbonded
  49	   0	92.8	92.8	 669	OK
  50	   0	92.0	92.0	 682	OK
  51	   0	94.3	94.3	 564	OK
  52	   0	93.7	93.7	 723	OK
  53	   0	88.4	88.4	 698	OK
  54	   0	96.4	96.4	 645	OK
  55	   0	87.2	87.2	 692	OK
  56	   0	95.7	95.7	 687	OK
  57	   0	87.9	87.9	 634	OK
  58	   0	85.4	85.4	 549	OK
  59	   0	95.0	95.0	 623	OK
  60	   0	88.1	88.1	 589	OK
  61	   0	90.9	90.9	 684	OK
  62	   0	95.8	95.8	 654	OK
  63	   0	97.6	97.6	 585	OK
  64	   0	89.1	89.1	 661	OK
  65	   0	91.0	91.0	 721	OK
  66	1501	0.0	0.0	   0	dead
  67	   0	87.1	87.1	 734	OK
  68	   0	82.2	82.2	 679	OK
  69	   0	92.8	92.8	 707	OK
  70	   0	92.5	92.5	 735	OK
  71	4000	87.2	87.2	 784	high noise
  72	   0	85.1	85.1	 666	OK
  73	   0	91.2	91.2	 692	OK
  74	1000	91.2	91.2	 402	unbonded
  75	   0	91.0	91.0	 661	OK
