#chan	code	gain	offset	innse	comment
   0	4000	77.7	77.7	 824	high noise
   1	   0	80.6	80.6	 585	OK
   2	   0	72.3	72.3	 734	OK
   3	   0	79.5	79.5	 717	OK
   4	   0	83.3	83.3	 676	OK
   5	1000	75.2	75.2	 501	unbonded
   6	   0	77.2	77.2	 659	OK
   7	4000	76.6	76.6	 836	high noise
   8	   0	77.4	77.4	 697	OK
   9	   0	74.4	74.4	 641	OK
  10	   0	77.4	77.4	 590	OK
  11	   0	71.9	71.9	 685	OK
  12	1000	83.1	83.1	 516	unbonded
  13	   0	77.9	77.9	 670	OK
  14	   0	85.3	85.3	 715	OK
  15	   0	75.6	75.6	 785	OK
  16	   0	87.1	87.1	 710	OK
  17	   0	85.1	85.1	 645	OK
  18	   0	83.5	83.5	 740	OK
  19	   0	77.9	77.9	 606	OK
  20	4000	77.1	77.1	 858	high noise
  21	1000	77.5	77.5	 521	unbonded
  22	1000	77.0	77.0	 521	unbonded
  23	   0	73.9	73.9	 631	OK
  24	   0	75.5	75.5	 700	OK
  25	   0	76.8	76.8	 710	OK
  26	   0	75.7	75.7	 696	OK
  27	   0	73.7	73.7	 770	OK
  28	   0	76.7	76.7	 672	OK
  29	   0	75.4	75.4	 702	OK
  30	   0	79.4	79.4	 723	OK
  31	   0	82.3	82.3	 717	OK
  32	4000	77.4	77.4	 859	high noise
  33	   0	81.8	81.8	 694	OK
  34	   0	75.7	75.7	 782	OK
  35	   0	81.1	81.1	 646	OK
  36	   0	84.7	84.7	 668	OK
  37	4000	82.6	82.6	 812	high noise
  38	   0	81.7	81.7	 709	OK
  39	   0	79.7	79.7	 666	OK
  40	   0	80.7	80.7	 709	OK
  41	   0	82.1	82.1	 708	OK
  42	   0	80.8	80.8	 722	OK
  43	   0	79.8	79.8	 732	OK
  44	   0	73.2	73.2	 735	OK
  45	   0	80.5	80.5	 680	OK
  46	   0	85.5	85.5	 642	OK
  47	   0	84.1	84.1	 683	OK
  48	   0	80.9	80.9	 714	OK
  49	   0	82.1	82.1	 703	OK
  50	   0	79.3	79.3	 704	OK
  51	   0	79.2	79.2	 651	OK
  52	   0	82.6	82.6	 663	OK
  53	   0	82.3	82.3	 633	OK
  54	   0	88.6	88.6	 609	OK
  55	   0	77.4	77.4	 591	OK
  56	   0	76.9	76.9	 801	OK
  57	4000	78.8	78.8	 807	high noise
  58	   0	81.5	81.5	 670	OK
  59	   0	84.4	84.4	 762	OK
  60	   0	84.4	84.4	 726	OK
  61	   0	82.3	82.3	 782	OK
  62	4000	76.6	76.6	 803	high noise
  63	4000	85.8	85.8	 838	high noise
  64	   0	80.1	80.1	 694	OK
  65	   0	82.5	82.5	 668	OK
  66	   0	92.4	92.4	 734	OK
  67	   0	77.0	77.0	 632	OK
  68	   0	90.4	90.4	 766	OK
  69	   0	84.2	84.2	 634	OK
  70	   0	83.0	83.0	 778	OK
  71	4000	80.2	80.2	 836	high noise
  72	   0	82.6	82.6	 767	OK
  73	   0	80.6	80.6	 646	OK
  74	   0	83.9	83.9	 641	OK
  75	   0	85.0	85.0	 550	OK
  76	   0	84.8	84.8	 737	OK
  77	   0	82.5	82.5	 604	OK
  78	   0	84.1	84.1	 650	OK
  79	   0	91.7	91.7	 707	OK
  80	   0	80.5	80.5	 707	OK
  81	   0	84.3	84.3	 753	OK
  82	   0	84.9	84.9	 565	OK
  83	   0	88.9	88.9	 608	OK
  84	   0	83.4	83.4	 670	OK
  85	   0	80.4	80.4	 721	OK
  86	4000	82.7	82.7	 809	high noise
  87	   0	80.7	80.7	 689	OK
  88	   0	87.4	87.4	 730	OK
  89	   0	83.6	83.6	 700	OK
  90	   0	81.1	81.1	 636	OK
  91	   0	81.8	81.8	 690	OK
  92	   0	80.4	80.4	 698	OK
  93	   0	76.7	76.7	 600	OK
  94	   0	84.3	84.3	 640	OK
  95	   0	81.5	81.5	 724	OK
  96	   0	82.7	82.7	 628	OK
  97	   0	83.2	83.2	 763	OK
  98	   0	78.2	78.2	 703	OK
  99	   0	77.0	77.0	 729	OK
 100	4000	80.5	80.5	 829	high noise
 101	   0	82.5	82.5	 728	OK
 102	   0	79.5	79.5	 705	OK
 103	1000	83.4	83.4	 511	unbonded
 104	   0	84.7	84.7	 739	OK
 105	   0	79.8	79.8	 568	OK
 106	4000	78.6	78.6	 839	high noise
 107	   0	77.8	77.8	 673	OK
 108	   0	82.4	82.4	 699	OK
 109	   0	75.8	75.8	 779	OK
 110	   0	79.1	79.1	 757	OK
 111	4000	83.8	83.8	 914	high noise
 112	   0	89.4	89.4	 791	OK
 113	   0	84.2	84.2	 749	OK
 114	   0	80.6	80.6	 708	OK
 115	   0	83.3	83.3	 760	OK
 116	   0	78.1	78.1	 639	OK
 117	   0	77.2	77.2	 777	OK
 118	   0	76.2	76.2	 608	OK
 119	   0	79.4	79.4	 679	OK
 120	1000	74.9	74.9	 431	unbonded
 121	   0	83.7	83.7	 712	OK
 122	   0	84.1	84.1	 641	OK
 123	   0	79.4	79.4	 750	OK
 124	   0	81.6	81.6	 677	OK
 125	   0	73.4	73.4	 682	OK
 126	   0	82.1	82.1	 631	OK
 127	   0	75.6	75.6	 760	OK
 128	   0	73.9	73.9	 548	OK
 129	   0	70.9	70.9	 640	OK
 130	4000	72.9	72.9	 902	high noise
 131	4000	76.4	76.4	 861	high noise
 132	   0	76.3	76.3	 734	OK
 133	   0	82.8	82.8	 716	OK
 134	   0	80.2	80.2	 737	OK
 135	   0	79.6	79.6	 658	OK
 136	   0	80.4	80.4	 753	OK
 137	   0	72.5	72.5	 760	OK
 138	   0	75.4	75.4	 652	OK
 139	4000	75.7	75.7	 871	high noise
 140	   0	76.5	76.5	 747	OK
 141	   0	79.2	79.2	 669	OK
 142	   0	70.7	70.7	 750	OK
 143	   0	69.6	69.6	 715	OK
 144	   0	76.5	76.5	 635	OK
 145	   0	76.7	76.7	 720	OK
 146	   0	75.4	75.4	 747	OK
 147	   0	73.4	73.4	 679	OK
 148	   0	75.5	75.5	 700	OK
 149	   0	76.1	76.1	 730	OK
 150	   0	76.2	76.2	 708	OK
 151	   0	72.9	72.9	 800	OK
 152	   0	76.0	76.0	 557	OK
 153	4000	73.9	73.9	 811	high noise
 154	   0	77.9	77.9	 782	OK
 155	   0	79.4	79.4	 700	OK
 156	   0	74.1	74.1	 792	OK
 157	4000	81.8	81.8	 882	high noise
 158	   0	78.5	78.5	 763	OK
 159	   0	80.1	80.1	 597	OK
 160	   0	74.8	74.8	 642	OK
 161	1000	75.9	75.9	 534	unbonded
 162	   0	78.6	78.6	 737	OK
 163	   0	80.8	80.8	 701	OK
 164	   0	76.6	76.6	 616	OK
