#chan	code	gain	offset	innse	comment
   0	   0	80.3	80.3	 695	OK
   1	   0	80.0	80.0	 704	OK
   2	   0	77.9	77.9	 733	OK
   3	   0	78.9	78.9	 699	OK
   4	   0	72.5	72.5	 765	OK
   5	   0	75.6	75.6	 724	OK
   6	   0	75.4	75.4	 725	OK
   7	   0	72.6	72.6	 758	OK
   8	   0	82.0	82.0	 685	OK
   9	   0	72.9	72.9	 736	OK
  10	   0	76.6	76.6	 710	OK
  11	   0	73.7	73.7	 746	OK
  12	   0	76.0	76.0	 712	OK
  13	   0	77.4	77.4	 740	OK
  14	   0	76.5	76.5	 710	OK
  15	   0	81.2	81.2	 663	OK
  16	   0	81.7	81.7	 708	OK
  17	   0	81.1	81.1	 689	OK
  18	   0	75.3	75.3	 744	OK
  19	   0	80.1	80.1	 708	OK
  20	   0	78.4	78.4	 743	OK
  21	   0	77.7	77.7	 753	OK
  22	   0	75.4	75.4	 759	OK
  23	   0	74.3	74.3	 747	OK
  24	   0	83.6	83.6	 708	OK
  25	   0	73.9	73.9	 736	OK
  26	   0	75.5	75.5	 728	OK
  27	   0	77.3	77.3	 725	OK
  28	   0	78.3	78.3	 755	OK
  29	   0	82.4	82.4	 739	OK
  30	   0	71.9	71.9	 796	OK
  31	   0	74.5	74.5	 758	OK
  32	   0	79.5	79.5	 729	OK
  33	   0	71.4	71.4	 817	OK
  34	   0	83.0	83.0	 674	OK
  35	   0	78.7	78.7	 762	OK
  36	   0	75.6	75.6	 733	OK
  37	   0	78.4	78.4	 736	OK
  38	   0	80.2	80.2	 755	OK
  39	   0	74.1	74.1	 770	OK
  40	   0	88.1	88.1	 679	OK
  41	   0	79.0	79.0	 744	OK
  42	   0	77.0	77.0	 767	OK
  43	   0	74.9	74.9	 771	OK
  44	   0	76.2	76.2	 758	OK
  45	   0	86.2	86.2	 705	OK
  46	   0	82.4	82.4	 703	OK
  47	   0	73.1	73.1	 783	OK
  48	   0	75.2	75.2	 740	OK
  49	   0	77.9	77.9	 756	OK
  50	   0	77.5	77.5	 773	OK
  51	   0	78.9	78.9	 713	OK
  52	   0	78.6	78.6	 762	OK
  53	   0	79.3	79.3	 758	OK
  54	   0	77.1	77.1	 746	OK
  55	   0	78.9	78.9	 761	OK
  56	   0	77.7	77.7	 762	OK
  57	   0	80.4	80.4	 751	OK
  58	   0	75.7	75.7	 771	OK
  59	   0	80.3	80.3	 753	OK
  60	   0	73.8	73.8	 787	OK
  61	   0	74.0	74.0	 783	OK
  62	   0	76.4	76.4	 756	OK
  63	   0	76.0	76.0	 754	OK
  64	   0	76.8	76.8	 789	OK
  65	   0	76.6	76.6	 816	OK
  66	   0	79.6	79.6	 770	OK
  67	   0	84.1	84.1	 742	OK
  68	   0	79.7	79.7	 740	OK
  69	   0	75.8	75.8	 757	OK
  70	   0	74.1	74.1	 797	OK
  71	   0	82.2	82.2	 785	OK
  72	   0	72.9	72.9	 822	OK
  73	   0	80.3	80.3	 786	OK
  74	   0	77.1	77.1	 796	OK
  75	   0	79.7	79.7	 775	OK
  76	   0	82.4	82.4	 827	OK
  77	   0	69.7	69.7	 818	OK
  78	   0	73.8	73.8	 791	OK
  79	   0	79.5	79.5	 752	OK
  80	   0	78.9	78.9	 739	OK
  81	   0	78.3	78.3	 787	OK
  82	   0	77.0	77.0	 794	OK
  83	   0	68.5	68.5	 799	OK
  84	   0	77.9	77.9	 787	OK
  85	   0	81.1	81.1	 788	OK
  86	   0	83.4	83.4	 758	OK
  87	   0	76.4	76.4	 777	OK
  88	   0	72.3	72.3	 794	OK
  89	   0	70.2	70.2	 762	OK
  90	   0	77.1	77.1	 760	OK
  91	   0	72.1	72.1	 780	OK
  92	   0	76.5	76.5	 756	OK
  93	   0	76.3	76.3	 784	OK
  94	   0	73.9	73.9	 739	OK
  95	   0	74.8	74.8	 786	OK
  96	   0	74.2	74.2	 765	OK
  97	   0	79.0	79.0	 742	OK
  98	   0	70.3	70.3	 845	OK
  99	   0	74.6	74.6	 759	OK
 100	   0	74.5	74.5	 790	OK
 101	   0	77.1	77.1	 737	OK
 102	   0	78.3	78.3	 765	OK
 103	   0	72.5	72.5	 807	OK
 104	   0	81.2	81.2	 745	OK
 105	   0	77.9	77.9	 748	OK
 106	   0	76.9	76.9	 766	OK
 107	   0	77.9	77.9	 782	OK
 108	   0	77.1	77.1	 761	OK
 109	   0	70.0	70.0	 838	OK
 110	   0	71.3	71.3	 786	OK
 111	   0	78.4	78.4	 755	OK
 112	   0	84.3	84.3	 721	OK
 113	   0	82.1	82.1	 747	OK
 114	   0	80.2	80.2	 755	OK
 115	   0	78.5	78.5	 716	OK
 116	   0	81.2	81.2	 737	OK
 117	   0	79.5	79.5	 742	OK
 118	   0	84.4	84.4	 706	OK
 119	   0	80.6	80.6	 753	OK
 120	   0	76.9	76.9	 794	OK
 121	   0	73.4	73.4	 829	OK
 122	   0	76.1	76.1	 773	OK
 123	   0	72.7	72.7	 767	OK
 124	   0	79.7	79.7	 772	OK
 125	   0	86.9	86.9	 716	OK
 126	   0	75.5	75.5	 793	OK
 127	   0	84.0	84.0	 727	OK
 128	   0	79.8	79.8	 689	OK
 129	   0	79.8	79.8	 728	OK
 130	   0	80.2	80.2	 688	OK
 131	   0	82.4	82.4	 672	OK
 132	   0	79.8	79.8	 732	OK
 133	   0	85.6	85.6	 681	OK
 134	   0	85.1	85.1	 711	OK
 135	   0	82.2	82.2	 693	OK
 136	   0	85.6	85.6	 656	OK
 137	   0	85.1	85.1	 723	OK
 138	   0	78.8	78.8	 732	OK
 139	   0	83.9	83.9	 679	OK
 140	   0	81.2	81.2	 702	OK
 141	   0	79.0	79.0	 681	OK
 142	   0	82.5	82.5	 716	OK
 143	   0	76.2	76.2	 705	OK
 144	   0	86.3	86.3	 702	OK
 145	   0	86.3	86.3	 699	OK
 146	   0	82.5	82.5	 670	OK
 147	   0	81.5	81.5	 731	OK
 148	   0	74.4	74.4	 756	OK
 149	   0	78.5	78.5	 720	OK
 150	   0	87.1	87.1	 669	OK
 151	   0	82.7	82.7	 708	OK
 152	   0	84.5	84.5	 670	OK
 153	   0	82.1	82.1	 711	OK
 154	   0	82.4	82.4	 675	OK
 155	   0	74.9	74.9	 734	OK
 156	   0	79.3	79.3	 699	OK
 157	   0	85.7	85.7	 664	OK
 158	   0	75.9	75.9	 699	OK
 159	   0	82.9	82.9	 713	OK
 160	   0	77.4	77.4	 706	OK
 161	   0	81.7	81.7	 711	OK
 162	   0	77.4	77.4	 717	OK
 163	   0	79.7	79.7	 705	OK
 164	   0	86.7	86.7	 702	OK
 165	   0	76.9	76.9	 683	OK
 166	   0	82.6	82.6	 724	OK
 167	   0	81.9	81.9	 693	OK
 168	   0	81.1	81.1	 686	OK
 169	   0	79.5	79.5	 705	OK
 170	   0	83.1	83.1	 710	OK
 171	   0	80.4	80.4	 710	OK
 172	   0	85.3	85.3	 687	OK
 173	   0	80.0	80.0	 716	OK
 174	   0	79.7	79.7	 714	OK
 175	   0	77.8	77.8	 739	OK
