#chan	code	gain	offset	innse	comment
   0	   0	108.3	108.3	 584	OK
   1	   0	108.6	108.6	 586	OK
   2	   0	95.4	95.4	 602	OK
   3	   0	97.2	97.2	 657	OK
   4	   0	90.4	90.4	 629	OK
   5	   0	100.2	100.2	 600	OK
   6	   0	91.5	91.5	 649	OK
   7	   0	104.9	104.9	 611	OK
   8	   0	94.5	94.5	 648	OK
   9	   0	94.5	94.5	 644	OK
  10	   0	97.2	97.2	 621	OK
  11	   0	95.7	95.7	 610	OK
  12	   0	110.0	110.0	 571	OK
  13	   0	94.1	94.1	 631	OK
  14	   0	98.2	98.2	 593	OK
  15	   0	98.0	98.0	 567	OK
  16	   0	94.2	94.2	 647	OK
  17	   0	101.2	101.2	 602	OK
  18	   0	96.0	96.0	 656	OK
  19	   0	101.8	101.8	 638	OK
  20	   0	92.6	92.6	 623	OK
  21	   0	97.7	97.7	 629	OK
  22	   0	100.7	100.7	 620	OK
  23	   0	99.2	99.2	 668	OK
  24	   0	95.2	95.2	 615	OK
  25	   0	99.8	99.8	 620	OK
  26	   0	100.3	100.3	 637	OK
  27	   0	99.9	99.9	 648	OK
  28	   0	104.3	104.3	 594	OK
  29	   0	98.4	98.4	 645	OK
  30	   0	109.0	109.0	 654	OK
  31	   0	96.6	96.6	 631	OK
  32	   0	95.4	95.4	 679	OK
  33	   0	95.3	95.3	 657	OK
  34	   0	95.9	95.9	 676	OK
  35	   0	99.6	99.6	 647	OK
  36	   0	96.6	96.6	 669	OK
  37	   0	93.9	93.9	 672	OK
  38	   0	95.2	95.2	 630	OK
  39	   0	95.7	95.7	 658	OK
  40	   0	100.7	100.7	 645	OK
  41	   0	107.3	107.3	 674	OK
  42	   0	102.0	102.0	 655	OK
  43	   0	98.1	98.1	 678	OK
  44	   0	96.9	96.9	 657	OK
  45	   0	97.3	97.3	 661	OK
  46	   0	104.0	104.0	 640	OK
  47	   0	97.9	97.9	 683	OK
  48	   0	101.3	101.3	 655	OK
  49	   0	93.8	93.8	 659	OK
  50	   0	99.0	99.0	 652	OK
  51	   0	96.1	96.1	 676	OK
  52	   0	102.0	102.0	 643	OK
  53	   0	104.4	104.4	 654	OK
  54	   0	93.7	93.7	 691	OK
  55	   0	102.0	102.0	 666	OK
  56	   0	99.6	99.6	 632	OK
  57	   0	104.3	104.3	 648	OK
  58	   0	101.9	101.9	 633	OK
  59	   0	103.1	103.1	 651	OK
  60	   0	101.6	101.6	 644	OK
  61	   0	101.9	101.9	 638	OK
  62	   0	103.8	103.8	 647	OK
  63	   0	98.5	98.5	 646	OK
  64	   0	105.6	105.6	 657	OK
  65	   0	97.5	97.5	 677	OK
  66	   0	102.3	102.3	 669	OK
  67	   0	107.7	107.7	 668	OK
  68	   0	102.9	102.9	 676	OK
  69	   0	101.0	101.0	 660	OK
  70	   0	108.4	108.4	 641	OK
