#chan	code	gain	offset	innse	comment
   0	   0	99.9	106.3	 625	OK
   1	   0	102.1	108.8	 615	OK
   2	   0	88.5	93.3	 661	OK
   3	   0	91.3	96.4	 637	OK
   4	   0	84.2	88.5	 655	OK
   5	   0	93.7	99.1	 627	OK
   6	   0	85.2	89.6	 660	OK
   7	   0	98.4	104.7	 633	OK
   8	   0	88.4	93.1	 634	OK
   9	   0	87.7	92.5	 647	OK
  10	   0	90.8	95.7	 649	OK
  11	   0	89.7	94.7	 652	OK
  12	   0	104.6	111.8	 590	OK
  13	   0	87.3	92.0	 639	OK
  14	   0	92.1	97.5	 634	OK
  15	   0	91.7	96.8	 629	OK
  16	   0	87.4	92.2	 676	OK
  17	   0	94.8	100.3	 637	OK
  18	   0	89.5	94.3	 660	OK
  19	   0	95.4	101.0	 652	OK
  20	   0	86.0	90.6	 689	OK
  21	   0	90.3	95.1	 666	OK
  22	   0	94.2	99.6	 652	OK
  23	   0	92.1	97.3	 648	OK
  24	   0	88.4	93.4	 642	OK
  25	   0	93.8	99.4	 644	OK
  26	   0	93.7	99.2	 659	OK
  27	   0	93.4	98.9	 653	OK
  28	   0	97.8	103.9	 657	OK
  29	   0	91.6	96.6	 670	OK
  30	   0	102.2	108.7	 625	OK
  31	   0	90.0	94.7	 667	OK
  32	   0	89.2	94.3	 672	OK
  33	   0	88.8	93.6	 720	OK
  34	   0	89.6	94.7	 703	OK
  35	   0	92.4	97.8	 670	OK
  36	   0	89.3	94.1	 708	OK
  37	   0	86.7	91.4	 725	OK
  38	   0	88.5	93.4	 704	OK
  39	   0	88.7	93.7	 694	OK
  40	   0	94.5	100.1	 670	OK
  41	   0	100.0	106.3	 652	OK
  42	   0	95.3	100.9	 683	OK
  43	   0	90.7	95.9	 718	OK
  44	   0	90.1	95.3	 681	OK
  45	   0	90.4	95.7	 665	OK
  46	   0	97.7	103.5	 687	OK
  47	   0	90.6	95.9	 700	OK
  48	   0	94.3	99.8	 671	OK
  49	   0	87.4	91.9	 680	OK
  50	   0	92.4	97.5	 674	OK
  51	   0	90.2	95.3	 683	OK
  52	   0	95.0	100.7	 697	OK
  53	   0	97.0	103.2	 649	OK
  54	   0	86.2	90.9	 726	OK
  55	   0	95.7	101.3	 696	OK
  56	   0	92.5	97.7	 704	OK
  57	   0	96.8	103.0	 679	OK
  58	   0	94.7	100.4	 686	OK
  59	   0	95.3	100.9	 685	OK
  60	   0	94.9	100.8	 676	OK
  61	   0	94.5	100.3	 706	OK
  62	   0	97.3	103.4	 682	OK
  63	   0	91.6	97.0	 677	OK
  64	   0	97.9	103.9	 704	OK
  65	   0	90.4	95.5	 716	OK
  66	   0	94.6	100.0	 686	OK
  67	   0	100.0	106.4	 659	OK
  68	   0	96.2	102.1	 695	OK
  69	   0	93.9	99.2	 689	OK
  70	   0	100.2	106.5	 648	OK
  71	   0	90.7	96.0	 691	OK
  72	   0	96.1	101.9	 677	OK
  73	   0	88.4	93.6	 714	OK
  74	   0	85.8	90.2	 706	OK
  75	   0	93.0	98.7	 668	OK
  76	   0	99.7	106.1	 689	OK
  77	   0	93.2	98.9	 712	OK
  78	   0	97.5	103.6	 664	OK
  79	   0	98.3	104.4	 683	OK
  80	   0	94.0	99.7	 687	OK
  81	   0	84.7	89.2	 720	OK
  82	   0	87.6	92.4	 731	OK
  83	   0	88.4	93.4	 712	OK
  84	   0	96.5	102.2	 700	OK
  85	   0	91.0	96.2	 704	OK
  86	   0	87.1	91.9	 727	OK
  87	   0	80.9	85.0	 754	OK
  88	   0	90.6	95.8	 693	OK
  89	   0	91.7	96.9	 695	OK
  90	   0	88.1	93.0	 713	OK
  91	   0	91.6	96.8	 665	OK
  92	   0	95.1	100.7	 684	OK
  93	   0	99.5	105.7	 674	OK
  94	   0	84.7	89.2	 715	OK
  95	   0	95.4	101.4	 650	OK
  96	   0	89.4	94.4	 721	OK
  97	   0	89.5	94.6	 676	OK
  98	   0	97.8	104.0	 678	OK
  99	   0	86.8	91.4	 702	OK
 100	   0	88.9	93.6	 719	OK
 101	   0	89.4	94.3	 692	OK
 102	   0	80.7	84.7	 692	OK
 103	   0	90.1	95.2	 680	OK
 104	   0	97.7	103.9	 682	OK
