#chan	code	gain	offset	innse	comment
   0	   0	91.2	91.2	 602	OK
   1	   0	89.5	89.5	 596	OK
   2	   0	88.1	88.1	 598	OK
   3	   0	94.4	94.4	 612	OK
   4	   0	91.0	91.0	 616	OK
   5	   0	84.3	84.3	 602	OK
   6	   0	89.2	89.2	 606	OK
   7	   0	92.8	92.8	 591	OK
   8	   0	84.3	84.3	 630	OK
   9	   0	79.8	79.8	 633	OK
  10	   0	80.0	80.0	 629	OK
  11	   0	84.9	84.9	 603	OK
  12	   0	87.0	87.0	 624	OK
  13	   0	85.5	85.5	 628	OK
  14	   0	82.0	82.0	 649	OK
  15	   0	84.6	84.6	 677	OK
  16	   0	86.1	86.1	 614	OK
  17	   0	92.9	92.9	 594	OK
  18	   0	87.6	87.6	 607	OK
  19	   0	85.8	85.8	 627	OK
  20	   0	82.8	82.8	 617	OK
  21	   0	75.0	75.0	 669	OK
  22	   0	83.3	83.3	 619	OK
  23	   0	86.1	86.1	 589	OK
  24	   0	93.2	93.2	 598	OK
  25	   0	87.4	87.4	 607	OK
  26	   0	87.6	87.6	 594	OK
  27	   0	85.0	85.0	 584	OK
  28	   0	91.5	91.5	 600	OK
  29	   0	87.8	87.8	 599	OK
  30	   0	91.5	91.5	 594	OK
  31	   0	84.6	84.6	 623	OK
  32	   0	86.2	86.2	 625	OK
  33	   0	90.3	90.3	 614	OK
  34	   0	87.8	87.8	 590	OK
  35	   0	94.7	94.7	 607	OK
  36	   0	86.0	86.0	 591	OK
  37	   0	84.4	84.4	 632	OK
  38	   0	89.5	89.5	 600	OK
  39	   0	93.0	93.0	 570	OK
  40	   0	86.8	86.8	 619	OK
  41	   0	87.1	87.1	 596	OK
  42	   0	85.4	85.4	 610	OK
  43	   0	88.5	88.5	 608	OK
  44	   0	86.0	86.0	 627	OK
  45	   0	84.5	84.5	 619	OK
  46	   0	94.7	94.7	 596	OK
  47	   0	84.0	84.0	 632	OK
  48	   0	87.7	87.7	 625	OK
  49	   0	90.7	90.7	 616	OK
  50	   0	87.7	87.7	 602	OK
  51	   0	93.2	93.2	 645	OK
  52	   0	79.7	79.7	 614	OK
  53	   0	82.4	82.4	 665	OK
  54	   0	92.1	92.1	 634	OK
  55	   0	88.6	88.6	 637	OK
  56	   0	89.3	89.3	 631	OK
  57	   0	86.2	86.2	 653	OK
  58	   0	85.8	85.8	 662	OK
  59	   0	87.6	87.6	 654	OK
  60	   0	87.7	87.7	 635	OK
  61	   0	89.9	89.9	 619	OK
  62	   0	88.6	88.6	 627	OK
  63	   0	90.2	90.2	 642	OK
  64	   0	92.8	92.8	 627	OK
  65	   0	89.8	89.8	 626	OK
  66	   0	84.0	84.0	 665	OK
  67	   0	91.4	91.4	 605	OK
  68	   0	89.8	89.8	 636	OK
  69	   0	90.0	90.0	 626	OK
  70	   0	97.4	97.4	 616	OK
  71	   0	86.2	86.2	 630	OK
  72	   0	95.4	95.4	 619	OK
  73	   0	94.6	94.6	 609	OK
  74	   0	95.0	95.0	 595	OK
  75	   0	87.0	87.0	 641	OK
  76	   0	84.0	84.0	 621	OK
  77	   0	85.0	85.0	 656	OK
  78	   0	91.4	91.4	 647	OK
  79	   0	95.1	95.1	 629	OK
  80	   0	84.8	84.8	 657	OK
  81	   0	87.5	87.5	 616	OK
  82	   0	87.1	87.1	 613	OK
  83	   0	87.0	87.0	 668	OK
  84	   0	92.2	92.2	 624	OK
  85	   0	89.1	89.1	 621	OK
  86	   0	89.2	89.2	 645	OK
