#chan	code	gain	offset	innse	comment
   0	   0	92.1	40.1	 595	OK
   1	   0	88.0	44.3	 625	OK
   2	   0	94.2	36.4	 616	OK
   3	   0	86.3	46.6	 634	OK
   4	   0	100.5	29.7	 588	OK
   5	   0	98.5	30.7	 582	OK
   6	   0	84.1	49.1	 657	OK
   7	   0	92.2	39.0	 647	OK
   8	   0	94.3	35.2	 620	OK
   9	   0	89.0	43.8	 636	OK
  10	   0	87.7	45.2	 648	OK
  11	   0	83.9	47.5	 646	OK
  12	   0	87.8	42.5	 646	OK
  13	   0	93.6	36.8	 626	OK
  14	   0	98.4	31.2	 631	OK
  15	   0	95.9	34.6	 611	OK
  16	   0	90.5	40.6	 654	OK
  17	   0	91.9	38.6	 640	OK
  18	   0	94.5	34.6	 634	OK
  19	   0	101.5	28.7	 606	OK
  20	   0	87.6	44.2	 655	OK
  21	   0	95.8	34.5	 629	OK
  22	   0	85.8	44.7	 651	OK
  23	   0	92.8	37.9	 646	OK
  24	   0	95.1	34.2	 668	OK
  25	   0	89.2	42.7	 669	OK
  26	   0	95.8	35.3	 617	OK
  27	   0	91.6	38.2	 631	OK
  28	   0	92.5	38.8	 644	OK
  29	   0	97.7	32.3	 609	OK
  30	   0	97.3	32.4	 635	OK
  31	   0	89.5	40.8	 667	OK
  32	   0	98.3	32.3	 633	OK
  33	   0	91.7	38.0	 640	OK
  34	   0	97.2	34.5	 632	OK
  35	   0	87.2	46.5	 687	OK
  36	   0	90.7	41.0	 654	OK
  37	   0	96.7	34.6	 637	OK
  38	   0	95.7	33.4	 624	OK
  39	   0	96.5	32.5	 647	OK
  40	   0	90.3	42.5	 670	OK
  41	   0	89.1	42.8	 682	OK
  42	   0	91.3	42.1	 663	OK
  43	   0	93.4	39.1	 644	OK
  44	   0	92.2	39.3	 681	OK
  45	   0	91.6	39.1	 659	OK
  46	   0	96.3	34.0	 605	OK
  47	   0	99.5	28.8	 705	OK
  48	   0	95.7	33.2	 662	OK
  49	   0	93.9	37.5	 649	OK
  50	   0	99.6	31.2	 656	OK
  51	   0	86.7	44.5	 667	OK
  52	   0	94.9	35.8	 651	OK
  53	   0	89.0	43.4	 657	OK
  54	   0	88.8	43.0	 659	OK
  55	   0	91.9	40.2	 630	OK
  56	   0	89.7	41.0	 661	OK
  57	   0	97.5	33.7	 634	OK
  58	   0	91.7	39.5	 661	OK
  59	   0	94.4	35.6	 654	OK
  60	   0	95.5	35.6	 644	OK
  61	   0	91.5	42.0	 651	OK
  62	   0	94.8	34.9	 644	OK
  63	   0	97.4	33.7	 657	OK
  64	   0	95.8	35.2	 647	OK
  65	   0	88.5	42.2	 673	OK
  66	   0	95.2	35.6	 657	OK
  67	   0	101.3	28.0	 652	OK
  68	   0	93.7	38.4	 652	OK
  69	   0	89.0	40.7	 646	OK
  70	   0	95.3	36.5	 649	OK
  71	   0	91.3	41.5	 677	OK
  72	   0	87.1	46.7	 651	OK
  73	   0	87.5	43.6	 674	OK
  74	   0	83.7	48.8	 685	OK
  75	   0	87.0	45.0	 655	OK
  76	   0	86.3	46.3	 659	OK
  77	   0	96.5	36.0	 659	OK
  78	   0	93.0	39.3	 681	OK
  79	   0	89.5	43.7	 646	OK
  80	   0	88.4	45.1	 642	OK
  81	   0	90.8	42.0	 663	OK
  82	   0	92.0	38.4	 660	OK
  83	   0	84.8	49.9	 675	OK
  84	   0	89.0	41.3	 663	OK
  85	   0	88.2	44.2	 674	OK
  86	   0	92.8	40.2	 644	OK
  87	   0	87.7	44.0	 666	OK
  88	   0	84.1	49.5	 683	OK
  89	   0	96.9	33.0	 664	OK
  90	   0	91.0	42.3	 645	OK
  91	   0	89.1	41.0	 660	OK
  92	   0	91.7	39.0	 662	OK
  93	   0	83.6	50.2	 673	OK
  94	   0	96.5	34.4	 645	OK
  95	   0	91.1	40.4	 644	OK
  96	   0	92.5	38.9	 655	OK
  97	   0	90.9	41.3	 660	OK
  98	   0	95.6	34.7	 651	OK
  99	   0	84.9	46.3	 692	OK
 100	   0	91.8	40.9	 642	OK
 101	   0	89.2	41.1	 667	OK
 102	   0	91.0	40.6	 653	OK
 103	   0	88.5	44.7	 640	OK
 104	   0	97.7	32.3	 629	OK
 105	   0	93.0	38.8	 650	OK
 106	   0	83.5	48.2	 690	OK
 107	   0	99.9	29.6	 641	OK
 108	   0	85.3	48.4	 670	OK
 109	   0	91.4	38.8	 645	OK
 110	   0	92.1	37.9	 647	OK
 111	   0	86.0	47.7	 655	OK
