#chan	code	gain	offset	innse	comment
   0	   0	85.3	85.3	 620	OK
   1	   0	87.5	87.5	 603	OK
   2	   0	93.2	93.2	 548	OK
   3	   0	93.9	93.9	 593	OK
   4	   0	90.0	90.0	 604	OK
   5	   0	89.3	89.3	 581	OK
   6	   0	92.7	92.7	 608	OK
   7	   0	94.1	94.1	 589	OK
   8	   0	93.5	93.5	 589	OK
   9	   0	92.3	92.3	 595	OK
  10	   0	95.5	95.5	 570	OK
  11	   0	91.3	91.3	 578	OK
  12	   0	91.9	91.9	 587	OK
  13	   0	98.2	98.2	 573	OK
  14	   0	83.3	83.3	 623	OK
  15	   0	90.5	90.5	 588	OK
  16	   0	99.0	99.0	 571	OK
  17	   0	89.0	89.0	 599	OK
  18	   0	93.4	93.4	 570	OK
  19	   0	96.7	96.7	 569	OK
  20	   0	94.9	94.9	 584	OK
  21	   0	89.4	89.4	 577	OK
  22	   0	94.9	94.9	 573	OK
  23	1000	108.8	108.8	 536	unbonded
  24	   0	100.0	100.0	 585	OK
  25	   0	87.2	87.2	 586	OK
  26	   0	92.9	92.9	 592	OK
  27	   0	92.8	92.8	 578	OK
  28	   0	90.1	90.1	 587	OK
  29	   0	97.6	97.6	 577	OK
  30	   0	91.8	91.8	 579	OK
  31	   0	95.4	95.4	 596	OK
  32	   0	93.1	93.1	 572	OK
  33	   0	97.9	97.9	 581	OK
  34	   0	95.7	95.7	 551	OK
  35	   0	92.3	92.3	 602	OK
  36	   0	94.0	94.0	 571	OK
  37	   0	91.5	91.5	 590	OK
  38	   0	92.0	92.0	 566	OK
  39	   0	92.4	92.4	 600	OK
  40	   0	92.3	92.3	 609	OK
  41	   0	102.9	102.9	 574	OK
  42	   0	92.7	92.7	 611	OK
  43	   0	101.2	101.2	 577	OK
  44	   0	89.1	89.1	 607	OK
  45	   0	93.3	93.3	 591	OK
  46	   0	92.8	92.8	 593	OK
  47	   0	93.6	93.6	 597	OK
  48	   0	103.8	103.8	 569	OK
  49	   0	94.1	94.1	 606	OK
  50	   0	92.8	92.8	 578	OK
  51	   0	93.9	93.9	 586	OK
  52	   0	96.4	96.4	 589	OK
  53	   0	91.0	91.0	 615	OK
  54	   0	96.6	96.6	 574	OK
  55	   0	101.1	101.1	 594	OK
  56	   0	98.7	98.7	 601	OK
  57	   0	90.7	90.7	 615	OK
  58	   0	96.1	96.1	 597	OK
  59	   0	96.8	96.8	 599	OK
  60	   0	91.3	91.3	 609	OK
  61	   0	91.5	91.5	 630	OK
  62	   0	88.2	88.2	 625	OK
  63	   0	94.0	94.0	 608	OK
  64	   0	103.2	103.2	 594	OK
  65	   0	99.6	99.6	 593	OK
  66	   0	92.5	92.5	 592	OK
  67	   0	99.6	99.6	 593	OK
  68	   0	94.9	94.9	 621	OK
  69	   0	90.6	90.6	 602	OK
  70	   0	91.7	91.7	 629	OK
  71	   0	93.6	93.6	 588	OK
  72	   0	100.3	100.3	 592	OK
  73	   0	96.0	96.0	 603	OK
  74	   0	91.3	91.3	 626	OK
  75	   0	94.0	94.0	 598	OK
  76	   0	93.4	93.4	 609	OK
  77	   0	96.6	96.6	 601	OK
  78	   0	92.8	92.8	 608	OK
  79	   0	88.2	88.2	 623	OK
  80	   0	92.8	92.8	 629	OK
  81	   0	97.7	97.7	 579	OK
  82	   0	95.8	95.8	 578	OK
  83	   0	88.2	88.2	 622	OK
  84	   0	88.3	88.3	 617	OK
  85	   0	91.7	91.7	 619	OK
  86	   0	97.6	97.6	 581	OK
  87	   0	101.2	101.2	 597	OK
  88	   0	99.4	99.4	 578	OK
  89	   0	87.5	87.5	 613	OK
  90	   0	94.1	94.1	 614	OK
  91	   0	87.6	87.6	 609	OK
  92	   0	94.7	94.7	 600	OK
  93	   0	98.9	98.9	 597	OK
  94	   0	90.9	90.9	 585	OK
  95	   0	91.0	91.0	 615	OK
  96	   0	101.1	101.1	 576	OK
  97	   0	100.7	100.7	 572	OK
  98	   0	93.7	93.7	 596	OK
  99	   0	93.5	93.5	 589	OK
 100	   0	97.2	97.2	 591	OK
 101	   0	92.0	92.0	 599	OK
 102	   0	92.6	92.6	 578	OK
 103	   0	98.8	98.8	 559	OK
 104	   0	92.7	92.7	 594	OK
 105	   0	94.0	94.0	 578	OK
 106	   0	92.8	92.8	 612	OK
 107	   0	94.8	94.8	 594	OK
 108	   0	91.5	91.5	 618	OK
 109	   0	96.0	96.0	 580	OK
 110	   0	89.9	89.9	 585	OK
 111	   0	95.5	95.5	 585	OK
 112	   0	101.8	101.8	 579	OK
 113	   0	91.8	91.8	 606	OK
 114	   0	92.8	92.8	 581	OK
 115	   0	90.6	90.6	 590	OK
 116	   0	94.1	94.1	 598	OK
 117	   0	95.6	95.6	 588	OK
 118	   0	87.4	87.4	 633	OK
 119	   0	96.8	96.8	 589	OK
 120	   0	90.3	90.3	 593	OK
 121	   0	91.3	91.3	 588	OK
 122	   0	97.4	97.4	 602	OK
 123	   0	98.0	98.0	 582	OK
 124	   0	92.6	92.6	 616	OK
 125	   0	94.9	94.9	 615	OK
 126	   0	86.2	86.2	 601	OK
 127	   0	94.3	94.3	 599	OK
 128	   0	99.4	99.4	 611	OK
 129	   0	101.8	101.8	 621	OK
 130	   0	93.4	93.4	 633	OK
 131	   0	96.3	96.3	 599	OK
 132	   0	96.5	96.5	 606	OK
 133	   0	91.2	91.2	 636	OK
 134	   0	95.6	95.6	 598	OK
 135	   0	93.9	93.9	 595	OK
 136	   0	92.1	92.1	 621	OK
 137	   0	91.6	91.6	 635	OK
 138	   0	94.1	94.1	 612	OK
 139	   0	103.3	103.3	 586	OK
 140	   0	92.2	92.2	 624	OK
 141	   0	96.2	96.2	 626	OK
 142	   0	96.3	96.3	 628	OK
 143	   0	96.1	96.1	 610	OK
 144	   0	98.1	98.1	 606	OK
 145	   0	102.4	102.4	 607	OK
 146	   0	101.1	101.1	 598	OK
 147	   0	95.1	95.1	 620	OK
 148	   0	93.1	93.1	 635	OK
 149	   0	88.6	88.6	 648	OK
 150	   0	99.8	99.8	 599	OK
 151	   0	98.8	98.8	 598	OK
 152	   0	92.1	92.1	 624	OK
 153	   0	94.6	94.6	 604	OK
 154	   0	92.7	92.7	 604	OK
 155	   0	91.8	91.8	 629	OK
 156	   0	96.9	96.9	 606	OK
 157	   0	101.6	101.6	 633	OK
 158	   0	101.1	101.1	 590	OK
 159	   0	95.6	95.6	 608	OK
 160	   0	100.5	100.5	 602	OK
 161	   0	96.6	96.6	 592	OK
 162	   0	96.2	96.2	 600	OK
 163	   0	102.4	102.4	 614	OK
 164	   0	94.0	94.0	 620	OK
 165	   0	100.0	100.0	 603	OK
 166	   0	100.3	100.3	 621	OK
 167	   0	86.5	86.5	 627	OK
 168	   0	93.6	93.6	 620	OK
 169	   0	99.9	99.9	 590	OK
 170	   0	107.6	107.6	 578	OK
 171	   0	100.2	100.2	 602	OK
 172	   0	100.7	100.7	 595	OK
 173	   0	94.9	94.9	 591	OK
 174	   0	101.4	101.4	 588	OK
 175	   0	97.6	97.6	 628	OK
 176	   0	95.9	95.9	 610	OK
 177	   0	95.5	95.5	 606	OK
 178	   0	93.3	93.3	 643	OK
 179	   0	95.8	95.8	 600	OK
 180	   0	99.7	99.7	 582	OK
 181	   0	96.7	96.7	 612	OK
 182	   0	104.1	104.1	 581	OK
 183	   0	98.4	98.4	 610	OK
 184	   0	99.5	99.5	 624	OK
 185	   0	97.3	97.3	 603	OK
 186	   0	99.7	99.7	 616	OK
 187	   0	100.9	100.9	 589	OK
 188	   0	99.0	99.0	 595	OK
