#chan	code	gain	offset	innse	comment
   0	   0	98.1	98.1	 753	OK
   1	   0	92.2	92.2	 725	OK
   2	   0	98.2	98.2	 731	OK
   3	   0	90.1	90.1	 757	OK
   4	   0	104.5	104.5	 687	OK
   5	   0	102.4	102.4	 727	OK
   6	   0	87.6	87.6	 772	OK
   7	   0	96.4	96.4	 747	OK
   8	   0	98.4	98.4	 735	OK
   9	   0	92.3	92.3	 755	OK
  10	   0	91.8	91.8	 760	OK
  11	   0	86.9	86.9	 760	OK
  12	   0	91.6	91.6	 753	OK
  13	   0	97.4	97.4	 741	OK
  14	   0	102.9	102.9	 705	OK
  15	   0	102.0	102.0	 719	OK
  16	   0	94.3	94.3	 739	OK
  17	   0	96.5	96.5	 711	OK
  18	   0	98.5	98.5	 724	OK
  19	   0	105.3	105.3	 751	OK
  20	   0	91.4	91.4	 777	OK
  21	   0	99.9	99.9	 726	OK
  22	   0	89.0	89.0	 758	OK
  23	   0	96.2	96.2	 752	OK
  24	   0	99.3	99.3	 758	OK
  25	   0	93.3	93.3	 750	OK
  26	   0	99.9	99.9	 743	OK
  27	   0	95.2	95.2	 760	OK
  28	   0	95.9	95.9	 733	OK
  29	   0	102.9	102.9	 728	OK
  30	   0	102.2	102.2	 721	OK
  31	   0	93.8	93.8	 745	OK
  32	   0	102.7	102.7	 744	OK
  33	   0	94.9	94.9	 778	OK
  34	   0	101.2	101.2	 736	OK
  35	   0	90.5	90.5	 790	OK
  36	   0	94.5	94.5	 739	OK
  37	   0	100.9	100.9	 754	OK
  38	   0	99.6	99.6	 724	OK
  39	   0	100.4	100.4	 766	OK
  40	   0	94.1	94.1	 770	OK
  41	   0	93.4	93.4	 759	OK
  42	   0	95.2	95.2	 748	OK
  43	   0	97.6	97.6	 747	OK
  44	   0	95.2	95.2	 775	OK
  45	   0	96.2	96.2	 778	OK
  46	   0	100.6	100.6	 736	OK
  47	   0	103.8	103.8	 812	OK
  48	   0	99.7	99.7	 744	OK
  49	   0	98.2	98.2	 749	OK
  50	   0	104.6	104.6	 735	OK
  51	   0	89.8	89.8	 804	OK
  52	   0	99.3	99.3	 764	OK
  53	   0	93.0	93.0	 786	OK
  54	   0	92.4	92.4	 770	OK
  55	   0	95.5	95.5	 765	OK
  56	   0	94.4	94.4	 760	OK
  57	   0	101.4	101.4	 753	OK
  58	   0	95.0	95.0	 766	OK
  59	   0	98.3	98.3	 751	OK
  60	   0	99.7	99.7	 758	OK
  61	   0	95.5	95.5	 779	OK
  62	   0	97.8	97.8	 754	OK
  63	   0	100.1	100.1	 787	OK
  64	   0	99.0	99.0	 744	OK
  65	   0	91.8	91.8	 771	OK
  66	   0	98.3	98.3	 759	OK
  67	   0	104.4	104.4	 759	OK
  68	   0	98.0	98.0	 765	OK
  69	   0	92.8	92.8	 783	OK
  70	   0	99.0	99.0	 753	OK
  71	   0	94.2	94.2	 765	OK
  72	   0	90.6	90.6	 775	OK
  73	   0	90.6	90.6	 803	OK
  74	   0	87.4	87.4	 771	OK
  75	   0	91.2	91.2	 788	OK
  76	   0	89.9	89.9	 788	OK
  77	   0	102.3	102.3	 770	OK
  78	   0	97.2	97.2	 755	OK
  79	   0	92.4	92.4	 771	OK
  80	   0	91.8	91.8	 762	OK
  81	   0	94.2	94.2	 767	OK
  82	   0	94.9	94.9	 787	OK
  83	   0	88.4	88.4	 773	OK
  84	   0	93.1	93.1	 770	OK
  85	   0	92.2	92.2	 806	OK
  86	   0	96.6	96.6	 770	OK
  87	   0	90.9	90.9	 793	OK
  88	   0	88.5	88.5	 784	OK
  89	   0	101.3	101.3	 762	OK
  90	   0	95.3	95.3	 759	OK
  91	   0	92.4	92.4	 776	OK
  92	   0	95.0	95.0	 783	OK
  93	   0	87.5	87.5	 816	OK
  94	   0	100.5	100.5	 736	OK
  95	   0	95.4	95.4	 777	OK
  96	   0	96.5	96.5	 783	OK
  97	   0	94.9	94.9	 766	OK
  98	   0	99.8	99.8	 745	OK
  99	   0	88.5	88.5	 792	OK
 100	   0	96.3	96.3	 754	OK
 101	   0	93.7	93.7	 777	OK
 102	   0	95.0	95.0	 746	OK
 103	   0	93.4	93.4	 779	OK
 104	   0	102.3	102.3	 725	OK
 105	   0	97.8	97.8	 779	OK
 106	   0	88.1	88.1	 781	OK
 107	   0	104.5	104.5	 756	OK
 108	   0	88.3	88.3	 770	OK
 109	   0	95.6	95.6	 734	OK
 110	   0	95.9	95.9	 750	OK
 111	   0	89.8	89.8	 775	OK
 112	   0	95.1	95.1	 750	OK
 113	   0	94.7	94.7	 781	OK
 114	   0	103.2	103.2	 754	OK
 115	   0	98.4	98.4	 774	OK
 116	   0	89.8	89.8	 784	OK
 117	   0	107.2	107.2	 738	OK
 118	   0	93.5	93.5	 743	OK
 119	   0	95.8	95.8	 780	OK
 120	   0	88.5	88.5	 798	OK
 121	   0	91.5	91.5	 772	OK
 122	   0	97.5	97.5	 755	OK
 123	   0	98.1	98.1	 763	OK
 124	   0	96.9	96.9	 760	OK
 125	   0	99.9	99.9	 768	OK
 126	   0	95.5	95.5	 747	OK
 127	   0	99.0	99.0	 762	OK
 128	   0	89.2	89.2	 763	OK
 129	   0	93.0	93.0	 764	OK
 130	   0	102.3	102.3	 712	OK
 131	   0	93.9	93.9	 767	OK
 132	   0	100.1	100.1	 719	OK
 133	   0	93.3	93.3	 745	OK
 134	   0	88.8	88.8	 750	OK
 135	   0	99.3	99.3	 723	OK
 136	   0	91.2	91.2	 770	OK
 137	   0	90.8	90.8	 760	OK
 138	   0	89.8	89.8	 766	OK
 139	   0	96.0	96.0	 751	OK
 140	   0	100.3	100.3	 766	OK
 141	   0	93.2	93.2	 763	OK
 142	   0	93.6	93.6	 761	OK
 143	   0	97.0	97.0	 744	OK
 144	   0	97.8	97.8	 739	OK
 145	   0	95.6	95.6	 765	OK
 146	   0	96.2	96.2	 728	OK
 147	   0	91.7	91.7	 763	OK
 148	   0	92.5	92.5	 754	OK
 149	   0	99.5	99.5	 744	OK
 150	   0	94.5	94.5	 730	OK
 151	   0	100.0	100.0	 745	OK
 152	   0	92.8	92.8	 754	OK
 153	   0	97.1	97.1	 753	OK
 154	   0	94.1	94.1	 751	OK
 155	   0	95.5	95.5	 765	OK
 156	   0	92.6	92.6	 759	OK
 157	   0	97.0	97.0	 766	OK
 158	   0	103.5	103.5	 746	OK
 159	   0	98.3	98.3	 748	OK
 160	   0	100.1	100.1	 755	OK
 161	   0	91.0	91.0	 772	OK
 162	   0	96.0	96.0	 751	OK
 163	   0	98.8	98.8	 746	OK
 164	   0	98.8	98.8	 738	OK
 165	   0	99.2	99.2	 751	OK
 166	   0	101.2	101.2	 714	OK
 167	   0	92.2	92.2	 767	OK
 168	   0	86.8	86.8	 787	OK
 169	   0	102.3	102.3	 745	OK
 170	   0	93.7	93.7	 735	OK
 171	   0	88.7	88.7	 795	OK
 172	   0	101.4	101.4	 755	OK
 173	   0	93.8	93.8	 780	OK
 174	   0	95.3	95.3	 756	OK
 175	   0	94.2	94.2	 765	OK
 176	   0	88.3	88.3	 756	OK
 177	   0	101.4	101.4	 742	OK
 178	   0	91.9	91.9	 752	OK
 179	   0	99.0	99.0	 745	OK
 180	   0	94.6	94.6	 744	OK
 181	   0	96.3	96.3	 755	OK
 182	   0	95.1	95.1	 756	OK
 183	   0	94.1	94.1	 766	OK
 184	   0	89.9	89.9	 769	OK
 185	   0	91.2	91.2	 758	OK
