#chan	code	gain	offset	innse	comment
   0	   0	85.3	85.3	 767	OK
   1	   0	82.8	82.8	 694	OK
   2	   0	86.0	86.0	 721	OK
   3	   0	89.3	89.3	 690	OK
   4	   0	88.0	88.0	 672	OK
   5	   0	86.3	86.3	 722	OK
   6	   0	84.5	84.5	 693	OK
   7	   0	81.7	81.7	 701	OK
   8	   0	89.2	89.2	 691	OK
   9	   0	81.9	81.9	 691	OK
  10	   0	84.4	84.4	 685	OK
  11	   0	89.0	89.0	 682	OK
  12	   0	80.2	80.2	 672	OK
  13	   0	83.4	83.4	 711	OK
  14	   0	88.5	88.5	 684	OK
  15	   0	81.5	81.5	 675	OK
  16	   0	89.5	89.5	 695	OK
  17	   0	84.0	84.0	 690	OK
  18	   0	88.8	88.8	 633	OK
  19	   0	83.9	83.9	 705	OK
  20	   0	79.8	79.8	 705	OK
  21	   0	79.2	79.2	 738	OK
  22	   0	88.9	88.9	 719	OK
  23	   0	91.9	91.9	 701	OK
  24	   0	86.0	86.0	 699	OK
  25	   0	83.3	83.3	 665	OK
  26	   0	83.6	83.6	 691	OK
  27	   0	80.9	80.9	 673	OK
  28	   0	76.8	76.8	 681	OK
  29	   0	89.9	89.9	 721	OK
  30	   0	84.3	84.3	 730	OK
  31	   0	79.9	79.9	 677	OK
  32	   0	87.6	87.6	 700	OK
  33	   0	81.5	81.5	 744	OK
  34	   0	81.3	81.3	 719	OK
  35	   0	83.0	83.0	 696	OK
  36	   0	83.6	83.6	 700	OK
  37	   0	87.0	87.0	 740	OK
  38	   0	88.2	88.2	 690	OK
  39	   0	84.3	84.3	 684	OK
  40	   0	85.7	85.7	 690	OK
  41	   0	80.5	80.5	 707	OK
  42	   0	83.2	83.2	 699	OK
  43	   0	78.8	78.8	 705	OK
  44	   0	91.3	91.3	 666	OK
  45	   0	88.9	88.9	 718	OK
  46	   0	87.0	87.0	 697	OK
  47	   0	87.2	87.2	 710	OK
  48	   0	84.6	84.6	 713	OK
  49	   0	85.2	85.2	 722	OK
  50	   0	84.5	84.5	 697	OK
  51	   0	84.5	84.5	 702	OK
  52	   0	87.1	87.1	 729	OK
  53	   0	88.0	88.0	 720	OK
  54	   0	81.9	81.9	 745	OK
  55	   0	81.1	81.1	 725	OK
  56	   0	84.9	84.9	 731	OK
  57	   0	86.3	86.3	 714	OK
  58	   0	88.4	88.4	 731	OK
  59	   0	89.1	89.1	 701	OK
  60	   0	81.9	81.9	 738	OK
  61	   0	93.9	93.9	 709	OK
  62	   0	93.4	93.4	 702	OK
  63	   0	90.0	90.0	 724	OK
  64	   0	83.5	83.5	 698	OK
  65	   0	89.8	89.8	 739	OK
  66	   0	90.7	90.7	 748	OK
  67	   0	83.8	83.8	 715	OK
  68	   0	80.5	80.5	 703	OK
  69	   0	74.5	74.5	 720	OK
  70	   0	81.7	81.7	 723	OK
  71	   0	79.7	79.7	 729	OK
  72	   0	89.4	89.4	 705	OK
  73	   0	82.2	82.2	 751	OK
  74	   0	85.6	85.6	 707	OK
  75	   0	84.6	84.6	 741	OK
  76	   0	86.6	86.6	 686	OK
  77	   0	85.5	85.5	 723	OK
  78	   0	80.0	80.0	 731	OK
  79	   0	84.8	84.8	 684	OK
  80	   0	79.6	79.6	 737	OK
  81	   0	93.3	93.3	 693	OK
  82	   0	84.3	84.3	 728	OK
  83	   0	87.5	87.5	 750	OK
  84	   0	77.2	77.2	 730	OK
  85	   0	86.0	86.0	 686	OK
  86	   0	82.8	82.8	 730	OK
  87	   0	89.9	89.9	 749	OK
  88	   0	82.5	82.5	 703	OK
  89	   0	80.5	80.5	 731	OK
  90	   0	79.7	79.7	 715	OK
  91	   0	85.3	85.3	 715	OK
  92	   0	79.6	79.6	 751	OK
  93	   0	80.9	80.9	 734	OK
  94	   0	83.4	83.4	 694	OK
  95	   0	78.0	78.0	 706	OK
  96	   0	83.1	83.1	 733	OK
  97	   0	79.6	79.6	 717	OK
  98	   0	83.1	83.1	 707	OK
  99	   0	83.6	83.6	 702	OK
 100	   0	79.4	79.4	 766	OK
 101	   0	84.8	84.8	 686	OK
 102	   0	82.6	82.6	 721	OK
 103	   0	83.5	83.5	 709	OK
 104	   0	83.9	83.9	 717	OK
 105	   0	86.5	86.5	 735	OK
 106	   0	79.7	79.7	 685	OK
 107	   0	85.8	85.8	 692	OK
 108	   0	85.7	85.7	 705	OK
 109	   0	83.0	83.0	 730	OK
 110	   0	85.5	85.5	 685	OK
 111	   0	84.9	84.9	 703	OK
 112	   0	83.0	83.0	 701	OK
 113	   0	79.9	79.9	 717	OK
 114	   0	89.2	89.2	 700	OK
 115	   0	81.6	81.6	 716	OK
 116	   0	78.5	78.5	 778	OK
 117	   0	81.6	81.6	 751	OK
 118	   0	86.9	86.9	 718	OK
 119	   0	85.4	85.4	 702	OK
 120	   0	79.3	79.3	 725	OK
 121	   0	86.0	86.0	 721	OK
 122	   0	84.6	84.6	 731	OK
 123	   0	84.5	84.5	 675	OK
 124	   0	74.0	74.0	 744	OK
 125	   0	81.6	81.6	 732	OK
 126	   0	86.4	86.4	 723	OK
 127	   0	80.2	80.2	 722	OK
 128	   0	89.6	89.6	 663	OK
 129	   0	89.4	89.4	 686	OK
 130	   0	90.3	90.3	 710	OK
 131	   0	86.8	86.8	 709	OK
 132	   0	96.1	96.1	 717	OK
 133	   0	95.7	95.7	 675	OK
 134	   0	91.0	91.0	 720	OK
 135	   0	87.4	87.4	 700	OK
 136	   0	87.5	87.5	 694	OK
 137	   0	88.7	88.7	 697	OK
 138	   0	92.0	92.0	 665	OK
 139	   0	96.3	96.3	 695	OK
 140	   0	82.4	82.4	 693	OK
 141	   0	100.3	100.3	 698	OK
 142	   0	95.2	95.2	 671	OK
 143	   0	87.5	87.5	 701	OK
 144	   0	81.7	81.7	 750	OK
 145	   0	90.7	90.7	 676	OK
 146	   0	93.3	93.3	 699	OK
 147	   0	89.2	89.2	 728	OK
 148	   0	93.9	93.9	 680	OK
 149	   0	93.7	93.7	 709	OK
 150	   0	100.6	100.6	 710	OK
 151	   0	88.5	88.5	 683	OK
 152	   0	91.6	91.6	 698	OK
 153	   0	90.3	90.3	 719	OK
 154	   0	92.5	92.5	 704	OK
 155	   0	86.0	86.0	 708	OK
 156	   0	84.8	84.8	 739	OK
 157	   0	82.3	82.3	 664	OK
 158	   0	88.7	88.7	 695	OK
 159	   0	90.9	90.9	 695	OK
 160	   0	82.8	82.8	 703	OK
 161	   0	87.2	87.2	 675	OK
 162	   0	89.4	89.4	 670	OK
 163	   0	86.5	86.5	 693	OK
 164	   0	89.0	89.0	 697	OK
 165	   0	92.5	92.5	 710	OK
 166	   0	86.7	86.7	 734	OK
 167	   0	93.0	93.0	 666	OK
 168	   0	93.4	93.4	 685	OK
 169	   0	89.5	89.5	 674	OK
 170	   0	84.3	84.3	 714	OK
 171	   0	92.8	92.8	 725	OK
 172	   0	94.4	94.4	 692	OK
 173	   0	94.3	94.3	 673	OK
 174	   0	88.9	88.9	 708	OK
 175	   0	91.8	91.8	 692	OK
 176	   0	89.8	89.8	 676	OK
 177	   0	88.4	88.4	 700	OK
 178	   0	88.4	88.4	 656	OK
 179	   0	89.4	89.4	 697	OK
 180	   0	93.1	93.1	 675	OK
 181	   0	86.4	86.4	 672	OK
 182	   0	103.7	103.7	 704	OK
 183	   0	94.2	94.2	 686	OK
 184	   0	89.4	89.4	 692	OK
 185	   0	94.3	94.3	 692	OK
 186	   0	88.2	88.2	 683	OK
 187	   0	97.0	97.0	 700	OK
 188	   0	91.1	91.1	 689	OK
 189	   0	92.4	92.4	 662	OK
 190	   0	94.4	94.4	 657	OK
 191	   0	87.9	87.9	 743	OK
 192	   0	95.4	95.4	 687	OK
 193	   0	95.4	95.4	 682	OK
 194	   0	89.9	89.9	 694	OK
 195	   0	91.8	91.8	 687	OK
 196	   0	93.6	93.6	 701	OK
 197	   0	87.4	87.4	 715	OK
 198	   0	97.1	97.1	 672	OK
 199	   0	88.6	88.6	 712	OK
 200	   0	85.5	85.5	 720	OK
 201	   0	88.4	88.4	 722	OK
 202	   0	90.8	90.8	 666	OK
 203	   0	93.9	93.9	 701	OK
 204	   0	92.3	92.3	 708	OK
 205	   0	100.3	100.3	 700	OK
 206	   0	83.2	83.2	 715	OK
 207	   0	91.5	91.5	 686	OK
 208	   0	93.6	93.6	 682	OK
 209	   0	86.9	86.9	 698	OK
 210	   0	90.4	90.4	 699	OK
 211	   0	86.9	86.9	 721	OK
 212	   0	93.6	93.6	 684	OK
 213	   0	87.9	87.9	 665	OK
 214	   0	87.8	87.8	 695	OK
 215	   0	92.3	92.3	 708	OK
 216	   0	83.9	83.9	 682	OK
 217	   0	89.2	89.2	 704	OK
 218	   0	90.5	90.5	 676	OK
 219	   0	88.1	88.1	 714	OK
 220	   0	92.1	92.1	 654	OK
 221	   0	92.6	92.6	 679	OK
 222	   0	86.3	86.3	 650	OK
 223	   0	87.9	87.9	 671	OK
 224	   0	94.7	94.7	 694	OK
 225	   0	95.9	95.9	 708	OK
 226	   0	83.5	83.5	 683	OK
 227	   0	90.6	90.6	 706	OK
 228	   0	82.8	82.8	 698	OK
 229	   0	91.9	91.9	 685	OK
 230	   0	82.0	82.0	 676	OK
 231	   0	88.9	88.9	 659	OK
 232	   0	90.4	90.4	 670	OK
 233	   0	86.8	86.8	 693	OK
 234	   0	86.1	86.1	 691	OK
 235	   0	93.0	93.0	 673	OK
 236	   0	90.6	90.6	 706	OK
 237	   0	87.5	87.5	 692	OK
 238	   0	87.8	87.8	 707	OK
 239	   0	91.2	91.2	 688	OK
 240	   0	88.2	88.2	 699	OK
 241	   0	91.6	91.6	 680	OK
 242	   0	87.5	87.5	 689	OK
 243	   0	86.0	86.0	 681	OK
 244	   0	86.5	86.5	 706	OK
 245	   0	85.8	85.8	 679	OK
 246	   0	90.2	90.2	 698	OK
 247	   0	93.7	93.7	 677	OK
 248	   0	84.5	84.5	 720	OK
 249	   0	84.3	84.3	 688	OK
 250	   0	90.7	90.7	 695	OK
 251	   0	90.1	90.1	 655	OK
 252	   0	93.2	93.2	 706	OK
 253	   0	85.1	85.1	 722	OK
 254	   0	87.6	87.6	 705	OK
 255	   0	89.6	89.6	 694	OK
 256	   0	81.4	81.4	 805	OK
 257	   0	86.8	86.8	 773	OK
 258	   0	78.8	78.8	 756	OK
 259	   0	86.4	86.4	 742	OK
 260	   0	81.0	81.0	 719	OK
 261	   0	83.2	83.2	 772	OK
 262	   0	86.9	86.9	 768	OK
 263	   0	85.4	85.4	 737	OK
 264	   0	79.1	79.1	 742	OK
 265	   0	83.7	83.7	 735	OK
 266	   0	81.7	81.7	 735	OK
 267	   0	84.0	84.0	 738	OK
 268	   0	90.2	90.2	 769	OK
 269	   0	83.0	83.0	 743	OK
 270	   0	85.0	85.0	 752	OK
 271	   0	79.9	79.9	 748	OK
 272	   0	92.3	92.3	 763	OK
 273	   0	85.1	85.1	 763	OK
 274	   0	83.1	83.1	 786	OK
 275	   0	84.8	84.8	 768	OK
 276	   0	84.5	84.5	 716	OK
 277	   0	91.1	91.1	 740	OK
 278	   0	87.5	87.5	 762	OK
 279	   0	75.4	75.4	 751	OK
 280	   0	81.8	81.8	 737	OK
 281	   0	84.0	84.0	 736	OK
 282	   0	79.5	79.5	 789	OK
 283	   0	83.6	83.6	 699	OK
 284	   0	92.9	92.9	 764	OK
 285	   0	90.3	90.3	 751	OK
 286	   0	83.2	83.2	 741	OK
 287	   0	88.0	88.0	 725	OK
 288	   0	75.7	75.7	 773	OK
 289	   0	79.9	79.9	 773	OK
 290	   0	82.3	82.3	 758	OK
 291	   0	85.6	85.6	 715	OK
 292	   0	97.1	97.1	 757	OK
 293	   0	83.3	83.3	 773	OK
 294	   0	86.2	86.2	 738	OK
 295	   0	84.2	84.2	 757	OK
 296	   0	84.6	84.6	 750	OK
 297	   0	83.4	83.4	 751	OK
 298	   0	82.6	82.6	 726	OK
 299	   0	83.6	83.6	 734	OK
 300	   0	87.4	87.4	 738	OK
 301	   0	82.1	82.1	 769	OK
 302	   0	80.4	80.4	 771	OK
 303	   0	82.9	82.9	 751	OK
 304	   0	80.6	80.6	 729	OK
 305	   0	84.7	84.7	 757	OK
 306	   0	90.8	90.8	 763	OK
 307	   0	89.9	89.9	 781	OK
 308	   0	88.2	88.2	 795	OK
 309	   0	88.7	88.7	 744	OK
 310	   0	85.0	85.0	 760	OK
 311	   0	82.9	82.9	 768	OK
 312	   0	91.6	91.6	 761	OK
 313	   0	86.3	86.3	 719	OK
 314	   0	90.8	90.8	 744	OK
 315	   0	85.7	85.7	 746	OK
 316	   0	89.1	89.1	 741	OK
 317	   0	90.3	90.3	 733	OK
 318	   0	85.8	85.8	 780	OK
 319	   0	86.9	86.9	 762	OK
 320	   0	84.7	84.7	 749	OK
 321	   0	89.3	89.3	 728	OK
 322	   0	86.3	86.3	 756	OK
 323	   0	86.7	86.7	 737	OK
