#chan	code	gain	offset	innse	comment
   0	   0	85.5	85.5	 674	OK
   1	   0	83.9	83.9	 689	OK
   2	   0	85.2	85.2	 677	OK
   3	   0	85.5	85.5	 711	OK
   4	   0	84.3	84.3	 673	OK
   5	   0	88.4	88.4	 674	OK
   6	   0	87.6	87.6	 678	OK
   7	   0	82.1	82.1	 698	OK
   8	   0	89.5	89.5	 611	OK
   9	   0	82.8	82.8	 719	OK
  10	   0	83.3	83.3	 708	OK
  11	   0	85.2	85.2	 691	OK
  12	   0	89.0	89.0	 721	OK
  13	   0	90.3	90.3	 751	OK
  14	   0	87.8	87.8	 698	OK
  15	   0	83.9	83.9	 703	OK
  16	   0	86.7	86.7	 703	OK
  17	   0	83.8	83.8	 714	OK
  18	   0	86.4	86.4	 706	OK
  19	   0	86.5	86.5	 734	OK
  20	   0	83.4	83.4	 739	OK
  21	   0	85.8	85.8	 743	OK
  22	   0	74.7	74.7	 752	OK
  23	   0	90.8	90.8	 668	OK
  24	   0	85.1	85.1	 676	OK
  25	   0	87.0	87.0	 681	OK
  26	   0	91.3	91.3	 714	OK
  27	   0	84.4	84.4	 698	OK
  28	   0	95.6	95.6	 677	OK
  29	   0	84.6	84.6	 703	OK
  30	   0	88.9	88.9	 700	OK
  31	   0	89.0	89.0	 748	OK
  32	   0	83.6	83.6	 733	OK
  33	   0	90.8	90.8	 718	OK
  34	   0	85.1	85.1	 674	OK
  35	   0	85.2	85.2	 711	OK
  36	   0	82.0	82.0	 718	OK
  37	   0	84.3	84.3	 736	OK
  38	   0	82.7	82.7	 741	OK
  39	   0	79.3	79.3	 729	OK
  40	   0	83.4	83.4	 718	OK
  41	   0	84.1	84.1	 702	OK
  42	   0	87.3	87.3	 701	OK
  43	   0	83.1	83.1	 736	OK
  44	   0	85.4	85.4	 745	OK
  45	   0	91.2	91.2	 716	OK
  46	   0	84.2	84.2	 720	OK
  47	   0	83.4	83.4	 752	OK
  48	   0	85.9	85.9	 720	OK
  49	   0	87.7	87.7	 728	OK
  50	   0	83.5	83.5	 717	OK
  51	   0	85.1	85.1	 719	OK
  52	   0	86.9	86.9	 744	OK
  53	   0	79.7	79.7	 701	OK
  54	   0	88.6	88.6	 664	OK
  55	   0	91.2	91.2	 700	OK
  56	   0	89.8	89.8	 705	OK
  57	   0	91.0	91.0	 699	OK
  58	   0	88.8	88.8	 730	OK
  59	   0	83.6	83.6	 740	OK
  60	   0	86.2	86.2	 716	OK
  61	   0	86.0	86.0	 763	OK
  62	   0	88.6	88.6	 717	OK
  63	   0	95.5	95.5	 689	OK
  64	   0	90.4	90.4	 710	OK
  65	   0	83.8	83.8	 731	OK
  66	   0	87.3	87.3	 703	OK
  67	   0	92.3	92.3	 699	OK
  68	   0	92.1	92.1	 706	OK
  69	   0	89.0	89.0	 720	OK
  70	   0	83.0	83.0	 728	OK
  71	   0	88.1	88.1	 745	OK
  72	   0	84.0	84.0	 696	OK
  73	   0	80.3	80.3	 753	OK
  74	   0	86.1	86.1	 730	OK
  75	   0	77.4	77.4	 736	OK
  76	   0	69.7	69.7	 712	OK
  77	   0	76.6	76.6	 751	OK
  78	   0	89.1	89.1	 674	OK
  79	   0	87.1	87.1	 726	OK
  80	   0	85.0	85.0	 723	OK
  81	   0	83.1	83.1	 671	OK
  82	   0	83.1	83.1	 735	OK
  83	   0	75.5	75.5	 725	OK
  84	   0	83.5	83.5	 740	OK
  85	   0	79.4	79.4	 719	OK
  86	   0	81.2	81.2	 705	OK
  87	   0	82.5	82.5	 705	OK
  88	   0	82.2	82.2	 644	OK
  89	   0	84.2	84.2	 730	OK
  90	   0	86.5	86.5	 689	OK
  91	   0	89.4	89.4	 692	OK
  92	   0	87.9	87.9	 700	OK
  93	   0	84.3	84.3	 736	OK
  94	   0	85.4	85.4	 702	OK
  95	   0	82.8	82.8	 729	OK
  96	   0	79.6	79.6	 717	OK
  97	   0	88.9	88.9	 745	OK
  98	   0	83.4	83.4	 734	OK
  99	   0	83.3	83.3	 716	OK
 100	   0	81.2	81.2	 747	OK
 101	   0	82.6	82.6	 709	OK
 102	   0	82.5	82.5	 703	OK
 103	   0	80.2	80.2	 709	OK
 104	   0	84.6	84.6	 719	OK
 105	   0	82.5	82.5	 749	OK
 106	   0	86.3	86.3	 665	OK
 107	   0	82.2	82.2	 752	OK
 108	   0	84.6	84.6	 664	OK
 109	   0	89.1	89.1	 713	OK
 110	   0	84.2	84.2	 704	OK
 111	   0	87.8	87.8	 720	OK
 112	   0	84.5	84.5	 699	OK
 113	   0	84.6	84.6	 711	OK
 114	   0	83.8	83.8	 724	OK
 115	   0	80.8	80.8	 722	OK
 116	   0	78.2	78.2	 718	OK
 117	   0	88.0	88.0	 710	OK
 118	   0	75.8	75.8	 729	OK
 119	   0	85.3	85.3	 769	OK
 120	   0	77.8	77.8	 739	OK
 121	   0	82.4	82.4	 716	OK
 122	   0	80.1	80.1	 735	OK
 123	   0	81.9	81.9	 739	OK
