#chan	code	gain	offset	innse	comment
   0	   0	81.2	81.2	 702	OK
   1	   0	80.1	80.1	 688	OK
   2	   0	79.0	79.0	 726	OK
   3	   0	79.0	79.0	 714	OK
   4	   0	72.9	72.9	 788	OK
   5	   0	76.3	76.3	 760	OK
   6	   0	75.6	75.6	 717	OK
   7	   0	73.5	73.5	 725	OK
   8	   0	82.3	82.3	 709	OK
   9	   0	73.8	73.8	 731	OK
  10	   0	77.6	77.6	 724	OK
  11	   0	75.3	75.3	 761	OK
  12	   0	77.2	77.2	 720	OK
  13	   0	78.5	78.5	 731	OK
  14	   0	77.3	77.3	 711	OK
  15	   0	81.8	81.8	 649	OK
  16	   0	82.9	82.9	 692	OK
  17	   0	81.9	81.9	 641	OK
  18	   0	76.0	76.0	 719	OK
  19	   0	81.6	81.6	 681	OK
  20	   0	79.4	79.4	 699	OK
  21	   0	78.7	78.7	 712	OK
  22	   0	76.5	76.5	 753	OK
  23	   0	76.2	76.2	 682	OK
  24	   0	84.0	84.0	 745	OK
  25	   0	75.0	75.0	 693	OK
  26	   0	76.3	76.3	 741	OK
  27	   0	79.0	79.0	 720	OK
  28	   0	79.7	79.7	 750	OK
  29	   0	82.6	82.6	 735	OK
  30	   0	73.5	73.5	 773	OK
  31	   0	76.9	76.9	 736	OK
  32	   0	79.4	79.4	 723	OK
  33	   0	73.1	73.1	 785	OK
  34	   0	83.5	83.5	 716	OK
  35	   0	79.8	79.8	 705	OK
  36	   0	77.2	77.2	 733	OK
  37	   0	79.4	79.4	 746	OK
  38	   0	81.2	81.2	 693	OK
  39	   0	75.2	75.2	 772	OK
  40	   0	87.7	87.7	 674	OK
  41	   0	80.3	80.3	 723	OK
  42	   0	77.8	77.8	 734	OK
  43	   0	76.0	76.0	 755	OK
  44	   0	77.0	77.0	 744	OK
  45	   0	86.4	86.4	 710	OK
  46	   0	83.1	83.1	 712	OK
  47	   0	74.4	74.4	 752	OK
  48	   0	75.8	75.8	 740	OK
  49	   0	79.1	79.1	 759	OK
  50	   0	78.6	78.6	 756	OK
  51	   0	79.3	79.3	 749	OK
  52	   0	79.6	79.6	 763	OK
  53	   0	79.9	79.9	 743	OK
  54	   0	78.5	78.5	 809	OK
  55	   0	80.2	80.2	 763	OK
  56	   0	78.4	78.4	 778	OK
  57	   0	81.4	81.4	 736	OK
  58	   0	77.6	77.6	 803	OK
  59	   0	81.4	81.4	 729	OK
  60	   0	73.7	73.7	 793	OK
  61	   0	76.2	76.2	 795	OK
  62	   0	77.2	77.2	 776	OK
  63	   0	78.0	78.0	 786	OK
  64	   0	77.4	77.4	 737	OK
  65	   0	77.8	77.8	 835	OK
  66	   0	79.8	79.8	 736	OK
  67	   0	84.9	84.9	 704	OK
  68	   0	79.4	79.4	 793	OK
  69	   0	75.6	75.6	 793	OK
  70	   0	76.4	76.4	 773	OK
  71	   0	82.8	82.8	 695	OK
  72	   0	73.8	73.8	 796	OK
  73	   0	80.8	80.8	 777	OK
  74	   0	79.5	79.5	 749	OK
  75	   0	81.1	81.1	 781	OK
  76	   0	84.0	84.0	 783	OK
  77	   0	70.5	70.5	 776	OK
  78	   0	75.6	75.6	 798	OK
  79	   0	81.4	81.4	 716	OK
  80	   0	80.3	80.3	 770	OK
  81	   0	79.9	79.9	 770	OK
  82	   0	78.0	78.0	 758	OK
  83	   0	69.8	69.8	 781	OK
  84	   0	79.0	79.0	 782	OK
  85	   0	82.0	82.0	 820	OK
  86	   0	84.2	84.2	 730	OK
  87	   0	77.8	77.8	 729	OK
  88	   0	73.1	73.1	 805	OK
  89	   0	70.8	70.8	 830	OK
  90	   0	78.6	78.6	 765	OK
  91	   0	73.5	73.5	 754	OK
  92	   0	77.5	77.5	 779	OK
  93	   0	78.5	78.5	 765	OK
  94	   0	74.3	74.3	 777	OK
  95	   0	74.5	74.5	 764	OK
  96	   0	74.7	74.7	 756	OK
  97	   0	79.6	79.6	 710	OK
  98	   0	72.3	72.3	 786	OK
  99	   0	75.6	75.6	 781	OK
 100	   0	75.7	75.7	 770	OK
 101	   0	78.4	78.4	 763	OK
 102	   0	78.4	78.4	 772	OK
 103	   0	73.1	73.1	 828	OK
 104	   0	80.1	80.1	 779	OK
 105	   0	78.3	78.3	 736	OK
 106	   0	77.3	77.3	 738	OK
 107	   0	77.2	77.2	 749	OK
 108	   0	78.0	78.0	 762	OK
 109	   0	70.2	70.2	 818	OK
 110	   0	72.0	72.0	 789	OK
 111	   0	78.4	78.4	 740	OK
 112	   0	83.7	83.7	 719	OK
 113	   0	82.8	82.8	 716	OK
 114	   0	80.3	80.3	 744	OK
 115	   0	78.5	78.5	 756	OK
 116	   0	82.1	82.1	 756	OK
 117	   0	80.1	80.1	 738	OK
 118	   0	85.0	85.0	 696	OK
 119	   0	80.8	80.8	 746	OK
 120	   0	77.3	77.3	 748	OK
 121	   0	73.6	73.6	 805	OK
 122	   0	77.1	77.1	 718	OK
 123	   0	73.9	73.9	 772	OK
 124	   0	79.4	79.4	 757	OK
 125	   0	87.2	87.2	 720	OK
 126	   0	75.5	75.5	 794	OK
 127	   0	84.7	84.7	 715	OK
 128	   0	80.8	80.8	 708	OK
 129	   0	80.6	80.6	 731	OK
 130	   0	80.6	80.6	 686	OK
 131	   0	83.3	83.3	 692	OK
 132	   0	81.1	81.1	 719	OK
 133	   0	86.8	86.8	 679	OK
 134	   0	86.1	86.1	 688	OK
 135	   0	82.9	82.9	 676	OK
 136	   0	85.8	85.8	 728	OK
 137	   0	86.7	86.7	 673	OK
 138	   0	79.7	79.7	 720	OK
 139	   0	84.5	84.5	 680	OK
 140	   0	82.2	82.2	 714	OK
 141	   0	80.1	80.1	 689	OK
 142	   0	83.7	83.7	 706	OK
 143	   0	77.7	77.7	 677	OK
 144	   0	85.6	85.6	 704	OK
 145	   0	87.1	87.1	 704	OK
 146	   0	83.0	83.0	 680	OK
 147	   0	82.3	82.3	 693	OK
 148	   0	76.1	76.1	 779	OK
 149	   0	79.7	79.7	 669	OK
 150	   0	87.3	87.3	 664	OK
 151	   0	83.7	83.7	 721	OK
 152	   0	85.6	85.6	 672	OK
 153	   0	83.3	83.3	 678	OK
 154	   0	82.1	82.1	 752	OK
 155	   0	77.9	77.9	 706	OK
 156	   0	79.8	79.8	 699	OK
 157	   0	85.9	85.9	 657	OK
 158	   0	77.1	77.1	 678	OK
 159	   0	84.9	84.9	 672	OK
 160	   0	79.1	79.1	 693	OK
 161	   0	82.8	82.8	 690	OK
 162	   0	78.8	78.8	 717	OK
 163	   0	80.0	80.0	 671	OK
 164	   0	87.4	87.4	 650	OK
 165	   0	78.2	78.2	 702	OK
 166	   0	83.6	83.6	 689	OK
 167	   0	83.9	83.9	 677	OK
 168	   0	81.7	81.7	 670	OK
 169	   0	80.3	80.3	 720	OK
 170	   0	84.3	84.3	 705	OK
 171	   0	81.6	81.6	 715	OK
 172	   0	85.4	85.4	 668	OK
 173	   0	81.8	81.8	 726	OK
 174	   0	80.3	80.3	 776	OK
 175	   0	78.5	78.5	 705	OK
 176	   0	81.6	81.6	 706	OK
 177	   0	78.9	78.9	 729	OK
 178	   0	76.7	76.7	 728	OK
 179	   0	74.1	74.1	 722	OK
 180	   0	81.7	81.7	 685	OK
 181	   0	81.0	81.0	 702	OK
 182	   0	80.6	80.6	 719	OK
 183	   0	84.5	84.5	 671	OK
 184	   0	80.1	80.1	 678	OK
 185	   0	79.3	79.3	 698	OK
 186	   0	80.0	80.0	 668	OK
 187	   0	85.1	85.1	 664	OK
 188	   0	88.7	88.7	 658	OK
 189	   0	81.6	81.6	 692	OK
 190	   0	84.6	84.6	 624	OK
 191	   0	78.0	78.0	 718	OK
 192	   0	91.3	91.3	 656	OK
 193	   0	81.4	81.4	 726	OK
 194	   0	82.8	82.8	 686	OK
 195	   0	81.3	81.3	 686	OK
 196	   0	81.3	81.3	 707	OK
 197	   0	84.5	84.5	 690	OK
 198	   0	87.3	87.3	 699	OK
 199	   0	77.3	77.3	 667	OK
 200	   0	80.9	80.9	 695	OK
 201	   0	90.1	90.1	 676	OK
 202	   0	81.6	81.6	 726	OK
 203	   0	78.8	78.8	 657	OK
 204	   0	77.4	77.4	 688	OK
 205	   0	79.9	79.9	 730	OK
 206	   0	81.2	81.2	 698	OK
 207	   0	86.0	86.0	 667	OK
 208	   0	78.7	78.7	 718	OK
 209	   0	82.1	82.1	 718	OK
 210	   0	81.2	81.2	 662	OK
 211	   0	85.2	85.2	 705	OK
 212	   0	85.0	85.0	 689	OK
 213	   0	76.6	76.6	 721	OK
 214	   0	82.4	82.4	 676	OK
 215	   0	82.8	82.8	 670	OK
 216	   0	76.2	76.2	 691	OK
 217	   0	81.0	81.0	 705	OK
 218	   0	85.9	85.9	 650	OK
 219	   0	74.6	74.6	 754	OK
 220	   0	79.9	79.9	 697	OK
 221	   0	78.1	78.1	 692	OK
 222	   0	83.3	83.3	 689	OK
 223	   0	84.3	84.3	 675	OK
 224	   0	82.7	82.7	 692	OK
 225	   0	83.5	83.5	 694	OK
 226	   0	78.8	78.8	 696	OK
 227	   0	81.8	81.8	 694	OK
 228	   0	88.6	88.6	 666	OK
 229	   0	79.8	79.8	 719	OK
 230	   0	83.2	83.2	 693	OK
 231	   0	76.4	76.4	 700	OK
 232	   0	81.2	81.2	 673	OK
 233	   0	81.8	81.8	 682	OK
 234	   0	76.9	76.9	 752	OK
 235	   0	84.5	84.5	 682	OK
 236	   0	80.3	80.3	 678	OK
 237	   0	79.7	79.7	 704	OK
 238	   0	81.0	81.0	 709	OK
 239	   0	78.4	78.4	 699	OK
 240	   0	85.0	85.0	 680	OK
 241	   0	77.5	77.5	 694	OK
 242	   0	81.3	81.3	 715	OK
 243	   0	84.9	84.9	 646	OK
 244	   0	82.7	82.7	 732	OK
 245	   0	74.1	74.1	 779	OK
 246	   0	83.8	83.8	 669	OK
 247	   0	85.8	85.8	 658	OK
 248	   0	79.7	79.7	 753	OK
 249	   0	79.3	79.3	 691	OK
 250	   0	78.1	78.1	 691	OK
 251	   0	83.1	83.1	 681	OK
 252	   0	87.2	87.2	 731	OK
 253	   0	76.8	76.8	 695	OK
 254	   0	80.0	80.0	 674	OK
 255	   0	79.3	79.3	 724	OK
 256	   0	86.9	86.9	 633	OK
 257	   0	87.6	87.6	 677	OK
 258	   0	82.6	82.6	 727	OK
 259	   0	89.1	89.1	 707	OK
 260	   0	88.5	88.5	 709	OK
 261	   0	89.1	89.1	 657	OK
 262	   0	89.5	89.5	 673	OK
 263	   0	88.5	88.5	 698	OK
 264	   0	89.1	89.1	 679	OK
 265	   0	83.8	83.8	 664	OK
 266	   0	83.9	83.9	 686	OK
 267	   0	91.1	91.1	 687	OK
 268	   0	87.5	87.5	 664	OK
 269	   0	88.5	88.5	 659	OK
 270	   0	94.5	94.5	 674	OK
 271	   0	82.6	82.6	 687	OK
 272	   0	88.8	88.8	 659	OK
 273	   0	84.6	84.6	 677	OK
 274	   0	92.8	92.8	 668	OK
 275	   0	93.9	93.9	 703	OK
 276	   0	94.6	94.6	 689	OK
 277	   0	86.9	86.9	 633	OK
 278	   0	86.6	86.6	 692	OK
 279	   0	88.9	88.9	 648	OK
 280	   0	86.3	86.3	 700	OK
 281	   0	84.5	84.5	 712	OK
 282	   0	85.7	85.7	 719	OK
 283	   0	88.9	88.9	 674	OK
 284	   0	90.1	90.1	 704	OK
 285	   0	85.6	85.6	 684	OK
 286	1501	0.0	0.0	   0	dead
 287	   0	91.2	91.2	 699	OK
 288	   0	86.0	86.0	 671	OK
 289	   0	82.2	82.2	 683	OK
 290	   0	92.2	92.2	 638	OK
 291	   0	88.2	88.2	 744	OK
 292	   0	90.9	90.9	 667	OK
 293	   0	90.5	90.5	 684	OK
 294	   0	91.3	91.3	 648	OK
 295	   0	86.0	86.0	 696	OK
 296	   0	84.1	84.1	 709	OK
 297	   0	89.6	89.6	 659	OK
 298	   0	90.3	90.3	 665	OK
 299	   0	97.0	97.0	 674	OK
 300	   0	87.1	87.1	 657	OK
 301	   0	87.2	87.2	 679	OK
 302	   0	87.6	87.6	 667	OK
 303	   0	91.6	91.6	 692	OK
 304	   0	89.3	89.3	 662	OK
 305	   0	94.1	94.1	 687	OK
 306	   0	89.2	89.2	 728	OK
 307	   0	87.3	87.3	 689	OK
 308	   0	93.4	93.4	 677	OK
 309	   0	84.4	84.4	 688	OK
 310	   0	84.4	84.4	 700	OK
 311	   0	91.0	91.0	 689	OK
 312	   0	86.2	86.2	 714	OK
 313	   0	92.9	92.9	 668	OK
 314	   0	86.5	86.5	 680	OK
 315	   0	89.8	89.8	 685	OK
 316	   0	91.9	91.9	 663	OK
 317	   0	94.1	94.1	 677	OK
 318	   0	90.8	90.8	 685	OK
 319	   0	87.9	87.9	 705	OK
 320	   0	95.7	95.7	 698	OK
 321	   0	94.9	94.9	 668	OK
 322	   0	88.9	88.9	 677	OK
 323	   0	87.4	87.4	 691	OK
 324	   0	86.5	86.5	 766	OK
 325	   0	82.8	82.8	 729	OK
 326	   0	87.0	87.0	 701	OK
 327	   0	88.9	88.9	 683	OK
 328	   0	89.3	89.3	 697	OK
 329	   0	83.9	83.9	 710	OK
 330	   0	84.5	84.5	 702	OK
 331	   0	86.3	86.3	 681	OK
 332	   0	89.9	89.9	 686	OK
 333	   0	86.0	86.0	 688	OK
 334	   0	91.4	91.4	 704	OK
 335	   0	88.1	88.1	 688	OK
 336	   0	89.6	89.6	 708	OK
 337	   0	80.4	80.4	 728	OK
 338	   0	81.6	81.6	 728	OK
 339	   0	90.4	90.4	 679	OK
 340	   0	88.0	88.0	 719	OK
 341	   0	92.2	92.2	 676	OK
 342	   0	89.6	89.6	 675	OK
 343	   0	86.3	86.3	 665	OK
 344	   0	93.0	93.0	 674	OK
 345	   0	89.8	89.8	 682	OK
 346	   0	86.1	86.1	 694	OK
 347	   0	86.8	86.8	 681	OK
 348	   0	87.5	87.5	 692	OK
 349	   0	89.3	89.3	 683	OK
 350	   0	91.0	91.0	 697	OK
 351	   0	94.1	94.1	 661	OK
