#chan	code	gain	offset	innse	comment
   0	   0	101.8	20.7	 613	OK
   1	   0	104.4	17.2	 596	OK
   2	   0	91.2	35.3	 634	OK
   3	   0	93.5	29.1	 652	OK
   4	   0	85.8	41.0	 648	OK
   5	   0	97.1	26.8	 618	OK
   6	   0	87.5	37.3	 663	OK
   7	   0	100.0	24.3	 639	OK
   8	   0	90.3	35.2	 657	OK
   9	   0	89.9	34.0	 660	OK
  10	   0	93.2	31.0	 613	OK
  11	   0	91.9	34.5	 642	OK
  12	   0	105.1	17.9	 614	OK
  13	   0	89.4	36.3	 643	OK
  14	   0	93.0	31.2	 657	OK
  15	   0	92.7	31.5	 631	OK
  16	   0	89.3	34.5	 644	OK
  17	   0	96.6	25.9	 640	OK
  18	   0	91.7	31.4	 667	OK
  19	   0	97.6	26.3	 690	OK
  20	   0	87.7	36.8	 686	OK
  21	   0	91.8	32.7	 632	OK
  22	   0	96.5	26.9	 680	OK
  23	   0	94.5	29.4	 620	OK
  24	   0	90.1	34.1	 657	OK
  25	   0	95.6	27.2	 628	OK
  26	   0	96.3	26.6	 664	OK
  27	   0	96.3	28.4	 658	OK
  28	   0	99.0	23.6	 640	OK
  29	   0	93.7	29.7	 648	OK
  30	   0	103.5	18.0	 659	OK
  31	   0	91.0	33.6	 655	OK
  32	   0	91.3	33.5	 674	OK
  33	   0	90.5	34.7	 687	OK
  34	   0	92.8	31.2	 655	OK
  35	   0	94.9	27.8	 671	OK
  36	   0	92.1	32.5	 720	OK
  37	   0	89.8	35.3	 684	OK
  38	   0	91.7	32.7	 666	OK
  39	   0	90.9	33.3	 683	OK
  40	   0	97.1	25.2	 681	OK
  41	   0	101.7	21.5	 627	OK
  42	   0	97.7	24.5	 692	OK
  43	   0	94.4	30.1	 700	OK
  44	   0	92.7	31.5	 670	OK
  45	   0	93.0	30.5	 654	OK
  46	   0	99.7	22.3	 653	OK
  47	   0	92.7	32.6	 699	OK
  48	   0	96.3	26.6	 680	OK
  49	   0	88.3	35.5	 737	OK
  50	   0	93.4	29.9	 703	OK
  51	   0	92.5	32.7	 676	OK
  52	   0	97.1	26.4	 686	OK
  53	   0	100.7	22.7	 646	OK
  54	   0	88.9	35.7	 712	OK
  55	   0	98.8	24.9	 687	OK
  56	   0	94.7	28.7	 681	OK
  57	   0	98.9	25.5	 657	OK
  58	   0	97.0	25.6	 682	OK
  59	   0	97.8	26.9	 685	OK
  60	   0	97.5	25.9	 685	OK
  61	   0	97.4	26.1	 708	OK
  62	   0	99.1	23.9	 691	OK
  63	   0	93.3	30.5	 706	OK
  64	   0	100.8	20.9	 659	OK
  65	   0	92.7	31.8	 687	OK
  66	   0	96.7	27.2	 699	OK
  67	   0	102.4	20.0	 670	OK
  68	   0	98.4	26.4	 695	OK
  69	   0	95.8	29.3	 706	OK
  70	   0	102.3	20.2	 656	OK
  71	   0	94.5	29.2	 652	OK
  72	   0	98.5	25.9	 666	OK
  73	   0	91.6	33.0	 701	OK
  74	   0	88.7	36.5	 699	OK
  75	   0	96.1	28.1	 670	OK
  76	   0	101.9	19.8	 693	OK
  77	   0	96.4	26.6	 684	OK
  78	   0	99.3	23.8	 640	OK
  79	   0	100.4	22.2	 663	OK
  80	   0	97.1	26.1	 667	OK
  81	   0	87.3	36.3	 682	OK
  82	   0	89.3	36.4	 703	OK
  83	   0	91.7	33.6	 704	OK
  84	   0	98.5	24.0	 694	OK
  85	   0	93.5	29.6	 704	OK
  86	   0	89.2	34.1	 714	OK
  87	   0	84.3	39.9	 732	OK
  88	   0	92.8	33.2	 700	OK
  89	   0	93.2	31.2	 646	OK
  90	   0	91.1	33.5	 732	OK
  91	   0	93.4	29.5	 651	OK
  92	   0	96.8	26.6	 679	OK
  93	   0	101.3	20.8	 646	OK
  94	   0	86.9	39.1	 672	OK
  95	   0	97.6	25.3	 656	OK
  96	   0	91.9	33.2	 731	OK
  97	   0	91.9	32.3	 740	OK
  98	   0	99.5	24.4	 630	OK
  99	   0	89.3	34.6	 679	OK
 100	   0	90.9	32.7	 687	OK
 101	   0	91.2	34.0	 701	OK
 102	   0	82.8	43.5	 728	OK
 103	   0	91.3	33.9	 677	OK
 104	   0	99.1	23.9	 674	OK
 105	   0	93.5	29.9	 668	OK
 106	   0	94.6	28.9	 695	OK
 107	   0	103.1	19.1	 624	OK
 108	   0	95.7	28.5	 641	OK
 109	   0	88.7	35.5	 686	OK
 110	   0	97.0	26.7	 703	OK
 111	   0	91.3	32.9	 676	OK
 112	   0	99.8	22.7	 662	OK
 113	   0	83.5	44.0	 672	OK
 114	   0	93.2	31.8	 703	OK
 115	   0	94.0	29.3	 684	OK
 116	   0	92.3	31.0	 729	OK
 117	   0	98.0	26.5	 653	OK
 118	   0	93.6	30.7	 678	OK
 119	   0	98.1	24.4	 646	OK
 120	   0	89.4	37.3	 664	OK
 121	   0	94.7	28.1	 695	OK
 122	   0	91.2	32.9	 658	OK
 123	   0	97.6	25.4	 661	OK
 124	   0	101.8	21.3	 648	OK
 125	   0	87.4	39.6	 717	OK
 126	   0	98.6	25.5	 690	OK
 127	   0	91.2	33.6	 677	OK
 128	   0	74.6	53.3	 766	OK
 129	   0	82.7	43.7	 695	OK
 130	   0	82.7	44.3	 725	OK
 131	   0	84.5	42.3	 701	OK
 132	   0	85.8	41.3	 722	OK
 133	   0	77.0	49.4	 716	OK
 134	   0	80.0	47.1	 714	OK
 135	   0	89.2	36.9	 692	OK
 136	   0	82.0	44.7	 762	OK
 137	   0	91.2	33.4	 693	OK
 138	   0	85.3	41.7	 730	OK
 139	   0	84.6	39.5	 760	OK
 140	   0	78.2	50.1	 748	OK
 141	   0	86.6	40.1	 698	OK
 142	   0	84.0	41.8	 749	OK
 143	   0	78.7	48.9	 740	OK
 144	   0	82.7	44.0	 688	OK
 145	   0	83.3	41.3	 716	OK
 146	   0	89.1	36.1	 688	OK
 147	   0	80.7	45.9	 690	OK
 148	   0	81.4	46.3	 752	OK
 149	   0	83.3	41.6	 730	OK
 150	   0	85.6	40.8	 725	OK
 151	   0	79.8	48.6	 738	OK
 152	   0	85.4	40.1	 691	OK
 153	   0	85.5	40.2	 692	OK
 154	   0	89.8	35.3	 695	OK
 155	   0	83.3	42.2	 707	OK
 156	   0	88.5	36.2	 688	OK
 157	   0	88.5	35.5	 711	OK
 158	   0	81.4	45.5	 724	OK
