#chan	code	gain	offset	innse	comment
   0	   0	85.5	85.5	 691	OK
   1	   0	83.0	83.0	 674	OK
   2	   0	76.1	76.1	 670	OK
   3	   0	92.9	92.9	 618	OK
   4	   0	88.9	88.9	 598	OK
   5	   0	86.8	86.8	 609	OK
   6	   0	83.7	83.7	 652	OK
   7	   0	84.5	84.5	 639	OK
   8	   0	80.6	80.6	 624	OK
   9	   0	87.6	87.6	 620	OK
  10	   0	85.8	85.8	 619	OK
  11	   0	79.1	79.1	 632	OK
  12	   0	81.7	81.7	 624	OK
  13	   0	82.3	82.3	 653	OK
  14	   0	84.8	84.8	 617	OK
  15	   0	83.3	83.3	 638	OK
  16	   0	84.8	84.8	 658	OK
  17	   0	81.1	81.1	 642	OK
  18	   0	80.1	80.1	 644	OK
  19	   0	83.9	83.9	 644	OK
  20	   0	88.5	88.5	 594	OK
  21	   0	85.6	85.6	 606	OK
  22	   0	83.5	83.5	 604	OK
  23	   0	82.3	82.3	 644	OK
  24	   0	84.2	84.2	 614	OK
  25	   0	85.4	85.4	 596	OK
  26	   0	82.0	82.0	 684	OK
  27	   0	87.4	87.4	 648	OK
  28	   0	89.5	89.5	 651	OK
  29	   0	81.0	81.0	 644	OK
  30	   0	81.1	81.1	 652	OK
  31	   0	84.0	84.0	 670	OK
  32	   0	84.5	84.5	 633	OK
  33	   0	80.2	80.2	 632	OK
  34	   0	83.2	83.2	 659	OK
  35	   0	83.8	83.8	 646	OK
  36	   0	84.4	84.4	 625	OK
  37	   0	84.0	84.0	 597	OK
  38	   0	84.0	84.0	 639	OK
  39	   0	83.2	83.2	 650	OK
  40	   0	85.9	85.9	 616	OK
  41	   0	85.1	85.1	 597	OK
  42	   0	84.7	84.7	 645	OK
  43	   0	91.2	91.2	 625	OK
  44	   0	83.5	83.5	 649	OK
  45	   0	80.2	80.2	 691	OK
  46	   0	81.7	81.7	 656	OK
  47	   0	87.9	87.9	 653	OK
  48	   0	83.2	83.2	 681	OK
  49	   0	82.3	82.3	 634	OK
  50	   0	76.3	76.3	 714	OK
  51	   0	86.1	86.1	 650	OK
  52	   0	88.3	88.3	 667	OK
  53	   0	86.6	86.6	 611	OK
  54	   0	87.9	87.9	 688	OK
  55	   0	91.1	91.1	 618	OK
  56	   0	86.8	86.8	 653	OK
  57	   0	92.3	92.3	 646	OK
  58	   0	97.7	97.7	 661	OK
  59	   0	87.2	87.2	 621	OK
  60	   0	87.8	87.8	 652	OK
  61	   0	87.0	87.0	 660	OK
  62	   0	90.2	90.2	 646	OK
  63	   0	98.0	98.0	 618	OK
  64	   0	87.6	87.6	 667	OK
  65	   0	91.9	91.9	 667	OK
  66	   0	89.7	89.7	 651	OK
  67	   0	80.4	80.4	 687	OK
  68	   0	91.0	91.0	 667	OK
  69	   0	98.3	98.3	 644	OK
  70	   0	94.1	94.1	 617	OK
  71	   0	82.1	82.1	 653	OK
  72	   0	80.9	80.9	 650	OK
  73	   0	88.6	88.6	 658	OK
  74	   0	90.8	90.8	 666	OK
  75	   0	82.0	82.0	 666	OK
  76	   0	82.7	82.7	 658	OK
  77	   0	88.0	88.0	 697	OK
  78	   0	85.9	85.9	 671	OK
