#chan	code	gain	offset	innse	comment
   0	   0	86.1	86.1	 605	OK
   1	   0	98.5	98.5	 575	OK
   2	   0	91.6	91.6	 589	OK
   3	   0	88.1	88.1	 621	OK
   4	   0	87.5	87.5	 613	OK
   5	   0	93.6	93.6	 586	OK
   6	   0	90.9	90.9	 619	OK
   7	   0	90.1	90.1	 615	OK
   8	   0	95.8	95.8	 594	OK
   9	   0	85.9	85.9	 622	OK
  10	   0	98.7	98.7	 622	OK
  11	   0	93.6	93.6	 609	OK
  12	   0	84.8	84.8	 647	OK
  13	   0	93.8	93.8	 601	OK
  14	   0	92.6	92.6	 605	OK
  15	   0	87.5	87.5	 626	OK
  16	   0	89.1	89.1	 615	OK
  17	   0	94.2	94.2	 591	OK
  18	   0	88.1	88.1	 640	OK
  19	   0	88.4	88.4	 632	OK
  20	   0	92.0	92.0	 631	OK
  21	   0	97.5	97.5	 615	OK
  22	   0	89.8	89.8	 641	OK
  23	   0	91.2	91.2	 656	OK
  24	   0	89.2	89.2	 639	OK
  25	   0	88.9	88.9	 615	OK
  26	   0	97.0	97.0	 607	OK
  27	   0	90.6	90.6	 629	OK
  28	   0	90.2	90.2	 628	OK
  29	   0	88.6	88.6	 652	OK
  30	   0	84.2	84.2	 706	OK
  31	   0	93.2	93.2	 630	OK
  32	   0	92.3	92.3	 642	OK
  33	   0	94.5	94.5	 635	OK
  34	   0	93.7	93.7	 633	OK
  35	   0	90.7	90.7	 637	OK
  36	   0	89.7	89.7	 639	OK
  37	   0	93.7	93.7	 641	OK
  38	   0	93.7	93.7	 652	OK
  39	   0	94.6	94.6	 636	OK
  40	   0	82.2	82.2	 669	OK
  41	   0	78.0	78.0	 704	OK
  42	   0	99.8	99.8	 624	OK
  43	   0	83.8	83.8	 663	OK
  44	   0	83.2	83.2	 704	OK
  45	   0	86.1	86.1	 649	OK
  46	   0	89.4	89.4	 656	OK
  47	   0	95.5	95.5	 639	OK
  48	   0	97.3	97.3	 633	OK
  49	   0	83.4	83.4	 686	OK
  50	   0	89.8	89.8	 666	OK
  51	   0	94.9	94.9	 652	OK
  52	   0	89.4	89.4	 706	OK
  53	   0	93.6	93.6	 644	OK
  54	   0	89.9	89.9	 667	OK
  55	   0	90.3	90.3	 663	OK
  56	   0	91.1	91.1	 638	OK
  57	   0	98.5	98.5	 632	OK
  58	   0	88.9	88.9	 682	OK
  59	   0	89.8	89.8	 678	OK
  60	   0	94.2	94.2	 670	OK
  61	   0	91.5	91.5	 681	OK
  62	   0	94.7	94.7	 675	OK
  63	   0	90.2	90.2	 658	OK
  64	   0	95.4	95.4	 634	OK
  65	   0	86.2	86.2	 667	OK
  66	   0	96.1	96.1	 643	OK
  67	   0	91.7	91.7	 638	OK
  68	   0	91.1	91.1	 686	OK
  69	   0	88.6	88.6	 670	OK
  70	   0	97.1	97.1	 665	OK
  71	   0	94.8	94.8	 658	OK
  72	   0	84.6	84.6	 669	OK
  73	   0	92.2	92.2	 652	OK
  74	   0	93.5	93.5	 658	OK
  75	   0	93.0	93.0	 631	OK
  76	   0	92.2	92.2	 668	OK
  77	   0	96.1	96.1	 650	OK
  78	   0	89.0	89.0	 666	OK
  79	   0	89.2	89.2	 658	OK
  80	   0	85.9	85.9	 681	OK
  81	   0	93.9	93.9	 656	OK
  82	   0	87.2	87.2	 677	OK
  83	   0	100.0	100.0	 654	OK
  84	   0	87.2	87.2	 672	OK
  85	   0	93.9	93.9	 650	OK
  86	   0	88.2	88.2	 683	OK
  87	   0	90.6	90.6	 661	OK
  88	   0	84.1	84.1	 667	OK
  89	   0	88.0	88.0	 668	OK
  90	   0	91.6	91.6	 669	OK
  91	   0	89.9	89.9	 656	OK
  92	   0	87.0	87.0	 665	OK
  93	   0	86.1	86.1	 679	OK
  94	   0	97.5	97.5	 656	OK
  95	   0	88.8	88.8	 683	OK
  96	   0	89.7	89.7	 652	OK
  97	   0	93.5	93.5	 677	OK
  98	   0	91.4	91.4	 655	OK
  99	   0	93.6	93.6	 670	OK
 100	   0	87.2	87.2	 657	OK
 101	   0	97.4	97.4	 656	OK
 102	   0	96.0	96.0	 651	OK
 103	   0	93.0	93.0	 653	OK
 104	   0	98.6	98.6	 631	OK
 105	   0	91.6	91.6	 659	OK
 106	   0	95.5	95.5	 650	OK
 107	   0	98.9	98.9	 652	OK
 108	   0	84.6	84.6	 658	OK
 109	   0	88.0	88.0	 655	OK
 110	   0	95.2	95.2	 641	OK
 111	   0	103.1	103.1	 631	OK
 112	   0	98.2	98.2	 644	OK
 113	   0	93.3	93.3	 653	OK
 114	   0	97.9	97.9	 645	OK
 115	   0	91.6	91.6	 675	OK
 116	   0	94.4	94.4	 655	OK
 117	   0	93.4	93.4	 663	OK
 118	   0	90.4	90.4	 642	OK
 119	   0	100.2	100.2	 633	OK
 120	   0	84.4	84.4	 660	OK
 121	   0	96.7	96.7	 661	OK
 122	   0	96.4	96.4	 661	OK
 123	   0	92.4	92.4	 646	OK
 124	   0	84.6	84.6	 684	OK
 125	   0	93.4	93.4	 671	OK
 126	   0	93.9	93.9	 657	OK
 127	   0	89.0	89.0	 665	OK
 128	   0	78.8	78.8	 756	OK
 129	   0	89.7	89.7	 727	OK
 130	   0	82.7	82.7	 750	OK
 131	   0	85.9	85.9	 699	OK
 132	   0	91.5	91.5	 704	OK
 133	   0	88.8	88.8	 731	OK
 134	   0	79.9	79.9	 754	OK
 135	   0	84.9	84.9	 761	OK
 136	   0	79.7	79.7	 739	OK
 137	   0	79.5	79.5	 784	OK
 138	   0	81.7	81.7	 732	OK
 139	   0	84.0	84.0	 713	OK
 140	   0	83.3	83.3	 729	OK
 141	   0	81.8	81.8	 729	OK
 142	   0	95.0	95.0	 678	OK
 143	   0	87.3	87.3	 711	OK
 144	   0	90.2	90.2	 721	OK
 145	   0	89.0	89.0	 752	OK
 146	   0	89.6	89.6	 694	OK
 147	   0	82.2	82.2	 729	OK
 148	   0	82.4	82.4	 742	OK
 149	   0	88.6	88.6	 703	OK
 150	   0	85.3	85.3	 724	OK
 151	   0	87.1	87.1	 693	OK
 152	   0	86.1	86.1	 734	OK
 153	   0	82.7	82.7	 751	OK
 154	   0	86.4	86.4	 725	OK
 155	   0	82.5	82.5	 718	OK
 156	   0	70.8	70.8	 787	OK
 157	   0	88.3	88.3	 723	OK
 158	   0	82.1	82.1	 731	OK
 159	   0	83.2	83.2	 754	OK
 160	   0	86.1	86.1	 703	OK
 161	   0	82.9	82.9	 718	OK
 162	   0	80.6	80.6	 734	OK
 163	   0	78.1	78.1	 734	OK
 164	   0	82.1	82.1	 717	OK
 165	   0	77.1	77.1	 748	OK
 166	   0	91.2	91.2	 717	OK
 167	   0	82.2	82.2	 740	OK
 168	   0	89.8	89.8	 700	OK
 169	   0	78.8	78.8	 756	OK
 170	   0	76.1	76.1	 784	OK
 171	   0	88.6	88.6	 723	OK
 172	   0	82.6	82.6	 746	OK
 173	   0	83.2	83.2	 728	OK
 174	   0	81.6	81.6	 742	OK
 175	   0	83.0	83.0	 719	OK
 176	   0	82.5	82.5	 737	OK
 177	   0	82.7	82.7	 751	OK
 178	   0	90.3	90.3	 719	OK
 179	   0	81.0	81.0	 738	OK
 180	   0	82.0	82.0	 737	OK
 181	   0	88.8	88.8	 722	OK
 182	   0	82.8	82.8	 749	OK
 183	   0	81.8	81.8	 720	OK
 184	   0	89.5	89.5	 706	OK
 185	   0	84.7	84.7	 743	OK
 186	   0	89.3	89.3	 741	OK
 187	   0	85.5	85.5	 709	OK
 188	   0	81.7	81.7	 769	OK
 189	   0	87.5	87.5	 726	OK
 190	   0	88.5	88.5	 721	OK
 191	   0	88.8	88.8	 735	OK
 192	   0	84.6	84.6	 738	OK
 193	   0	75.4	75.4	 768	OK
 194	   0	83.7	83.7	 730	OK
 195	   0	86.7	86.7	 700	OK
 196	   0	94.1	94.1	 710	OK
 197	   0	83.6	83.6	 733	OK
 198	   0	84.2	84.2	 737	OK
 199	   0	85.5	85.5	 721	OK
 200	   0	84.3	84.3	 731	OK
 201	   0	82.9	82.9	 722	OK
 202	   0	89.4	89.4	 719	OK
 203	   0	88.0	88.0	 723	OK
 204	   0	80.0	80.0	 738	OK
 205	   0	86.9	86.9	 717	OK
 206	   0	81.4	81.4	 738	OK
 207	   0	79.6	79.6	 735	OK
 208	   0	83.0	83.0	 719	OK
 209	   0	73.3	73.3	 785	OK
 210	   0	93.8	93.8	 704	OK
 211	   0	80.5	80.5	 718	OK
 212	   0	85.9	85.9	 727	OK
 213	   0	80.8	80.8	 753	OK
 214	   0	82.7	82.7	 736	OK
 215	   0	83.0	83.0	 715	OK
 216	   0	73.8	73.8	 770	OK
 217	   0	74.9	74.9	 729	OK
 218	   0	78.5	78.5	 728	OK
 219	   0	82.5	82.5	 746	OK
 220	   0	93.5	93.5	 665	OK
 221	   0	76.0	76.0	 765	OK
 222	   0	80.5	80.5	 734	OK
 223	   0	83.6	83.6	 732	OK
 224	   0	83.9	83.9	 737	OK
 225	   0	84.1	84.1	 729	OK
 226	   0	79.2	79.2	 764	OK
 227	   0	81.4	81.4	 719	OK
 228	   0	84.0	84.0	 739	OK
 229	   0	84.3	84.3	 712	OK
 230	   0	86.9	86.9	 732	OK
 231	   0	94.0	94.0	 701	OK
 232	   0	79.9	79.9	 741	OK
