#chan	code	gain	offset	innse	comment
   0	   0	83.3	62.6	 641	OK
   1	   0	76.2	71.2	 697	OK
   2	   0	79.7	66.5	 680	OK
   3	   0	85.6	60.3	 658	OK
   4	   0	80.4	65.3	 675	OK
   5	   0	86.0	59.7	 651	OK
   6	   0	83.3	63.2	 664	OK
   7	   0	85.2	60.4	 663	OK
   8	   0	82.9	61.4	 649	OK
   9	   0	84.7	60.4	 653	OK
  10	   0	79.9	67.2	 656	OK
  11	   0	85.0	62.1	 669	OK
  12	   0	79.7	65.2	 703	OK
  13	   0	91.2	55.4	 662	OK
  14	   0	85.7	58.8	 656	OK
  15	   0	86.8	58.0	 666	OK
  16	   0	83.3	61.5	 675	OK
  17	   0	82.4	64.5	 705	OK
  18	   0	84.6	62.7	 683	OK
  19	   0	82.5	62.8	 709	OK
  20	   0	79.6	67.3	 680	OK
  21	   0	78.1	69.6	 696	OK
  22	   0	83.2	61.2	 715	OK
  23	   0	84.7	60.2	 656	OK
  24	   0	84.2	62.9	 673	OK
  25	   0	86.3	59.5	 683	OK
  26	   0	82.3	65.7	 704	OK
  27	   0	85.1	62.6	 668	OK
  28	   0	84.8	62.8	 678	OK
  29	   0	84.9	59.5	 677	OK
  30	   0	90.4	54.6	 673	OK
  31	   0	86.8	57.5	 693	OK
  32	   0	87.9	54.8	 677	OK
  33	   0	82.8	64.5	 699	OK
  34	   0	83.7	62.2	 680	OK
  35	   0	80.2	63.4	 690	OK
  36	   0	81.2	65.2	 705	OK
  37	   0	81.2	66.4	 694	OK
  38	   0	84.7	61.3	 675	OK
  39	   0	79.3	68.5	 680	OK
  40	   0	91.7	52.8	 683	OK
  41	   0	90.2	52.9	 688	OK
  42	   0	88.2	58.1	 707	OK
  43	   0	82.0	63.3	 672	OK
  44	   0	90.1	54.7	 665	OK
  45	   0	87.6	57.2	 687	OK
  46	   0	87.7	57.8	 684	OK
  47	   0	78.3	68.6	 760	OK
  48	   0	84.3	63.2	 696	OK
  49	   0	84.3	61.9	 702	OK
  50	   0	79.9	66.8	 710	OK
  51	   0	80.6	66.6	 718	OK
  52	   0	87.2	58.9	 702	OK
  53	   0	86.1	61.3	 655	OK
  54	   0	88.0	58.7	 664	OK
  55	   0	91.8	50.6	 656	OK
  56	   0	83.9	60.6	 673	OK
  57	   0	78.2	67.6	 701	OK
  58	   0	82.2	65.6	 703	OK
  59	   0	83.6	62.5	 707	OK
  60	   0	84.2	61.5	 701	OK
  61	   0	78.1	69.9	 699	OK
  62	   0	82.6	63.4	 704	OK
  63	   0	91.7	53.6	 684	OK
  64	   0	89.3	55.9	 668	OK
  65	   0	87.8	58.6	 690	OK
  66	   0	82.4	63.6	 711	OK
