#chan	code	gain	offset	innse	comment
   0	   0	80.3	80.3	 649	OK
   1	   0	97.9	97.9	 595	OK
   2	   0	93.0	93.0	 629	OK
   3	   0	89.6	89.6	 605	OK
   4	   0	87.0	87.0	 642	OK
   5	   0	92.8	92.8	 618	OK
   6	   0	86.9	86.9	 637	OK
   7	   0	88.3	88.3	 612	OK
   8	   0	91.5	91.5	 614	OK
   9	   0	92.0	92.0	 610	OK
  10	   0	87.6	87.6	 618	OK
  11	   0	92.3	92.3	 603	OK
  12	   0	98.4	98.4	 598	OK
  13	   0	90.9	90.9	 603	OK
  14	   0	95.7	95.7	 587	OK
  15	   0	92.0	92.0	 613	OK
  16	   0	86.0	86.0	 638	OK
  17	   0	81.2	81.2	 641	OK
  18	   0	88.0	88.0	 621	OK
  19	   0	87.6	87.6	 627	OK
  20	   0	88.5	88.5	 646	OK
  21	   0	94.3	94.3	 597	OK
  22	   0	90.4	90.4	 627	OK
  23	   0	86.1	86.1	 607	OK
  24	   0	94.2	94.2	 611	OK
  25	   0	92.2	92.2	 590	OK
  26	   0	86.7	86.7	 640	OK
  27	   0	95.7	95.7	 588	OK
  28	   0	85.3	85.3	 639	OK
  29	   0	95.9	95.9	 589	OK
  30	   0	95.2	95.2	 612	OK
  31	   0	94.3	94.3	 628	OK
  32	   0	94.1	94.1	 648	OK
  33	   0	91.3	91.3	 632	OK
  34	   0	96.9	96.9	 637	OK
  35	   0	86.4	86.4	 654	OK
  36	   0	93.5	93.5	 627	OK
  37	   0	91.5	91.5	 633	OK
  38	   0	88.5	88.5	 626	OK
  39	   0	92.4	92.4	 638	OK
  40	   0	97.6	97.6	 631	OK
  41	   0	83.4	83.4	 657	OK
  42	   0	83.6	83.6	 658	OK
  43	   0	85.1	85.1	 672	OK
  44	   0	95.3	95.3	 636	OK
  45	   0	96.2	96.2	 629	OK
  46	   0	94.3	94.3	 657	OK
  47	   0	88.8	88.8	 651	OK
  48	   0	85.4	85.4	 668	OK
  49	   0	95.9	95.9	 608	OK
  50	   0	90.8	90.8	 657	OK
  51	   0	82.8	82.8	 654	OK
  52	   0	94.3	94.3	 640	OK
  53	   0	85.9	85.9	 631	OK
  54	   0	97.5	97.5	 657	OK
  55	   0	89.0	89.0	 653	OK
  56	   0	85.9	85.9	 668	OK
  57	   0	99.3	99.3	 619	OK
  58	   0	95.6	95.6	 637	OK
  59	   0	95.1	95.1	 649	OK
  60	   0	89.6	89.6	 670	OK
  61	   0	89.8	89.8	 661	OK
  62	   0	97.9	97.9	 656	OK
  63	   0	88.6	88.6	 662	OK
  64	   0	92.1	92.1	 656	OK
  65	   0	97.4	97.4	 642	OK
  66	   0	99.3	99.3	 641	OK
  67	   0	94.4	94.4	 661	OK
  68	   0	96.5	96.5	 645	OK
  69	   0	94.3	94.3	 642	OK
  70	   0	101.1	101.1	 641	OK
  71	   0	97.9	97.9	 651	OK
  72	   0	89.2	89.2	 677	OK
  73	   0	90.3	90.3	 657	OK
  74	   0	90.7	90.7	 652	OK
  75	   0	90.6	90.6	 669	OK
  76	   0	93.3	93.3	 653	OK
  77	   0	88.8	88.8	 688	OK
  78	   0	99.6	99.6	 631	OK
  79	   0	86.9	86.9	 660	OK
  80	   0	88.7	88.7	 658	OK
  81	   0	94.0	94.0	 654	OK
  82	   0	89.0	89.0	 660	OK
  83	   0	97.9	97.9	 630	OK
  84	   0	91.8	91.8	 675	OK
  85	   0	90.2	90.2	 647	OK
  86	   0	94.9	94.9	 641	OK
  87	   0	94.8	94.8	 634	OK
  88	   0	90.0	90.0	 695	OK
  89	   0	93.5	93.5	 640	OK
  90	   0	96.1	96.1	 646	OK
  91	   0	88.7	88.7	 667	OK
  92	   0	90.4	90.4	 677	OK
  93	   0	91.9	91.9	 663	OK
  94	   0	95.3	95.3	 630	OK
  95	   0	90.0	90.0	 683	OK
  96	   0	93.9	93.9	 661	OK
  97	   0	91.7	91.7	 650	OK
  98	   0	96.3	96.3	 633	OK
  99	   0	92.6	92.6	 646	OK
 100	   0	86.2	86.2	 666	OK
 101	   0	96.0	96.0	 653	OK
 102	   0	90.0	90.0	 683	OK
 103	   0	86.0	86.0	 684	OK
 104	   0	94.6	94.6	 665	OK
 105	   0	86.7	86.7	 695	OK
 106	   0	99.7	99.7	 673	OK
 107	   0	92.6	92.6	 650	OK
 108	   0	88.9	88.9	 659	OK
 109	   0	87.7	87.7	 675	OK
 110	   0	95.5	95.5	 647	OK
 111	   0	98.6	98.6	 645	OK
 112	   0	98.3	98.3	 646	OK
 113	   0	96.4	96.4	 656	OK
 114	   0	93.4	93.4	 664	OK
 115	   0	91.0	91.0	 649	OK
 116	   0	93.1	93.1	 653	OK
 117	   0	90.4	90.4	 656	OK
 118	   0	90.4	90.4	 646	OK
 119	   0	95.3	95.3	 652	OK
 120	   0	87.1	87.1	 687	OK
 121	   0	82.8	82.8	 680	OK
 122	   0	92.6	92.6	 632	OK
 123	   0	93.4	93.4	 648	OK
 124	   0	86.8	86.8	 657	OK
 125	   0	96.4	96.4	 637	OK
 126	   0	93.2	93.2	 646	OK
 127	   0	98.5	98.5	 624	OK
 128	   0	94.8	94.8	 614	OK
 129	   0	92.7	92.7	 634	OK
 130	   0	92.4	92.4	 661	OK
 131	   0	87.2	87.2	 644	OK
 132	   0	102.4	102.4	 632	OK
 133	   0	91.4	91.4	 651	OK
 134	   0	103.0	103.0	 608	OK
 135	   0	93.8	93.8	 633	OK
 136	   0	92.6	92.6	 657	OK
 137	   0	92.1	92.1	 638	OK
 138	   0	103.7	103.7	 628	OK
 139	   0	96.5	96.5	 637	OK
 140	   0	96.9	96.9	 648	OK
 141	   0	98.3	98.3	 625	OK
 142	   0	98.5	98.5	 623	OK
 143	   0	95.2	95.2	 632	OK
 144	   0	96.4	96.4	 646	OK
 145	   0	92.4	92.4	 632	OK
 146	   0	93.5	93.5	 670	OK
 147	   0	87.4	87.4	 659	OK
 148	   0	89.9	89.9	 668	OK
 149	   0	95.3	95.3	 634	OK
 150	   0	96.0	96.0	 636	OK
 151	   0	94.3	94.3	 634	OK
 152	   0	92.7	92.7	 662	OK
 153	   0	96.7	96.7	 619	OK
 154	   0	90.3	90.3	 657	OK
 155	   0	100.7	100.7	 611	OK
 156	   0	95.9	95.9	 634	OK
 157	   0	102.6	102.6	 615	OK
 158	   0	94.2	94.2	 631	OK
 159	   0	97.9	97.9	 625	OK
 160	   0	104.6	104.6	 633	OK
 161	   0	86.4	86.4	 666	OK
 162	   0	97.9	97.9	 616	OK
 163	   0	90.1	90.1	 659	OK
 164	   0	90.5	90.5	 651	OK
 165	   0	96.2	96.2	 634	OK
 166	   0	90.3	90.3	 652	OK
 167	   0	98.7	98.7	 634	OK
 168	   0	96.7	96.7	 661	OK
 169	   0	94.9	94.9	 635	OK
 170	   0	90.0	90.0	 638	OK
 171	   0	94.9	94.9	 626	OK
 172	   0	90.2	90.2	 658	OK
 173	   0	93.1	93.1	 648	OK
 174	   0	97.2	97.2	 624	OK
 175	   0	85.0	85.0	 662	OK
 176	   0	97.5	97.5	 622	OK
 177	   0	92.1	92.1	 646	OK
 178	   0	91.9	91.9	 642	OK
 179	   0	101.1	101.1	 616	OK
 180	   0	90.9	90.9	 642	OK
 181	   0	99.3	99.3	 596	OK
 182	   0	96.5	96.5	 639	OK
 183	   0	91.8	91.8	 658	OK
 184	   0	94.0	94.0	 666	OK
 185	   0	89.1	89.1	 640	OK
 186	   0	96.0	96.0	 640	OK
 187	   0	98.5	98.5	 630	OK
 188	   0	99.6	99.6	 606	OK
 189	   0	96.2	96.2	 635	OK
 190	   0	92.4	92.4	 643	OK
 191	   0	99.2	99.2	 608	OK
 192	   0	97.9	97.9	 638	OK
 193	   0	89.5	89.5	 658	OK
 194	   0	101.4	101.4	 614	OK
 195	   0	99.8	99.8	 619	OK
 196	   0	94.7	94.7	 631	OK
 197	   0	94.4	94.4	 623	OK
 198	   0	100.3	100.3	 623	OK
 199	   0	95.2	95.2	 621	OK
 200	   0	101.6	101.6	 611	OK
 201	   0	97.0	97.0	 620	OK
 202	   0	90.4	90.4	 648	OK
 203	   0	100.7	100.7	 627	OK
 204	   0	104.3	104.3	 617	OK
 205	   0	96.6	96.6	 617	OK
 206	   0	92.5	92.5	 619	OK
 207	   0	95.2	95.2	 626	OK
 208	   0	95.8	95.8	 629	OK
 209	   0	88.6	88.6	 653	OK
 210	   0	95.9	95.9	 610	OK
 211	   0	86.6	86.6	 656	OK
 212	   0	92.0	92.0	 624	OK
 213	   0	97.1	97.1	 614	OK
 214	   0	90.2	90.2	 667	OK
 215	   0	97.0	97.0	 614	OK
 216	   0	93.3	93.3	 643	OK
 217	   0	92.1	92.1	 655	OK
 218	   0	92.9	92.9	 665	OK
 219	   0	87.3	87.3	 678	OK
 220	   0	97.7	97.7	 627	OK
 221	   0	98.7	98.7	 602	OK
 222	   0	94.3	94.3	 610	OK
 223	   0	91.5	91.5	 638	OK
 224	   0	92.6	92.6	 634	OK
 225	   0	96.8	96.8	 613	OK
 226	   0	98.0	98.0	 626	OK
 227	   0	94.8	94.8	 630	OK
 228	   0	91.6	91.6	 628	OK
 229	   0	94.1	94.1	 617	OK
 230	   0	93.5	93.5	 638	OK
 231	   0	94.6	94.6	 612	OK
 232	   0	98.1	98.1	 625	OK
 233	   0	93.0	93.0	 602	OK
 234	   0	98.4	98.4	 609	OK
 235	   0	97.1	97.1	 594	OK
 236	   0	93.0	93.0	 641	OK
 237	   0	96.6	96.6	 650	OK
 238	   0	88.8	88.8	 646	OK
 239	   0	101.5	101.5	 608	OK
 240	   0	96.5	96.5	 617	OK
 241	   0	84.6	84.6	 646	OK
 242	   0	91.4	91.4	 649	OK
 243	   0	95.0	95.0	 618	OK
 244	   0	91.8	91.8	 639	OK
 245	   0	94.0	94.0	 630	OK
 246	   0	96.4	96.4	 640	OK
 247	   0	102.1	102.1	 631	OK
 248	   0	93.2	93.2	 640	OK
 249	   0	95.5	95.5	 626	OK
 250	   0	95.3	95.3	 626	OK
 251	   0	88.8	88.8	 638	OK
 252	   0	98.9	98.9	 637	OK
 253	   0	97.3	97.3	 632	OK
 254	   0	90.6	90.6	 647	OK
 255	   0	88.1	88.1	 648	OK
 256	   0	82.6	82.6	 708	OK
 257	   0	76.8	76.8	 734	OK
 258	   0	73.7	73.7	 733	OK
 259	   0	82.9	82.9	 724	OK
 260	   0	70.9	70.9	 717	OK
 261	   0	86.2	86.2	 713	OK
 262	   0	85.7	85.7	 706	OK
 263	   0	79.5	79.5	 706	OK
 264	   0	81.3	81.3	 735	OK
 265	   0	78.4	78.4	 731	OK
 266	   0	82.7	82.7	 731	OK
 267	   0	78.3	78.3	 733	OK
 268	   0	81.6	81.6	 731	OK
 269	   0	76.1	76.1	 749	OK
 270	   0	78.4	78.4	 730	OK
 271	   0	88.4	88.4	 714	OK
 272	   0	82.7	82.7	 725	OK
 273	1501	0.0	0.0	   0	dead
 274	   0	83.5	83.5	 705	OK
 275	   0	75.3	75.3	 747	OK
 276	   0	84.6	84.6	 731	OK
 277	   0	82.8	82.8	 717	OK
 278	   0	80.0	80.0	 735	OK
 279	   0	85.2	85.2	 700	OK
 280	   0	78.0	78.0	 758	OK
 281	   0	82.2	82.2	 712	OK
 282	   0	86.0	86.0	 699	OK
 283	   0	86.8	86.8	 691	OK
 284	   0	81.2	81.2	 756	OK
 285	   0	79.7	79.7	 760	OK
 286	   0	80.9	80.9	 717	OK
 287	   0	79.5	79.5	 704	OK
 288	   0	79.4	79.4	 748	OK
 289	   0	80.9	80.9	 725	OK
 290	   0	77.6	77.6	 712	OK
 291	   0	84.8	84.8	 711	OK
 292	   0	77.2	77.2	 743	OK
 293	   0	76.9	76.9	 739	OK
 294	   0	80.9	80.9	 689	OK
 295	   0	85.9	85.9	 716	OK
 296	   0	85.8	85.8	 723	OK
 297	   0	86.9	86.9	 715	OK
 298	   0	78.6	78.6	 724	OK
 299	   0	84.4	84.4	 723	OK
 300	   0	85.0	85.0	 688	OK
 301	   0	84.4	84.4	 693	OK
 302	   0	79.7	79.7	 723	OK
 303	   0	85.3	85.3	 716	OK
 304	   0	83.6	83.6	 750	OK
 305	   0	76.5	76.5	 729	OK
 306	   0	86.3	86.3	 727	OK
 307	   0	86.2	86.2	 712	OK
 308	   0	79.0	79.0	 736	OK
 309	   0	82.6	82.6	 737	OK
 310	   0	71.1	71.1	 785	OK
 311	   0	82.5	82.5	 706	OK
