#chan	code	gain	offset	innse	comment
   0	   0	92.5	92.5	 558	OK
   1	   0	100.7	100.7	 554	OK
   2	   0	95.3	95.3	 578	OK
   3	   0	96.1	96.1	 594	OK
   4	   0	97.5	97.5	 584	OK
   5	   0	99.9	99.9	 570	OK
   6	   0	91.9	91.9	 589	OK
   7	   0	101.3	101.3	 560	OK
   8	   0	92.5	92.5	 589	OK
   9	   0	93.1	93.1	 587	OK
  10	   0	96.7	96.7	 585	OK
  11	   0	97.8	97.8	 597	OK
  12	   0	97.1	97.1	 588	OK
  13	   0	93.2	93.2	 583	OK
  14	   0	96.0	96.0	 571	OK
  15	   0	95.3	95.3	 568	OK
  16	   0	94.2	94.2	 611	OK
  17	   0	94.9	94.9	 580	OK
  18	   0	95.6	95.6	 590	OK
  19	   0	98.5	98.5	 575	OK
  20	   0	98.7	98.7	 565	OK
  21	   0	94.5	94.5	 601	OK
  22	   0	93.1	93.1	 587	OK
  23	   0	93.4	93.4	 584	OK
  24	   0	96.4	96.4	 581	OK
  25	   0	94.1	94.1	 588	OK
  26	   0	92.3	92.3	 592	OK
  27	   0	98.2	98.2	 563	OK
  28	   0	100.5	100.5	 579	OK
  29	   0	89.0	89.0	 595	OK
  30	   0	92.9	92.9	 609	OK
  31	   0	91.5	91.5	 584	OK
  32	   0	95.0	95.0	 596	OK
  33	   0	98.8	98.8	 575	OK
  34	   0	101.4	101.4	 578	OK
  35	   0	96.1	96.1	 555	OK
  36	   0	100.5	100.5	 572	OK
  37	   0	89.9	89.9	 591	OK
  38	   0	93.6	93.6	 599	OK
  39	   0	87.9	87.9	 616	OK
  40	   0	91.1	91.1	 590	OK
  41	   0	88.6	88.6	 613	OK
  42	   0	93.4	93.4	 613	OK
  43	   0	94.2	94.2	 589	OK
  44	   0	99.1	99.1	 594	OK
  45	   0	98.3	98.3	 601	OK
  46	   0	93.4	93.4	 612	OK
  47	   0	99.4	99.4	 594	OK
  48	   0	95.4	95.4	 602	OK
  49	   0	91.3	91.3	 612	OK
  50	   0	95.9	95.9	 593	OK
  51	   0	81.5	81.5	 648	OK
  52	   0	96.3	96.3	 614	OK
  53	   0	97.4	97.4	 600	OK
  54	   0	98.1	98.1	 613	OK
  55	   0	101.5	101.5	 576	OK
  56	   0	104.0	104.0	 600	OK
  57	   0	107.6	107.6	 598	OK
  58	   0	99.7	99.7	 586	OK
  59	   0	92.8	92.8	 621	OK
  60	   0	105.4	105.4	 579	OK
  61	   0	98.6	98.6	 602	OK
  62	   0	94.3	94.3	 632	OK
  63	   0	103.4	103.4	 614	OK
  64	   0	91.7	91.7	 638	OK
  65	   0	94.3	94.3	 621	OK
  66	   0	92.0	92.0	 634	OK
  67	   0	99.5	99.5	 620	OK
  68	   0	93.2	93.2	 597	OK
  69	   0	92.0	92.0	 620	OK
  70	   0	91.5	91.5	 607	OK
  71	   0	93.1	93.1	 624	OK
  72	   0	98.1	98.1	 617	OK
  73	   0	95.9	95.9	 610	OK
  74	   0	98.3	98.3	 606	OK
  75	   0	97.8	97.8	 596	OK
  76	   0	97.7	97.7	 619	OK
  77	   0	90.8	90.8	 627	OK
  78	   0	99.2	99.2	 615	OK
  79	   0	102.4	102.4	 597	OK
  80	   0	90.1	90.1	 635	OK
  81	   0	95.0	95.0	 637	OK
  82	   0	107.6	107.6	 571	OK
  83	   0	95.0	95.0	 612	OK
  84	   0	105.1	105.1	 591	OK
  85	   0	95.4	95.4	 607	OK
  86	   0	95.1	95.1	 590	OK
  87	   0	98.2	98.2	 599	OK
  88	   0	94.3	94.3	 612	OK
  89	   0	101.3	101.3	 616	OK
  90	   0	96.6	96.6	 619	OK
  91	   0	91.9	91.9	 637	OK
  92	   0	92.8	92.8	 623	OK
  93	   0	94.9	94.9	 625	OK
  94	   0	92.8	92.8	 619	OK
  95	   0	96.2	96.2	 615	OK
  96	   0	99.3	99.3	 595	OK
  97	   0	94.7	94.7	 618	OK
  98	   0	97.1	97.1	 628	OK
  99	   0	96.1	96.1	 607	OK
 100	   0	95.8	95.8	 628	OK
 101	   0	97.8	97.8	 590	OK
 102	   0	102.8	102.8	 618	OK
 103	   0	101.0	101.0	 601	OK
 104	   0	97.2	97.2	 612	OK
 105	   0	99.7	99.7	 586	OK
 106	   0	93.9	93.9	 631	OK
 107	   0	96.7	96.7	 605	OK
 108	   0	90.9	90.9	 620	OK
 109	   0	97.6	97.6	 615	OK
 110	   0	98.2	98.2	 632	OK
 111	   0	96.7	96.7	 601	OK
 112	   0	94.8	94.8	 634	OK
 113	   0	93.3	93.3	 600	OK
 114	   0	99.4	99.4	 619	OK
 115	   0	103.1	103.1	 576	OK
 116	   0	91.6	91.6	 617	OK
 117	   0	88.9	88.9	 624	OK
 118	   0	98.4	98.4	 620	OK
 119	   0	94.9	94.9	 605	OK
 120	   0	101.6	101.6	 592	OK
 121	   0	97.8	97.8	 590	OK
 122	   0	93.1	93.1	 616	OK
 123	   0	94.6	94.6	 612	OK
 124	   0	92.1	92.1	 635	OK
 125	   0	97.5	97.5	 604	OK
 126	   0	94.2	94.2	 627	OK
 127	   0	93.7	93.7	 621	OK
 128	   0	85.0	85.0	 654	OK
 129	   0	89.1	89.1	 623	OK
 130	   0	85.4	85.4	 640	OK
 131	   0	83.6	83.6	 643	OK
 132	   0	87.9	87.9	 658	OK
 133	   0	82.2	82.2	 660	OK
 134	   0	82.7	82.7	 660	OK
 135	   0	86.1	86.1	 671	OK
 136	   0	85.8	85.8	 633	OK
 137	   0	85.7	85.7	 648	OK
 138	   0	88.4	88.4	 657	OK
 139	   0	98.3	98.3	 609	OK
 140	   0	90.5	90.5	 648	OK
 141	   0	90.4	90.4	 610	OK
 142	   0	86.1	86.1	 654	OK
 143	   0	83.6	83.6	 653	OK
 144	   0	82.1	82.1	 674	OK
