#chan	code	gain	offset	innse	comment
   0	1000	99.5	99.5	 526	unbonded
   1	   0	101.2	101.2	 562	OK
   2	1000	106.9	106.9	 533	unbonded
   3	   0	109.8	109.8	 541	OK
   4	   0	107.7	107.7	 548	OK
   5	   0	109.5	109.5	 564	OK
   6	   0	108.8	108.8	 543	OK
   7	   0	108.6	108.6	 566	OK
   8	   0	112.5	112.5	 549	OK
   9	   0	101.3	101.3	 581	OK
  10	1000	111.0	111.0	 529	unbonded
  11	   0	105.2	105.2	 543	OK
  12	   0	107.1	107.1	 550	OK
  13	   0	106.4	106.4	 562	OK
  14	1000	117.7	117.7	 527	unbonded
  15	1000	108.1	108.1	 539	unbonded
  16	   0	105.8	105.8	 589	OK
  17	   0	99.2	99.2	 584	OK
  18	8000	116.6	116.6	 541	partbonded
  19	   0	100.5	100.5	 583	OK
  20	8000	110.2	110.2	 541	partbonded
  21	   0	92.1	92.1	 611	OK
  22	   0	93.1	93.1	 583	OK
  23	   0	91.8	91.8	 610	OK
  24	   0	96.4	96.4	 598	OK
  25	   0	103.4	103.4	 566	OK
  26	1000	117.2	117.2	 533	unbonded
  27	   0	98.7	98.7	 581	OK
  28	   0	106.5	106.5	 557	OK
  29	   0	99.8	99.8	 604	OK
  30	   0	108.5	108.5	 560	OK
  31	   0	99.3	99.3	 587	OK
  32	   0	110.0	110.0	 564	OK
  33	   0	98.6	98.6	 617	OK
  34	   0	107.8	107.8	 577	OK
  35	   0	100.8	100.8	 578	OK
  36	   0	96.8	96.8	 613	OK
  37	   0	106.1	106.1	 587	OK
  38	   0	101.0	101.0	 607	OK
  39	   0	105.9	105.9	 611	OK
  40	   0	101.8	101.8	 583	OK
  41	   0	101.2	101.2	 606	OK
  42	   0	114.2	114.2	 580	OK
  43	   0	104.6	104.6	 591	OK
  44	   0	103.7	103.7	 595	OK
  45	   0	98.8	98.8	 628	OK
  46	   0	100.6	100.6	 611	OK
  47	   0	113.6	113.6	 562	OK
  48	   0	104.2	104.2	 579	OK
  49	   0	106.5	106.5	 598	OK
  50	   0	102.0	102.0	 589	OK
  51	   0	101.8	101.8	 615	OK
  52	   0	103.9	103.9	 580	OK
  53	   0	103.4	103.4	 586	OK
  54	   0	108.3	108.3	 593	OK
  55	   0	105.6	105.6	 564	OK
  56	   0	102.2	102.2	 635	OK
  57	   0	102.5	102.5	 587	OK
  58	   0	106.7	106.7	 595	OK
  59	   0	107.8	107.8	 602	OK
  60	   0	109.9	109.9	 567	OK
  61	   0	112.7	112.7	 564	OK
  62	   0	112.8	112.8	 569	OK
  63	   0	107.7	107.7	 609	OK
  64	   0	112.2	112.2	 573	OK
  65	   0	104.4	104.4	 592	OK
  66	   0	104.9	104.9	 595	OK
  67	   0	94.0	94.0	 625	OK
  68	   0	105.4	105.4	 608	OK
  69	   0	108.5	108.5	 599	OK
  70	   0	103.4	103.4	 593	OK
  71	   0	118.4	118.4	 563	OK
  72	   0	95.2	95.2	 622	OK
  73	4000	100.5	100.5	 674	high noise
  74	   0	102.9	102.9	 583	OK
  75	   0	100.6	100.6	 620	OK
  76	   0	106.8	106.8	 574	OK
  77	   0	111.7	111.7	 586	OK
  78	   0	104.8	104.8	 590	OK
  79	   0	113.0	113.0	 551	OK
  80	   0	108.6	108.6	 590	OK
  81	   0	111.0	111.0	 595	OK
