#chan	code	gain	offset	innse	comment
   0	   0	82.5	82.5	 899	OK
   1	   0	87.7	87.7	 822	OK
   2	   0	80.5	80.5	 780	OK
   3	   0	81.5	81.5	 820	OK
   4	   0	83.2	83.2	 791	OK
   5	   0	82.7	82.7	 772	OK
   6	   0	83.1	83.1	 770	OK
   7	   0	82.1	82.1	 761	OK
   8	   0	82.1	82.1	 777	OK
   9	   0	78.8	78.8	 785	OK
  10	   0	75.2	75.2	 784	OK
  11	   0	85.5	85.5	 836	OK
  12	   0	80.4	80.4	 773	OK
  13	   0	77.3	77.3	 767	OK
  14	   0	82.6	82.6	 775	OK
  15	   0	87.5	87.5	 811	OK
  16	   0	73.0	73.0	 763	OK
  17	   0	83.4	83.4	 790	OK
  18	   0	84.6	84.6	 794	OK
  19	   0	82.1	82.1	 784	OK
  20	   0	88.5	88.5	 799	OK
  21	   0	89.8	89.8	 795	OK
  22	   0	84.9	84.9	 772	OK
  23	   0	80.1	80.1	 788	OK
  24	   0	81.9	81.9	 766	OK
  25	   0	88.0	88.0	 840	OK
  26	   0	87.5	87.5	 757	OK
  27	   0	81.9	81.9	 820	OK
  28	   0	84.5	84.5	 782	OK
  29	   0	80.0	80.0	 743	OK
  30	   0	81.0	81.0	 803	OK
  31	   0	81.4	81.4	 775	OK
  32	   0	84.6	84.6	 807	OK
  33	   0	81.3	81.3	 802	OK
  34	   0	84.7	84.7	 781	OK
  35	   0	85.4	85.4	 789	OK
  36	   0	78.3	78.3	 755	OK
  37	   0	81.5	81.5	 790	OK
  38	   0	83.0	83.0	 824	OK
  39	   0	80.3	80.3	 775	OK
  40	   0	79.7	79.7	 772	OK
  41	   0	81.0	81.0	 790	OK
  42	   0	76.5	76.5	 811	OK
  43	   0	82.6	82.6	 815	OK
  44	   0	87.4	87.4	 800	OK
  45	   0	78.4	78.4	 789	OK
  46	   0	83.4	83.4	 755	OK
  47	   0	84.9	84.9	 762	OK
  48	   0	81.6	81.6	 786	OK
  49	   0	81.3	81.3	 791	OK
  50	   0	83.9	83.9	 805	OK
  51	   0	85.8	85.8	 826	OK
  52	   0	82.0	82.0	 787	OK
  53	   0	82.2	82.2	 839	OK
  54	   0	85.9	85.9	 768	OK
  55	   0	79.8	79.8	 846	OK
  56	   0	78.9	78.9	 796	OK
  57	   0	79.2	79.2	 771	OK
  58	   0	88.2	88.2	 785	OK
  59	   0	86.3	86.3	 834	OK
  60	   0	83.6	83.6	 766	OK
  61	   0	81.8	81.8	 819	OK
  62	   0	84.3	84.3	 793	OK
  63	   0	86.1	86.1	 798	OK
  64	   0	86.5	86.5	 779	OK
  65	   0	82.0	82.0	 820	OK
  66	   0	87.6	87.6	 812	OK
  67	   0	86.3	86.3	 807	OK
  68	   0	74.9	74.9	 777	OK
  69	   0	85.5	85.5	 793	OK
  70	   0	81.5	81.5	 810	OK
  71	   0	82.0	82.0	 806	OK
  72	   0	83.7	83.7	 815	OK
  73	   0	85.8	85.8	 809	OK
  74	   0	77.7	77.7	 821	OK
  75	   0	83.8	83.8	 833	OK
  76	   0	88.8	88.8	 778	OK
  77	   0	81.6	81.6	 802	OK
  78	   0	83.5	83.5	 795	OK
  79	   0	88.8	88.8	 829	OK
  80	   0	85.3	85.3	 802	OK
  81	   0	81.8	81.8	 807	OK
  82	   0	86.6	86.6	 824	OK
  83	   0	79.0	79.0	 787	OK
  84	   0	82.7	82.7	 787	OK
  85	   0	83.5	83.5	 822	OK
  86	   0	75.4	75.4	 805	OK
  87	   0	79.2	79.2	 802	OK
  88	   0	76.0	76.0	 746	OK
  89	   0	82.8	82.8	 812	OK
  90	   0	83.0	83.0	 805	OK
  91	   0	86.7	86.7	 799	OK
  92	   0	80.9	80.9	 792	OK
  93	   0	83.0	83.0	 798	OK
  94	   0	84.4	84.4	 775	OK
  95	   0	86.4	86.4	 788	OK
  96	   0	77.8	77.8	 801	OK
  97	   0	79.7	79.7	 820	OK
  98	   0	92.1	92.1	 819	OK
  99	   0	83.2	83.2	 849	OK
 100	   0	79.4	79.4	 809	OK
 101	   0	84.1	84.1	 816	OK
 102	   0	85.3	85.3	 777	OK
 103	   0	84.3	84.3	 785	OK
 104	   0	77.1	77.1	 792	OK
 105	   0	85.7	85.7	 814	OK
 106	   0	84.4	84.4	 810	OK
 107	   0	78.4	78.4	 797	OK
 108	   0	81.7	81.7	 806	OK
 109	   0	78.7	78.7	 778	OK
 110	   0	80.8	80.8	 809	OK
 111	   0	82.8	82.8	 760	OK
 112	   0	74.1	74.1	 776	OK
 113	   0	79.0	79.0	 749	OK
 114	   0	79.2	79.2	 785	OK
 115	   0	76.2	76.2	 791	OK
 116	   0	84.6	84.6	 784	OK
 117	   0	80.6	80.6	 810	OK
 118	   0	83.3	83.3	 806	OK
 119	   0	83.2	83.2	 826	OK
 120	   0	83.2	83.2	 822	OK
 121	   0	81.0	81.0	 765	OK
 122	   0	84.0	84.0	 850	OK
 123	   0	76.9	76.9	 767	OK
 124	   0	80.9	80.9	 807	OK
 125	   0	83.1	83.1	 810	OK
 126	   0	77.7	77.7	 799	OK
 127	   0	86.4	86.4	 818	OK
 128	   0	77.7	77.7	 813	OK
 129	   0	79.9	79.9	 803	OK
 130	   0	73.0	73.0	 769	OK
 131	   0	75.3	75.3	 832	OK
 132	   0	72.0	72.0	 836	OK
 133	   0	74.9	74.9	 805	OK
 134	   0	73.6	73.6	 798	OK
 135	   0	72.0	72.0	 792	OK
 136	   0	82.5	82.5	 813	OK
 137	   0	72.0	72.0	 806	OK
 138	   0	76.9	76.9	 851	OK
 139	   0	69.8	69.8	 806	OK
 140	   0	74.1	74.1	 793	OK
 141	   0	78.1	78.1	 808	OK
 142	   0	69.6	69.6	 774	OK
 143	   0	75.0	75.0	 822	OK
 144	   0	81.4	81.4	 800	OK
 145	   0	75.1	75.1	 759	OK
 146	   0	77.8	77.8	 820	OK
 147	   0	83.4	83.4	 840	OK
 148	   0	74.9	74.9	 805	OK
 149	   0	75.1	75.1	 815	OK
 150	   0	73.0	73.0	 779	OK
 151	   0	81.4	81.4	 795	OK
 152	   0	73.8	73.8	 810	OK
 153	   0	81.3	81.3	 790	OK
 154	   0	77.3	77.3	 825	OK
 155	   0	77.7	77.7	 750	OK
 156	   0	75.3	75.3	 809	OK
 157	   0	73.5	73.5	 787	OK
 158	   0	75.0	75.0	 824	OK
 159	   0	72.0	72.0	 820	OK
 160	   0	75.4	75.4	 848	OK
 161	   0	76.8	76.8	 822	OK
 162	   0	79.5	79.5	 796	OK
 163	   0	69.5	69.5	 801	OK
 164	   0	79.8	79.8	 808	OK
 165	   0	73.3	73.3	 815	OK
 166	   0	72.0	72.0	 827	OK
 167	   0	75.5	75.5	 822	OK
 168	   0	76.8	76.8	 795	OK
 169	   0	72.4	72.4	 837	OK
 170	   0	81.3	81.3	 848	OK
 171	   0	65.9	65.9	 814	OK
 172	   0	69.0	69.0	 829	OK
