#chan	code	gain	offset	innse	comment
   0	   0	91.0	91.0	 651	OK
   1	   0	93.2	93.2	 637	OK
   2	   0	99.5	99.5	 639	OK
   3	   0	95.6	95.6	 647	OK
   4	   0	98.6	98.6	 657	OK
   5	   0	93.2	93.2	 683	OK
   6	   0	103.5	103.5	 636	OK
   7	   0	93.4	93.4	 632	OK
   8	   0	104.3	104.3	 652	OK
   9	   0	91.9	91.9	 653	OK
  10	   0	95.4	95.4	 653	OK
  11	   0	95.9	95.9	 647	OK
  12	   0	103.5	103.5	 627	OK
  13	   0	95.2	95.2	 671	OK
  14	   0	92.9	92.9	 673	OK
  15	   0	104.2	104.2	 632	OK
  16	   0	92.2	92.2	 678	OK
  17	   0	95.8	95.8	 691	OK
  18	   0	89.7	89.7	 644	OK
  19	   0	102.9	102.9	 648	OK
  20	   0	99.6	99.6	 661	OK
  21	   0	88.5	88.5	 685	OK
  22	   0	98.1	98.1	 663	OK
  23	   0	94.0	94.0	 663	OK
  24	   0	91.2	91.2	 686	OK
  25	   0	90.8	90.8	 699	OK
  26	   0	93.4	93.4	 660	OK
  27	   0	98.5	98.5	 666	OK
  28	   0	96.7	96.7	 658	OK
  29	   0	99.6	99.6	 680	OK
  30	   0	92.4	92.4	 671	OK
  31	   0	97.4	97.4	 719	OK
  32	   0	101.6	101.6	 683	OK
  33	   0	94.8	94.8	 710	OK
  34	   0	87.0	87.0	 694	OK
  35	   0	89.8	89.8	 665	OK
  36	   0	100.0	100.0	 697	OK
  37	   0	102.5	102.5	 689	OK
  38	   0	92.3	92.3	 664	OK
  39	   0	96.4	96.4	 673	OK
  40	   0	103.0	103.0	 677	OK
  41	   0	96.9	96.9	 697	OK
  42	   0	101.1	101.1	 691	OK
  43	   0	101.1	101.1	 640	OK
  44	   0	96.9	96.9	 692	OK
  45	   0	94.2	94.2	 681	OK
  46	   0	97.6	97.6	 669	OK
  47	   0	102.9	102.9	 664	OK
  48	   0	101.7	101.7	 685	OK
  49	   0	89.4	89.4	 690	OK
  50	   0	100.3	100.3	 656	OK
  51	   0	92.1	92.1	 703	OK
  52	   0	95.0	95.0	 678	OK
  53	   0	101.1	101.1	 687	OK
  54	   0	98.0	98.0	 699	OK
  55	   0	99.9	99.9	 676	OK
  56	   0	99.7	99.7	 716	OK
  57	   0	100.0	100.0	 698	OK
  58	   0	96.8	96.8	 739	OK
  59	   0	98.3	98.3	 706	OK
  60	   0	101.5	101.5	 676	OK
  61	   0	97.6	97.6	 690	OK
  62	   0	93.6	93.6	 695	OK
  63	   0	87.4	87.4	 729	OK
  64	   0	97.4	97.4	 677	OK
  65	   0	107.9	107.9	 697	OK
  66	   0	95.7	95.7	 707	OK
  67	   0	102.8	102.8	 728	OK
  68	   0	104.8	104.8	 681	OK
  69	   0	103.8	103.8	 697	OK
  70	   0	101.2	101.2	 679	OK
  71	   0	105.0	105.0	 714	OK
  72	   0	104.9	104.9	 688	OK
  73	   0	104.8	104.8	 674	OK
  74	   0	104.2	104.2	 687	OK
  75	   0	92.4	92.4	 718	OK
  76	   0	96.2	96.2	 723	OK
  77	   0	92.4	92.4	 709	OK
  78	   0	104.0	104.0	 683	OK
  79	   0	106.5	106.5	 671	OK
  80	1501	0.0	0.0	   0	dead
  81	1501	0.0	0.0	   0	dead
  82	   0	98.3	98.3	 669	OK
  83	   0	105.8	105.8	 650	OK
  84	   0	98.2	98.2	 701	OK
  85	   0	98.2	98.2	 704	OK
  86	   0	95.1	95.1	 696	OK
  87	   0	96.9	96.9	 679	OK
  88	   0	94.6	94.6	 694	OK
  89	   0	100.8	100.8	 691	OK
  90	   0	93.3	93.3	 703	OK
  91	   0	93.9	93.9	 700	OK
  92	   0	96.4	96.4	 668	OK
  93	   0	107.8	107.8	 645	OK
  94	   0	97.0	97.0	 688	OK
  95	   0	94.8	94.8	 685	OK
  96	   0	99.7	99.7	 634	OK
  97	   0	101.8	101.8	 723	OK
  98	   0	90.1	90.1	 678	OK
  99	   0	99.9	99.9	 692	OK
 100	   0	101.1	101.1	 647	OK
 101	   0	106.4	106.4	 707	OK
 102	   0	100.8	100.8	 685	OK
 103	   0	102.1	102.1	 684	OK
 104	   0	99.3	99.3	 691	OK
 105	   0	94.4	94.4	 697	OK
 106	   0	102.2	102.2	 665	OK
 107	   0	101.1	101.1	 647	OK
 108	   0	96.3	96.3	 686	OK
 109	   0	105.8	105.8	 680	OK
 110	   0	101.3	101.3	 686	OK
 111	   0	99.7	99.7	 660	OK
 112	   0	97.2	97.2	 661	OK
 113	   0	95.4	95.4	 700	OK
 114	   0	94.5	94.5	 700	OK
 115	   0	98.3	98.3	 675	OK
 116	   0	102.2	102.2	 645	OK
 117	   0	102.8	102.8	 693	OK
 118	   0	101.8	101.8	 649	OK
 119	   0	101.8	101.8	 683	OK
 120	   0	99.9	99.9	 701	OK
 121	   0	103.2	103.2	 674	OK
 122	   0	102.7	102.7	 673	OK
 123	   0	92.6	92.6	 682	OK
 124	   0	93.8	93.8	 687	OK
 125	1501	0.0	0.0	   0	dead
 126	   0	90.6	90.6	 690	OK
 127	   0	96.1	96.1	 663	OK
 128	   0	80.4	80.4	 745	OK
 129	   0	80.6	80.6	 761	OK
 130	   0	72.9	72.9	 744	OK
 131	   0	79.5	79.5	 805	OK
 132	   0	73.5	73.5	 815	OK
 133	   0	81.1	81.1	 759	OK
 134	   0	81.6	81.6	 784	OK
 135	   0	77.9	77.9	 778	OK
 136	   0	82.6	82.6	 763	OK
 137	   0	79.3	79.3	 756	OK
 138	   0	82.3	82.3	 753	OK
 139	   0	82.2	82.2	 714	OK
 140	   0	75.4	75.4	 751	OK
 141	   0	84.5	84.5	 722	OK
 142	   0	84.8	84.8	 719	OK
 143	   0	84.4	84.4	 722	OK
 144	   0	86.8	86.8	 693	OK
 145	   0	82.6	82.6	 751	OK
 146	   0	75.1	75.1	 754	OK
 147	   0	80.8	80.8	 724	OK
 148	   0	81.9	81.9	 727	OK
 149	   0	81.8	81.8	 721	OK
 150	   0	81.9	81.9	 751	OK
 151	   0	78.3	78.3	 775	OK
 152	   0	77.6	77.6	 778	OK
 153	   0	77.4	77.4	 782	OK
 154	   0	81.0	81.0	 772	OK
 155	   0	79.3	79.3	 722	OK
 156	   0	78.4	78.4	 747	OK
 157	   0	82.5	82.5	 719	OK
 158	   0	70.6	70.6	 772	OK
 159	   0	79.1	79.1	 720	OK
 160	   0	83.5	83.5	 720	OK
 161	   0	75.5	75.5	 763	OK
 162	   0	78.8	78.8	 750	OK
 163	   0	92.5	92.5	 708	OK
 164	   0	86.5	86.5	 737	OK
 165	   0	78.4	78.4	 730	OK
 166	   0	77.7	77.7	 751	OK
 167	   0	80.7	80.7	 790	OK
 168	   0	81.7	81.7	 715	OK
 169	   0	78.6	78.6	 752	OK
 170	   0	70.9	70.9	 822	OK
 171	   0	85.6	85.6	 759	OK
 172	   0	80.3	80.3	 781	OK
 173	   0	85.7	85.7	 731	OK
 174	   0	82.6	82.6	 739	OK
 175	   0	82.1	82.1	 780	OK
 176	   0	81.6	81.6	 732	OK
 177	   0	84.9	84.9	 747	OK
 178	   0	80.0	80.0	 759	OK
 179	   0	80.8	80.8	 703	OK
 180	   0	84.0	84.0	 737	OK
 181	   0	81.3	81.3	 785	OK
 182	   0	80.9	80.9	 769	OK
 183	   0	84.1	84.1	 732	OK
 184	   0	81.5	81.5	 732	OK
 185	   0	81.5	81.5	 706	OK
 186	   0	76.6	76.6	 771	OK
 187	   0	80.4	80.4	 734	OK
 188	   0	82.4	82.4	 722	OK
 189	   0	86.3	86.3	 756	OK
 190	   0	83.6	83.6	 739	OK
 191	   0	84.4	84.4	 736	OK
 192	   0	82.3	82.3	 769	OK
 193	   0	91.8	91.8	 722	OK
 194	   0	81.3	81.3	 749	OK
 195	   0	82.5	82.5	 700	OK
 196	   0	77.4	77.4	 764	OK
 197	   0	82.3	82.3	 701	OK
 198	   0	74.4	74.4	 801	OK
 199	   0	83.2	83.2	 754	OK
 200	   0	78.3	78.3	 727	OK
 201	   0	85.0	85.0	 721	OK
 202	   0	78.7	78.7	 746	OK
 203	   0	83.0	83.0	 725	OK
 204	   0	86.4	86.4	 734	OK
 205	   0	80.3	80.3	 741	OK
 206	   0	83.4	83.4	 712	OK
 207	   0	80.2	80.2	 699	OK
 208	   0	84.5	84.5	 749	OK
 209	   0	83.8	83.8	 746	OK
 210	   0	87.9	87.9	 694	OK
 211	   0	90.0	90.0	 694	OK
 212	   0	79.2	79.2	 719	OK
 213	   0	80.6	80.6	 714	OK
 214	   0	86.8	86.8	 725	OK
 215	   0	84.5	84.5	 718	OK
 216	   0	84.2	84.2	 766	OK
 217	   0	76.5	76.5	 741	OK
 218	   0	78.2	78.2	 709	OK
